Date, Open, High, Low, Close, Volume
12/31/24, 252.44, 253.28, 249.43, 250.42, 39480719
12/30/24, 252.23, 253.50, 250.75, 252.20, 35557539
12/27/24, 257.83, 258.70, 253.06, 255.59, 42355320
12/26/24, 258.19, 260.10, 257.63, 259.02, 27262980
12/24/24, 255.49, 258.21, 255.29, 258.20, 23234711
12/23/24, 254.77, 255.65, 253.45, 255.27, 40858770
12/20/24, 248.04, 255.00, 245.69, 254.49, 147495297
12/19/24, 247.50, 252.00, 247.0949, 249.79, 60882262
12/18/24, 252.16, 254.28, 247.74, 248.05, 56774102
12/17/24, 250.08, 253.83, 249.78, 253.48, 51356359
12/16/24, 247.99, 251.38, 247.65, 251.04, 51694754
12/13/24, 247.815, 249.2902, 246.24, 248.13, 33155289
12/12/24, 246.89, 248.74, 245.68, 247.96, 32777531
12/11/24, 247.96, 250.80, 246.2601, 246.49, 45205809
12/10/24, 246.89, 248.21, 245.34, 247.77, 36914809
12/09/24, 241.83, 247.24, 241.75, 246.75, 44649230
12/06/24, 242.905, 244.63, 242.08, 242.84, 36870621
12/05/24, 243.99, 244.54, 242.13, 243.04, 40033879
12/04/24, 242.87, 244.11, 241.25, 243.01, 44383941
12/03/24, 239.81, 242.76, 238.90, 242.65, 38861020
12/02/24, 237.27, 240.79, 237.16, 239.59, 48137102
11/29/24, 234.805, 237.81, 233.97, 237.33, 28481381
11/27/24, 234.465, 235.69, 233.8101, 234.93, 33498441
11/26/24, 233.33, 235.57, 233.33, 235.06, 45986191
11/25/24, 231.46, 233.245, 229.74, 232.87, 90152828
11/22/24, 228.06, 230.7199, 228.06, 229.87, 38168246
11/21/24, 228.88, 230.155, 225.7103, 228.52, 42108328
11/20/24, 228.06, 229.93, 225.89, 229.00, 35169566
11/19/24, 226.98, 230.16, 226.66, 228.28, 36211770
11/18/24, 225.25, 229.74, 225.17, 228.02, 44686020
11/15/24, 226.40, 226.92, 224.27, 225.00, 47923699
11/14/24, 225.02, 228.87, 225.00, 228.22, 44923941
11/13/24, 224.01, 226.65, 222.76, 225.12, 48566219
11/12/24, 224.55, 225.59, 223.355, 224.23, 40398301
11/11/24, 225.00, 225.70, 221.50, 224.23, 42005602
11/08/24, 227.17, 228.66, 226.405, 226.96, 38328820
11/07/24, 224.625, 227.875, 224.57, 227.48, 42137688
11/06/24, 222.61, 226.065, 221.19, 222.72, 54561121
11/05/24, 221.795, 223.95, 221.14, 223.45, 28111340
11/04/24, 220.99, 222.79, 219.71, 222.01, 44944473
11/01/24, 220.965, 225.35, 220.27, 222.91, 65276738
10/31/24, 229.34, 229.83, 225.37, 225.91, 64370090
10/30/24, 232.61, 233.47, 229.55, 230.10, 47070910
10/29/24, 233.10, 234.325, 232.32, 233.67, 35417246
10/28/24, 233.32, 234.73, 232.55, 233.40, 36087129
10/25/24, 229.74, 233.22, 229.57, 231.41, 38802301
10/24/24, 229.98, 230.82, 228.41, 230.57, 31109500
10/23/24, 234.08, 235.144, 227.76, 230.76, 52286980
10/22/24, 233.885, 236.22, 232.60, 235.86, 38846578
10/21/24, 234.45, 236.85, 234.45, 236.48, 36254473
10/18/24, 236.18, 236.18, 234.01, 235.00, 46431473
10/17/24, 233.43, 233.85, 230.52, 232.15, 32993809
10/16/24, 231.60, 232.12, 229.84, 231.78, 34082238
10/15/24, 233.61, 237.49, 232.37, 233.85, 64751367
10/14/24, 228.70, 231.73, 228.60, 231.30, 39882090
10/11/24, 229.30, 229.41, 227.34, 227.55, 31759189
10/10/24, 227.78, 229.50, 227.17, 229.04, 28183539
10/09/24, 225.23, 229.75, 224.83, 229.54, 33591090
10/08/24, 224.30, 225.98, 223.25, 225.77, 31855689
10/07/24, 224.50, 225.69, 221.33, 221.69, 39505352
10/04/24, 227.90, 228.00, 224.13, 226.80, 37345102
