Date, Open, High, Low, Close, Volume
12/31/24, 132.46, 133.19, 131.27, 131.41, 2312564
12/30/24, 131.31, 132.61, 129.85, 131.81, 2458835
12/27/24, 133.59, 134.50, 132.16, 133.385, 2650366
12/26/24, 134.24, 136.27, 134.24, 135.32, 2067513
12/24/24, 134.33, 135.07, 132.83, 134.99, 1677060
12/23/24, 134.81, 135.58, 132.21, 134.52, 4728474
12/20/24, 128.63, 135.82, 128.34, 134.21, 15471730
12/19/24, 129.13, 131.08, 127.91, 129.35, 4745008
12/18/24, 132.025, 133.71, 127.23, 127.54, 4236662
12/17/24, 132.20, 132.61, 130.88, 132.24, 3126163
12/16/24, 131.22, 133.28, 129.17, 132.20, 4136299
12/13/24, 136.65, 137.019, 130.75, 130.95, 5288524
12/12/24, 138.10, 139.10, 134.4001, 137.47, 4254067
12/11/24, 138.68, 140.17, 137.21, 138.84, 4096469
12/10/24, 137.19, 139.8899, 136.62, 138.30, 4777826
12/09/24, 137.00, 138.97, 136.59, 137.27, 3648659
12/06/24, 137.75, 138.86, 136.56, 136.92, 4295842
12/05/24, 138.84, 140.38, 135.51, 136.32, 6174926
12/04/24, 136.55, 139.15, 134.85, 139.07, 3893417
12/03/24, 136.97, 138.37, 135.3762, 137.46, 4681376
12/02/24, 136.01, 137.60, 135.69, 137.49, 3608673
11/29/24, 138.53, 139.53, 135.8333, 136.11, 2664219
11/27/24, 139.67, 140.41, 137.68, 138.28, 2657033
11/26/24, 140.78, 141.75, 139.18, 139.67, 3228419
11/25/24, 138.01, 141.00, 137.75, 140.93, 7930535
11/22/24, 133.30, 140.76, 133.30, 137.34, 6301099
11/21/24, 134.18, 134.95, 132.58, 133.26, 4061137
11/20/24, 130.22, 135.38, 130.22, 135.25, 5537419
11/19/24, 131.15, 131.96, 129.87, 131.44, 5172381
11/18/24, 132.56, 133.4499, 131.58, 132.19, 4511595
11/15/24, 134.20, 134.53, 131.31, 132.50, 4798719
11/14/24, 133.97, 136.66, 133.15, 134.56, 4777628
11/13/24, 133.83, 135.13, 131.3305, 132.76, 4922621
11/12/24, 135.65, 136.12, 133.13, 133.20, 6903453
11/11/24, 136.00, 139.16, 135.12, 137.40, 6535059
11/08/24, 134.67, 137.71, 132.76, 134.61, 19189000
11/07/24, 141.76, 148.64, 141.70, 147.37, 11988900
11/06/24, 141.98, 142.95, 139.41, 140.91, 5110922
11/05/24, 137.55, 140.87, 137.07, 137.82, 4989187
11/04/24, 136.23, 137.55, 135.45, 136.87, 2459746
11/01/24, 133.96, 136.88, 133.8052, 136.46, 3707590
10/31/24, 137.70, 138.06, 134.26, 134.79, 5049074
10/30/24, 136.47, 138.66, 136.31, 136.50, 3010462
10/29/24, 135.33, 138.35, 135.2438, 137.78, 2871886
10/28/24, 136.30, 137.30, 135.40, 135.78, 3260682
10/25/24, 133.38, 135.28, 133.17, 134.58, 2552060
10/24/24, 133.55, 133.75, 131.66, 132.75, 2678040
10/23/24, 135.00, 136.20, 131.27, 131.92, 3444561
10/22/24, 136.11, 136.35, 135.3316, 135.59, 2408385
10/21/24, 135.66, 137.99, 135.13, 137.19, 2900530
10/18/24, 136.81, 136.89, 135.16, 136.45, 2391131
10/17/24, 135.70, 136.65, 135.11, 136.02, 3813990
10/16/24, 134.73, 137.395, 134.32, 135.15, 3691540
10/15/24, 133.51, 134.00, 132.30, 133.27, 3502678
10/14/24, 133.97, 134.98, 133.42, 134.79, 2313963
10/11/24, 132.30, 135.355, 132.30, 134.40, 2714747
10/10/24, 135.55, 136.37, 132.52, 132.81, 3060026
10/09/24, 133.40, 135.76, 132.84, 135.49, 3731800
10/08/24, 130.15, 134.43, 130.15, 132.50, 3304421
10/07/24, 129.085, 131.31, 128.77, 130.23, 2847769
10/04/24, 128.42, 129.93, 127.27, 129.85, 2988440
10/03/24, 124.60, 125.555, 123.58, 125.29, 2246999
10/02/24, 125.33, 126.44, 124.55, 126.18, 2707663
10/01/24, 127.35, 128.20, 123.71, 125.47, 3895531
09/30/24, 127.32, 128.23, 125.92, 126.81, 3810992
09/27/24, 130.16, 130.31, 128.17, 128.25, 2525697
09/26/24, 132.706, 133.34, 129.146, 129.25, 3825948
09/25/24, 131.31, 131.90, 130.30, 130.71, 2310696
09/24/24, 130.58, 131.67, 129.59, 131.48, 4189105
09/23/24, 131.50, 131.64, 128.90, 129.03, 3682591
09/20/24, 129.83, 131.95, 129.03, 131.18, 12476320
09/19/24, 127.93, 131.35, 127.44, 128.75, 7691622
09/18/24, 122.32, 125.66, 122.00, 122.42, 3861293
09/17/24, 119.87, 124.74, 119.485, 122.12, 6323569
09/16/24, 117.99, 118.30, 116.16, 117.55, 3229853
09/13/24, 117.75, 119.21, 117.15, 117.75, 3514203
09/12/24, 116.33, 117.38, 115.05, 117.36, 3076184
09/11/24, 115.09, 116.17, 112.55, 115.96, 3644976
09/10/24, 117.01, 117.4063, 112.86, 115.12, 4080373
09/09/24, 115.11, 117.92, 114.985, 116.36, 4178558
09/06/24, 116.37, 117.26, 113.24, 114.28, 4072379
09/05/24, 114.64, 116.45, 114.60, 116.16, 3593436
09/04/24, 114.27, 115.99, 114.19, 115.21, 3281564
09/03/24, 116.395, 117.835, 114.13, 114.98, 4677100
08/30/24, 116.94, 118.05, 116.29, 117.31, 3279531
08/29/24, 118.17, 119.38, 116.42, 116.60, 3330982
08/28/24, 116.00, 117.73, 115.76, 117.53, 3463705
08/27/24, 115.30, 117.42, 115.17, 116.74, 3457429
08/26/24, 116.85, 117.39, 115.35, 115.71, 4948158
08/23/24, 116.64, 118.70, 116.37, 116.85, 4998414
08/22/24, 117.68, 118.395, 115.30, 115.45, 4875497
08/21/24, 118.04, 118.27, 116.70, 117.68, 5028525
08/20/24, 118.94, 119.28, 117.175, 117.38, 3940048
08/19/24, 116.93, 119.30, 116.44, 119.14, 4184729
08/16/24, 117.90, 118.80, 116.22, 116.31, 4592024
08/15/24, 118.195, 119.133, 116.37, 118.88, 5266295
08/14/24, 117.72, 118.74, 116.18, 116.24, 3504796
08/13/24, 114.39, 117.77, 114.05, 116.90, 4662047
08/12/24, 115.48, 115.50, 113.27, 113.62, 3980998
08/09/24, 114.465, 116.26, 112.60, 115.08, 4764351
08/08/24, 113.98, 116.43, 112.42, 114.64, 8006214
08/07/24, 112.44, 115.55, 110.38, 113.01, 29027859
08/06/24, 126.905, 131.45, 126.30, 130.47, 11148440
08/05/24, 123.77, 125.95, 122.06, 125.31, 7521889
08/02/24, 129.31, 129.60, 126.50, 128.23, 7745494
08/01/24, 139.70, 139.78, 132.90, 135.09, 5166851
07/31/24, 140.79, 141.2199, 139.10, 139.56, 3331392
07/30/24, 140.65, 140.99, 137.90, 138.99, 2996153
07/29/24, 141.24, 142.4299, 140.00, 140.29, 2723157
07/26/24, 141.90, 141.91, 139.03, 140.10, 5101418
07/25/24, 141.25, 141.945, 137.58, 140.03, 5626549
07/24/24, 146.73, 147.11, 142.98, 144.23, 5461901
07/23/24, 150.56, 151.25, 147.83, 148.75, 2676905
07/22/24, 148.14, 150.37, 146.55, 150.18, 3672064
07/19/24, 147.03, 149.16, 147.03, 147.99, 3131618
07/18/24, 148.17, 150.145, 146.75, 146.88, 3593705
07/17/24, 149.24, 150.10, 147.26, 148.00, 3242315
07/16/24, 148.47, 151.64, 147.88, 151.26, 4079268
07/15/24, 145.88, 148.47, 144.75, 147.22, 3546065
07/12/24, 146.83, 148.00, 146.19, 146.78, 2923457
07/11/24, 150.55, 152.00, 144.13, 146.00, 6289510
07/10/24, 153.11, 153.20, 150.09, 151.84, 3263527
07/09/24, 152.92, 155.66, 151.965, 152.45, 4329182
07/08/24, 152.65, 154.20, 150.755, 151.96, 3228334
07/05/24, 152.40, 152.88, 151.44, 152.50, 3836132
07/03/24, 153.91, 154.43, 152.30, 152.73, 1725631
07/02/24, 151.29, 155.21, 151.29, 154.34, 3526073
07/01/24, 152.20, 152.20, 149.14, 151.63, 2904962
06/28/24, 151.54, 152.93, 150.68, 151.63, 3842498
06/27/24, 150.46, 151.88, 149.39, 151.61, 3588639
06/26/24, 149.73, 150.385, 149.37, 150.00, 3797877
06/25/24, 148.97, 151.275, 148.85, 150.91, 5008296
06/24/24, 149.15, 150.04, 146.71, 148.39, 4530892
06/21/24, 148.76, 150.00, 147.25, 149.57, 7648402
06/20/24, 147.77, 149.75, 147.60, 147.88, 2874248
