Date, Open, High, Low, Close, Volume
12/31/24, 103.04, 103.89, 103.04, 103.44, 1689836
12/30/24, 102.28, 103.59, 101.75, 102.97, 1405746
12/27/24, 103.18, 104.45, 102.74, 103.38, 1104883
12/26/24, 102.75, 104.02, 102.51, 103.66, 2491009
12/24/24, 102.80, 103.41, 102.14, 103.24, 901319
12/23/24, 102.06, 102.925, 101.78, 102.74, 1655806
12/20/24, 101.04, 103.17, 100.65, 102.69, 4847599
12/19/24, 100.91, 102.09, 100.59, 101.25, 2447773
12/18/24, 102.52, 103.32, 100.30, 100.37, 2958586
12/17/24, 103.00, 103.70, 102.33, 102.75, 2040665
12/16/24, 104.34, 104.63, 103.75, 103.81, 2386887
12/13/24, 104.56, 105.31, 104.195, 104.52, 2078327
12/12/24, 104.99, 105.54, 104.32, 104.38, 1792556
12/11/24, 104.43, 104.76, 103.75, 104.21, 1803526
12/10/24, 104.37, 104.87, 102.78, 104.22, 1827499
12/09/24, 106.87, 107.00, 104.665, 105.00, 2367830
12/06/24, 107.77, 108.35, 107.09, 107.31, 1913390
12/05/24, 107.40, 108.525, 107.16, 107.75, 1897707
12/04/24, 105.92, 107.25, 105.00, 106.99, 2379598
12/03/24, 112.24, 112.24, 106.74, 106.76, 3045127
12/02/24, 114.17, 114.60, 111.11, 111.40, 2491455
11/29/24, 114.01, 115.07, 113.90, 114.00, 1307241
11/27/24, 114.50, 115.43, 113.94, 114.10, 1208781
11/26/24, 112.73, 114.33, 112.33, 114.02, 1238607
11/25/24, 112.76, 113.98, 112.45, 113.20, 3663811
11/22/24, 112.17, 113.15, 112.15, 112.39, 1770175
11/21/24, 111.00, 112.33, 110.42, 111.73, 1331411
11/20/24, 110.97, 111.16, 109.78, 110.24, 1339589
11/19/24, 110.90, 111.53, 110.07, 111.13, 1449362
11/18/24, 111.32, 112.25, 111.07, 112.04, 1850459
11/15/24, 109.88, 111.91, 108.87, 111.32, 2895295
11/14/24, 110.00, 110.53, 109.12, 109.68, 1638442
11/13/24, 110.42, 111.09, 110.27, 110.44, 1456856
11/12/24, 110.19, 111.14, 110.04, 110.65, 1684625
11/11/24, 108.86, 110.8996, 108.22, 110.43, 1687769
11/08/24, 108.33, 108.71, 107.87, 108.27, 1727329
11/07/24, 108.28, 108.345, 107.28, 107.44, 1889929
11/06/24, 109.69, 109.86, 106.92, 108.56, 2815811
11/05/24, 104.39, 105.59, 104.00, 105.56, 2351263
11/04/24, 105.06, 105.23, 104.05, 104.51, 2578176
11/01/24, 105.29, 106.69, 104.32, 104.71, 2823181
10/31/24, 107.19, 108.24, 104.09, 104.79, 4855607
10/30/24, 109.95, 110.81, 109.55, 110.09, 2268856
10/29/24, 109.50, 110.36, 109.22, 110.00, 2846623
10/28/24, 110.00, 110.585, 109.49, 109.79, 2162710
10/25/24, 112.01, 112.23, 108.9846, 109.75, 2136293
10/24/24, 112.46, 112.69, 111.58, 112.01, 1166375
10/23/24, 111.98, 112.64, 111.69, 112.14, 1256897
10/22/24, 112.48, 112.74, 111.17, 112.16, 1155589
10/21/24, 114.44, 114.69, 112.45, 112.75, 1256723
10/18/24, 115.44, 115.44, 113.91, 114.50, 1996871
10/17/24, 115.29, 115.35, 114.45, 114.99, 1859515
10/16/24, 113.84, 114.495, 113.5385, 114.38, 1237588
10/15/24, 114.28, 115.13, 113.83, 113.99, 3009838
10/14/24, 113.60, 114.22, 113.25, 114.07, 1285423
10/11/24, 112.10, 113.67, 112.10, 113.26, 1478490
10/10/24, 112.17, 112.76, 111.25, 111.61, 1693405
10/09/24, 112.23, 112.485, 110.47, 111.06, 2563860
10/08/24, 112.28, 112.93, 112.01, 112.47, 1203060
10/07/24, 114.97, 114.97, 111.0401, 111.84, 3066296
10/04/24, 114.11, 115.50, 113.75, 115.26, 1717703
10/03/24, 114.12, 114.37, 112.83, 113.53, 1631834
10/02/24, 113.06, 114.32, 112.43, 114.23, 2031878
10/01/24, 111.77, 112.96, 111.14, 112.82, 1894972
09/30/24, 110.71, 112.095, 110.02, 111.80, 3790833
09/27/24, 110.02, 110.97, 109.68, 110.59, 2301650
09/26/24, 109.19, 110.87, 109.19, 110.07, 1709528
09/25/24, 109.59, 110.3598, 108.86, 109.69, 1773695
09/24/24, 109.25, 109.61, 108.78, 109.10, 1508225
09/23/24, 108.23, 110.11, 108.23, 110.02, 2128972
09/20/24, 107.58, 108.105, 107.07, 107.92, 8463031
09/19/24, 109.33, 109.44, 107.81, 107.87, 2679575
09/18/24, 109.72, 110.55, 108.87, 108.96, 2118881
09/17/24, 110.00, 110.25, 109.12, 109.56, 2590339
09/16/24, 109.29, 110.2684, 108.86, 110.17, 2396873
09/13/24, 108.25, 108.80, 108.06, 108.59, 1716373
09/12/24, 107.43, 108.09, 106.93, 107.97, 1680862
09/11/24, 108.07, 108.38, 105.73, 107.36, 2896782
09/10/24, 109.75, 110.25, 108.235, 108.44, 2335498
09/09/24, 109.30, 109.78, 108.61, 109.40, 2621681
09/06/24, 109.76, 110.80, 108.52, 108.89, 2976091
09/05/24, 110.53, 110.86, 108.28, 109.69, 2746546
09/04/24, 109.96, 111.14, 109.00, 110.49, 1882343
09/03/24, 110.27, 110.795, 108.56, 109.07, 2239520
08/30/24, 109.69, 110.68, 109.42, 110.36, 3793535
08/29/24, 108.83, 109.87, 108.12, 109.63, 1509943
08/28/24, 107.85, 109.34, 107.85, 108.83, 1397777
08/27/24, 107.79, 108.26, 107.11, 107.71, 1693019
08/26/24, 107.48, 108.31, 107.34, 107.51, 1739122
08/23/24, 106.99, 107.48, 106.24, 107.34, 1526748
08/22/24, 105.32, 106.64, 105.25, 106.61, 2366867
08/21/24, 104.41, 105.80, 104.41, 105.34, 2161020
08/20/24, 105.20, 105.65, 104.62, 104.80, 1982983
08/19/24, 104.61, 105.39, 104.35, 105.21, 2731987
08/16/24, 102.84, 104.835, 102.16, 104.76, 2613116
08/15/24, 102.66, 103.27, 102.12, 102.54, 2016879
08/14/24, 102.00, 102.86, 101.86, 102.37, 1787906
08/13/24, 101.48, 101.845, 100.78, 101.73, 1456607
08/12/24, 101.53, 101.7999, 101.00, 101.19, 1460900
08/09/24, 101.05, 101.435, 100.3301, 101.21, 1628608
08/08/24, 99.55, 101.06, 98.89, 100.86, 2004747
08/07/24, 98.91, 100.04, 98.66, 99.29, 2395861
