Date, Open, High, Low, Close, Volume
12/31/24, 192.53, 193.40, 191.80, 192.79, 758019
12/30/24, 192.85, 193.13, 189.76, 192.55, 1041705
12/27/24, 194.16, 195.79, 192.59, 193.80, 1094410
12/26/24, 195.46, 195.92, 194.5187, 195.62, 563305
12/24/24, 193.87, 195.82, 192.92, 195.52, 453220
12/23/24, 192.55, 193.84, 191.70, 193.63, 1336149
12/20/24, 188.43, 194.9249, 187.41, 193.56, 2351782
12/19/24, 189.66, 192.13, 188.3815, 189.79, 1478508
12/18/24, 192.49, 193.69, 189.09, 189.25, 1378417
12/17/24, 194.16, 194.51, 191.63, 193.40, 1324362
12/16/24, 197.01, 198.60, 194.875, 195.02, 1409105
12/13/24, 193.82, 197.69, 193.63, 196.26, 1802975
12/12/24, 194.52, 195.13, 191.94, 192.30, 1113020
12/11/24, 195.11, 196.07, 191.14, 193.30, 1541718
12/10/24, 199.45, 199.685, 194.80, 195.06, 1667322
12/09/24, 202.71, 204.42, 198.90, 199.04, 2307275
12/06/24, 203.28, 204.89, 201.535, 203.64, 1050717
12/05/24, 205.75, 206.89, 204.11, 204.23, 1165058
12/04/24, 203.18, 205.83, 202.04, 204.95, 1360949
12/03/24, 205.28, 205.51, 202.585, 203.40, 1277300
12/02/24, 207.81, 208.31, 204.26, 204.39, 1283012
11/29/24, 207.88, 208.715, 207.03, 207.39, 698700
11/27/24, 207.75, 209.88, 206.63, 208.20, 1429554
11/26/24, 204.38, 208.23, 202.39, 207.87, 2010540
11/25/24, 202.84, 205.18, 201.78, 202.03, 4504408
11/22/24, 202.85, 205.3499, 202.21, 203.80, 2346259
11/21/24, 199.64, 203.54, 197.88, 203.48, 2437310
11/20/24, 197.70, 198.63, 196.14, 197.29, 983203
11/19/24, 198.89, 199.50, 196.35, 196.60, 1134586
11/18/24, 196.62, 200.07, 196.38, 199.97, 1108728
11/15/24, 196.02, 198.42, 196.02, 196.88, 1397470
11/14/24, 196.72, 197.91, 194.96, 195.78, 953215
11/13/24, 198.00, 199.745, 196.99, 197.30, 1128140
11/12/24, 197.63, 199.22, 196.57, 198.10, 959640
11/11/24, 197.99, 201.00, 197.17, 197.52, 1339673
11/08/24, 193.51, 198.56, 191.75, 196.90, 2018725
11/07/24, 189.60, 191.20, 186.86, 190.55, 1282259
11/06/24, 195.19, 195.19, 186.94, 188.79, 2349475
11/05/24, 182.53, 185.49, 181.2369, 185.06, 1626805
11/04/24, 185.18, 185.18, 182.01, 182.37, 1431279
11/01/24, 186.15, 187.53, 183.75, 184.15, 1533736
10/31/24, 195.00, 195.10, 185.62, 186.52, 3914857
10/30/24, 187.39, 189.76, 187.39, 189.44, 1469299
10/29/24, 189.14, 189.63, 186.46, 186.57, 1207208
10/28/24, 189.00, 189.94, 188.25, 189.21, 1778291
10/25/24, 192.00, 193.12, 187.94, 188.12, 1154030
10/24/24, 193.41, 194.46, 191.60, 192.00, 977668
10/23/24, 192.01, 193.7999, 191.47, 192.78, 1166668
10/22/24, 191.69, 193.13, 190.3201, 192.78, 777686
10/21/24, 194.95, 195.275, 192.42, 192.64, 1163275
10/18/24, 194.82, 195.72, 193.5239, 195.37, 1051563
10/17/24, 197.50, 198.79, 193.59, 195.51, 1918189
10/16/24, 192.20, 195.87, 192.20, 195.65, 1459205
10/15/24, 191.98, 195.87, 190.98, 193.01, 2423536
10/14/24, 188.31, 191.19, 186.97, 190.53, 1200131
10/11/24, 187.60, 188.68, 186.36, 188.28, 1240617
10/10/24, 191.76, 191.76, 185.10, 185.79, 1271561
10/09/24, 182.04, 185.6733, 181.03, 184.91, 1003415
10/08/24, 182.24, 183.91, 181.64, 182.87, 1167904
10/07/24, 189.95, 190.07, 179.05, 181.25, 2923988
10/04/24, 187.38, 190.79, 187.155, 190.57, 704734
10/03/24, 190.33, 190.505, 187.06, 187.84, 1295540
10/02/24, 189.57, 190.87, 189.3845, 190.22, 729738
10/01/24, 189.22, 191.56, 188.00, 189.88, 1142450
09/30/24, 189.00, 189.88, 186.00, 189.65, 1024524
09/27/24, 188.00, 189.52, 188.00, 188.36, 890769
09/26/24, 189.16, 190.93, 188.0039, 188.69, 835794
09/25/24, 192.58, 192.97, 189.70, 190.00, 1234977
09/24/24, 193.00, 193.00, 190.54, 191.82, 1339787
09/23/24, 191.64, 193.97, 191.465, 192.89, 1712087
09/20/24, 191.10, 193.19, 190.14, 191.00, 4397127
09/19/24, 191.50, 192.50, 187.30, 190.68, 1595025
09/18/24, 190.24, 191.56, 189.425, 191.01, 1235474
09/17/24, 190.40, 191.18, 187.42, 190.26, 948805
09/16/24, 189.60, 191.30, 188.50, 190.56, 994934
09/13/24, 187.50, 188.64, 186.62, 188.30, 1058472
09/12/24, 183.76, 186.39, 182.97, 186.10, 994224
09/11/24, 184.46, 184.99, 181.0901, 184.39, 1765618
09/10/24, 187.69, 188.17, 184.33, 184.87, 1298118
09/09/24, 186.42, 189.05, 185.49, 187.20, 1274339
09/06/24, 187.64, 188.44, 184.35, 185.36, 1687591
09/05/24, 190.17, 190.17, 183.83, 185.76, 1723680
09/04/24, 190.71, 190.75, 188.17, 189.87, 1212916
09/03/24, 190.00, 191.33, 188.87, 189.20, 2314060
08/30/24, 187.46, 189.26, 186.82, 188.94, 1430560
08/29/24, 186.80, 188.80, 185.52, 188.35, 1397748
08/28/24, 185.28, 187.595, 184.7418, 187.06, 1569674
08/27/24, 183.60, 185.52, 183.01, 185.14, 1204379
08/26/24, 180.45, 184.01, 180.15, 183.09, 1858136
08/23/24, 181.85, 181.88, 179.01, 180.51, 1527518
08/22/24, 179.41, 181.30, 178.347, 181.23, 2559697
08/21/24, 181.56, 182.27, 178.34, 178.84, 1865982
08/20/24, 180.74, 181.145, 179.40, 180.41, 1261469
08/19/24, 179.04, 180.84, 179.04, 180.62, 1039077
08/16/24, 178.54, 180.18, 176.90, 179.64, 1236030
08/15/24, 182.88, 184.305, 177.60, 178.11, 2263265
08/14/24, 176.00, 181.3399, 175.76, 180.95, 2231063
08/13/24, 171.58, 173.43, 169.95, 171.96, 1066616
08/12/24, 172.84, 173.03, 170.54, 171.36, 1026116
08/09/24, 170.67, 171.67, 170.14, 171.03, 1000121
08/08/24, 169.94, 171.58, 169.20, 170.52, 1006838
08/07/24, 170.47, 174.75, 170.15, 170.67, 1155015
08/06/24, 169.28, 172.22, 169.21, 169.79, 2327912
08/05/24, 176.85, 176.85, 168.36, 169.02, 1922741
08/02/24, 176.52, 179.96, 173.89, 176.82, 1699634
08/01/24, 174.50, 180.865, 173.00, 177.38, 2443500
07/31/24, 172.96, 173.61, 171.00, 171.12, 1194200
07/30/24, 169.99, 173.91, 169.99, 173.59, 1172879
07/29/24, 169.48, 171.28, 168.29, 169.23, 1471643
07/26/24, 166.46, 171.18, 166.46, 169.17, 1913727
07/25/24, 172.89, 176.22, 162.27, 165.40, 3802341
07/24/24, 174.62, 176.44, 172.25, 172.34, 1232736
07/23/24, 174.51, 175.89, 173.39, 173.60, 903498
07/22/24, 175.50, 175.71, 174.01, 174.83, 960890
07/19/24, 177.54, 177.54, 174.03, 174.38, 1239509
07/18/24, 173.50, 179.93, 173.07, 176.69, 2535119
07/17/24, 168.64, 171.04, 168.64, 170.70, 1078964
07/16/24, 168.07, 169.23, 166.88, 167.81, 1307237
07/15/24, 164.25, 167.22, 164.045, 166.91, 1259938
07/12/24, 162.50, 164.26, 161.8159, 163.69, 1097030
07/11/24, 159.44, 162.16, 158.04, 162.04, 1085408
07/10/24, 159.29, 160.43, 158.18, 159.97, 1172730
07/09/24, 159.18, 160.895, 158.54, 158.72, 1050862
07/08/24, 158.88, 160.59, 158.385, 159.54, 1278743
07/05/24, 159.19, 159.19, 157.50, 158.43, 920202
07/03/24, 159.90, 160.74, 158.77, 159.44, 701232
07/02/24, 159.29, 160.22, 158.27, 160.18, 1245793
07/01/24, 161.34, 161.74, 159.60, 160.54, 1187418
06/28/24, 160.25, 160.955, 158.57, 159.66, 2576311
06/27/24, 158.71, 160.15, 157.89, 160.01, 1222225
06/26/24, 160.91, 160.91, 157.48, 158.36, 1196987
06/25/24, 162.90, 163.045, 160.45, 161.34, 1164993
06/24/24, 160.67, 164.10, 160.55, 162.41, 1301754
06/21/24, 161.05, 161.05, 158.68, 160.51, 2016573
06/20/24, 164.17, 164.545, 160.28, 162.59, 1909936
06/18/24, 157.28, 161.84, 156.87, 160.06, 1920019
06/17/24, 157.53, 158.75, 156.66, 158.74, 2557823
06/14/24, 158.45, 159.28, 156.76, 157.07, 1986593
06/13/24, 160.60, 160.905, 158.43, 160.83, 1188133
06/12/24, 161.00, 163.30, 159.84, 160.63, 1280776
06/11/24, 163.54, 163.54, 161.19, 161.60, 1111084
06/10/24, 165.01, 165.07, 162.945, 163.81, 818993
06/07/24, 163.99, 166.34, 163.14, 165.06, 1351763
06/06/24, 163.53, 164.53, 161.94, 163.12, 942112
06/05/24, 163.51, 164.41, 160.84, 163.30, 1181697
06/04/24, 163.17, 164.60, 162.23, 163.42, 1680286
06/03/24, 166.88, 167.71, 162.72, 164.12, 1504014
05/31/24, 164.57, 167.77, 164.29, 167.52, 2329182
05/30/24, 163.22, 165.22, 162.55, 164.98, 1366240
05/29/24, 164.31, 164.56, 162.92, 163.50, 827891
05/28/24, 164.36, 165.239, 162.81, 164.67, 1460236
05/24/24, 164.50, 164.98, 164.00, 164.84, 988501
05/23/24, 165.00, 165.85, 163.51, 164.00, 2039753
05/22/24, 168.15, 168.99, 165.09, 166.17, 1144587
05/21/24, 168.32, 170.045, 167.84, 168.19, 1901055
05/20/24, 169.51, 169.75, 167.56, 167.86, 823402
05/17/24, 170.55, 170.70, 168.96, 169.51, 988188
05/16/24, 167.65, 169.655, 167.13, 169.08, 1173734
05/15/24, 167.69, 169.24, 165.10, 166.27, 1482285
05/14/24, 170.40, 170.86, 168.65, 169.08, 1135172
05/13/24, 172.91, 173.76, 169.66, 169.88, 1096229
05/10/24, 172.20, 173.03, 171.315, 172.71, 901037
05/09/24, 169.78, 171.68, 169.39, 171.46, 986369
05/08/24, 168.94, 171.1599, 168.94, 170.28, 1295183
05/07/24, 170.35, 170.735, 167.80, 168.19, 1743440
05/06/24, 169.52, 170.86, 168.85, 170.08, 1183266
05/03/24, 167.96, 169.06, 165.235, 168.18, 1668295
05/02/24, 176.00, 177.37, 168.29, 169.18, 3182070
05/01/24, 170.06, 173.79, 170.06, 171.56, 1694292
04/30/24, 169.74, 170.68, 168.54, 170.06, 1124609
04/29/24, 170.61, 170.775, 169.05, 169.58, 1238373
04/26/24, 170.75, 170.915, 168.03, 170.07, 1279038
04/25/24, 172.30, 173.08, 171.29, 172.34, 1161189
04/24/24, 174.845, 174.845, 171.32, 172.27, 1772410
04/23/24, 176.15, 176.93, 174.67, 175.28, 1410936
04/22/24, 173.16, 176.1199, 172.41, 175.41, 1698321
04/19/24, 170.01, 173.85, 169.77, 172.96, 2368220
04/18/24, 165.10, 169.53, 164.675, 169.11, 2068344
04/17/24, 162.27, 164.01, 161.0632, 162.92, 1581466
04/16/24, 166.41, 166.72, 164.08, 164.21, 974874
04/15/24, 168.78, 168.855, 165.465, 165.76, 1127008
04/12/24, 166.00, 168.9899, 165.87, 166.81, 1711289
04/11/24, 168.88, 168.88, 165.53, 165.61, 1270306
04/10/24, 167.72, 170.003, 167.08, 169.75, 1288114
04/09/24, 172.44, 172.92, 166.93, 168.33, 1218612
04/08/24, 173.31, 173.59, 172.00, 172.36, 1004387
04/05/24, 171.93, 173.4604, 171.25, 172.82, 999024
04/04/24, 174.05, 174.5749, 170.39, 171.23, 1242293
04/03/24, 172.64, 173.795, 172.30, 173.42, 930303
04/02/24, 173.01, 173.7675, 171.93, 172.54, 1503191
04/01/24, 173.08, 173.50, 171.29, 172.57, 1397818
03/28/24, 172.03, 173.47, 171.10, 173.01, 1735780
03/27/24, 171.08, 171.60, 168.45, 169.84, 1469647
03/26/24, 169.37, 171.61, 169.13, 170.81, 1704591
03/25/24, 166.52, 169.66, 166.22, 168.97, 2459769
03/22/24, 163.00, 165.57, 162.4953, 165.25, 1572501
03/21/24, 160.11, 162.73, 159.71, 162.17, 1954599
03/20/24, 162.11, 162.86, 160.52, 161.17, 1548437
03/19/24, 164.10, 164.30, 161.2742, 162.36, 1994903
03/18/24, 161.33, 163.33, 160.83, 163.01, 1525819
03/15/24, 157.86, 162.71, 157.46, 162.20, 9247496
03/14/24, 159.76, 160.56, 158.115, 159.38, 1596676
03/13/24, 160.12, 160.49, 158.54, 160.08, 1457641
03/12/24, 160.00, 160.70, 158.02, 159.60, 1798616
03/11/24, 156.57, 159.98, 156.45, 159.94, 1582062
03/08/24, 156.17, 157.43, 155.5858, 156.92, 1145354
03/07/24, 156.98, 157.105, 155.40, 156.64, 1316655
03/06/24, 156.41, 157.21, 154.76, 157.04, 1804088
03/05/24, 156.43, 157.916, 155.99, 156.77, 1356519
03/04/24, 154.32, 156.45, 153.87, 156.38, 1661829
03/01/24, 158.46, 158.80, 154.62, 155.15, 2931128
02/29/24, 160.89, 160.89, 158.30, 159.52, 2637245
02/28/24, 159.56, 160.96, 159.56, 160.59, 1083545
02/27/24, 159.44, 160.17, 158.26, 159.54, 1270603
02/26/24, 159.43, 160.69, 158.81, 159.80, 1311947
02/23/24, 160.16, 161.195, 158.87, 159.13, 1636312
02/22/24, 159.17, 160.985, 156.45, 160.19, 1851599
02/21/24, 160.30, 161.11, 158.18, 159.17, 1977663
02/20/24, 161.50, 162.95, 159.63, 159.72, 1740687
02/16/24, 162.00, 164.43, 161.50, 161.78, 1777742
02/15/24, 162.23, 162.61, 160.14, 161.89, 1757347
02/14/24, 159.17, 161.76, 157.95, 161.39, 1467584
02/13/24, 160.83, 160.83, 157.13, 158.58, 1383294
02/12/24, 160.79, 160.99, 158.91, 159.32, 1196332
02/09/24, 160.35, 160.59, 158.53, 160.03, 1563938
02/08/24, 163.00, 168.05, 159.95, 161.75, 3791930
02/07/24, 157.70, 159.33, 157.535, 158.60, 1871259
02/06/24, 156.45, 157.855, 156.02, 157.35, 966156
02/05/24, 156.46, 157.44, 155.69, 156.83, 1331467
02/02/24, 156.99, 158.20, 156.615, 157.37, 1088332
02/01/24, 154.34, 156.53, 153.42, 156.19, 1005083
01/31/24, 156.85, 157.2899, 154.99, 155.25, 1349751
01/30/24, 155.96, 156.855, 154.97, 156.49, 1135526
01/29/24, 157.28, 158.12, 155.73, 156.06, 1277049
01/26/24, 158.88, 159.02, 157.89, 158.37, 1034876
01/25/24, 158.39, 159.36, 156.9279, 159.06, 1253495
01/24/24, 155.63, 159.60, 155.57, 157.42, 2374686
01/23/24, 155.39, 156.79, 153.84, 154.11, 1140730
01/22/24, 155.43, 156.32, 155.17, 155.39, 940568
01/19/24, 155.00, 156.52, 154.13, 154.88, 1989714
01/18/24, 151.78, 153.30, 150.17, 152.92, 1573673
01/17/24, 151.56, 153.88, 150.97, 152.55, 1615330
01/16/24, 151.43, 152.40, 150.44, 151.50, 1187561
01/12/24, 151.00, 151.195, 148.86, 151.03, 1115380
01/11/24, 149.86, 150.595, 148.23, 150.37, 1532389
01/10/24, 151.05, 152.00, 149.91, 150.31, 1335145
01/09/24, 150.25, 151.36, 148.66, 150.98, 1599871
01/08/24, 149.94, 150.79, 148.58, 149.38, 2398647
01/05/24, 149.34, 150.22, 147.602, 149.98, 1551263
01/04/24, 147.08, 151.46, 147.08, 148.50, 3176606
01/03/24, 144.08, 145.45, 143.7955, 145.00, 1701206
01/02/24, 140.33, 143.91, 140.33, 143.81, 2263559
12/29/23, 139.83, 140.39, 139.41, 139.98, 723378
12/28/23, 138.07, 139.87, 138.07, 139.82, 900510
12/27/23, 137.60, 138.42, 137.425, 138.39, 714368
12/26/23, 137.40, 138.69, 137.07, 138.08, 704907
12/22/23, 135.85, 137.68, 135.29, 137.40, 1227271
12/21/23, 135.70, 135.92, 134.17, 135.40, 1511849
12/20/23, 137.48, 137.87, 135.55, 135.62, 1508880
12/19/23, 138.75, 138.865, 137.68, 138.25, 1738329
12/18/23, 139.10, 139.64, 137.70, 138.75, 1612587
12/15/23, 138.11, 141.95, 138.00, 139.06, 3198710
12/14/23, 143.95, 144.09, 139.02, 139.24, 2535519
12/13/23, 143.74, 144.56, 143.06, 144.35, 1397540
12/12/23, 143.00, 144.52, 142.08, 144.36, 1809464
12/11/23, 140.99, 144.99, 140.00, 143.07, 2447925
12/08/23, 139.78, 139.98, 138.56, 139.32, 806297
12/07/23, 138.82, 139.90, 138.02, 139.02, 1685826
12/06/23, 138.82, 139.98, 138.19, 138.49, 1008070
12/05/23, 138.70, 139.68, 137.48, 138.68, 1504415
12/04/23, 136.89, 139.71, 136.57, 138.64, 1320568
12/01/23, 136.94, 138.00, 136.53, 137.68, 1033490
11/30/23, 134.97, 137.99, 134.97, 137.87, 2574326
11/29/23, 135.46, 136.35, 134.605, 135.49, 1041361
11/28/23, 137.38, 137.40, 135.92, 136.43, 754269
11/27/23, 136.45, 137.818, 136.28, 137.47, 1167739
11/24/23, 136.20, 136.965, 135.86, 136.61, 443213
11/22/23, 135.38, 136.62, 134.771, 136.09, 1034339
11/21/23, 135.01, 135.73, 134.39, 134.96, 1119911
11/20/23, 133.21, 134.88, 132.74, 134.64, 1205563
11/17/23, 135.00, 135.68, 133.30, 134.19, 1125468
11/16/23, 131.99, 135.30, 131.645, 134.75, 2361011
11/15/23, 131.56, 132.84, 130.77, 131.57, 1279376
11/14/23, 129.92, 132.31, 129.1784, 131.65, 1091525
11/13/23, 130.67, 131.117, 129.17, 129.85, 1133112
11/10/23, 129.51, 130.427, 128.33, 130.32, 818140
11/09/23, 129.46, 129.855, 128.62, 128.99, 1133608
11/08/23, 129.42, 129.78, 127.93, 129.28, 795745
11/07/23, 130.52, 130.6175, 128.92, 129.66, 1353138
11/06/23, 131.80, 132.30, 129.47, 130.52, 1263332
11/03/23, 132.17, 133.32, 131.42, 131.73, 2006572
11/02/23, 135.24, 137.99, 129.48, 131.36, 3689238
11/01/23, 129.00, 130.48, 127.59, 129.75, 2992484
10/31/23, 125.63, 128.64, 125.63, 128.13, 2475025
10/30/23, 124.05, 125.57, 123.42, 125.47, 1767685
10/27/23, 124.62, 124.81, 122.53, 123.30, 2431623
10/26/23, 125.59, 126.56, 124.88, 125.62, 1828060
10/25/23, 124.99, 126.95, 124.52, 125.19, 2001746
10/24/23, 123.43, 124.52, 122.47, 124.29, 2456218
