Date, Open, High, Low, Close, Volume
12/31/24, 139.46, 139.89, 138.52, 139.27, 474174
12/30/24, 138.67, 139.48, 137.66, 138.93, 567652
12/27/24, 139.03, 140.54, 138.70, 139.36, 387172
12/26/24, 139.84, 140.28, 138.91, 140.00, 336821
12/24/24, 139.28, 140.12, 138.94, 140.06, 215674
12/23/24, 139.00, 139.68, 137.67, 139.20, 870146
12/20/24, 137.61, 140.45, 137.61, 139.69, 2109658
12/19/24, 136.12, 139.67, 136.05, 137.97, 1139329
12/18/24, 141.38, 143.17, 136.311, 136.41, 1376152
12/17/24, 139.67, 141.43, 138.31, 141.38, 960542
12/16/24, 140.76, 141.68, 140.27, 140.45, 680137
12/13/24, 140.84, 141.24, 139.79, 140.58, 612103
12/12/24, 140.79, 141.21, 139.83, 140.22, 647875
12/11/24, 141.37, 141.6525, 139.67, 140.03, 791973
12/10/24, 140.61, 141.925, 139.17, 141.11, 903879
12/09/24, 141.80, 142.28, 140.74, 141.05, 583445
12/06/24, 143.04, 144.0699, 141.555, 141.96, 673062
12/05/24, 143.59, 145.085, 143.00, 143.04, 616603
12/04/24, 145.26, 145.78, 143.49, 144.00, 902337
12/03/24, 149.53, 149.68, 145.91, 146.03, 1000107
12/02/24, 151.22, 151.22, 148.42, 148.56, 862202
11/29/24, 151.75, 151.76, 150.79, 151.32, 367233
11/27/24, 151.44, 152.645, 151.03, 151.43, 935359
11/26/24, 150.68, 150.73, 149.58, 150.33, 603772
11/25/24, 150.26, 151.17, 149.4693, 150.18, 1828387
11/22/24, 150.74, 151.24, 149.95, 150.05, 538310
11/21/24, 147.99, 150.38, 147.215, 150.26, 697220
11/20/24, 146.16, 147.3636, 146.08, 147.22, 720704
11/19/24, 146.50, 146.86, 145.085, 146.78, 880711
11/18/24, 145.33, 147.78, 145.07, 146.97, 1209919
11/15/24, 144.35, 146.09, 143.76, 144.89, 1553550
11/14/24, 146.83, 146.83, 144.18, 144.34, 616951
11/13/24, 147.69, 147.735, 146.365, 146.51, 831353
11/12/24, 146.44, 148.39, 146.08, 146.82, 714753
11/11/24, 144.89, 146.92, 144.475, 146.11, 1080251
11/08/24, 142.54, 145.27, 141.80, 144.19, 801744
11/07/24, 139.92, 144.51, 138.98, 141.44, 1344836
11/06/24, 138.95, 139.94, 136.65, 138.88, 1132458
11/05/24, 137.48, 137.98, 136.665, 137.98, 893287
11/04/24, 137.76, 138.9399, 137.17, 137.67, 864533
11/01/24, 138.96, 139.265, 137.91, 138.40, 851964
10/31/24, 139.44, 140.75, 138.57, 138.78, 1099899
10/30/24, 141.00, 141.55, 139.22, 139.62, 540330
10/29/24, 140.69, 141.13, 140.05, 140.45, 787225
10/28/24, 141.27, 141.995, 140.89, 141.49, 591145
10/25/24, 143.20, 143.20, 140.54, 140.72, 682076
10/24/24, 143.43, 143.79, 142.26, 142.67, 587463
10/23/24, 141.89, 143.32, 141.67, 143.11, 684308
10/22/24, 141.66, 142.195, 140.765, 141.92, 841902
10/21/24, 143.76, 143.76, 141.71, 142.21, 649533
10/18/24, 143.88, 143.88, 142.38, 143.26, 779021
10/17/24, 144.02, 144.32, 142.45, 143.76, 675935
10/16/24, 142.55, 144.175, 142.43, 143.94, 446159
10/15/24, 141.06, 142.85, 140.91, 142.00, 529901
10/14/24, 139.40, 140.57, 139.145, 140.28, 484462
10/11/24, 138.73, 139.65, 138.705, 139.36, 490166
10/10/24, 137.93, 139.07, 137.735, 138.20, 581505
10/09/24, 138.01, 139.12, 137.495, 138.04, 676619
10/08/24, 138.33, 139.18, 137.70, 138.23, 897790
10/07/24, 139.29, 139.61, 136.66, 137.66, 953298
10/04/24, 138.32, 140.04, 138.09, 139.84, 674240
10/03/24, 139.22, 139.33, 138.06, 139.22, 744237
10/02/24, 137.95, 139.32, 137.53, 139.12, 620427
10/01/24, 138.79, 139.625, 137.83, 138.98, 771025
09/30/24, 138.18, 138.93, 137.295, 138.71, 648601
09/27/24, 137.19, 138.42, 137.00, 137.78, 729002
09/26/24, 136.46, 137.97, 136.065, 136.77, 527553
09/25/24, 137.47, 137.47, 136.14, 136.58, 761541
09/24/24, 136.34, 138.48, 136.03, 136.48, 698114
09/23/24, 136.96, 137.49, 136.4875, 137.35, 732578
09/20/24, 137.42, 137.42, 135.37, 136.56, 2146553
09/19/24, 136.24, 136.87, 134.95, 136.25, 1021649
09/18/24, 138.07, 138.59, 136.09, 136.53, 629335
09/17/24, 138.00, 138.78, 137.79, 138.15, 740330
09/16/24, 137.39, 138.56, 137.02, 138.27, 762467
09/13/24, 135.18, 136.97, 133.8964, 136.97, 887215
09/12/24, 134.44, 135.07, 133.86, 134.77, 795645
09/11/24, 135.70, 136.10, 132.58, 134.78, 927788
09/10/24, 134.25, 136.33, 134.25, 136.20, 1656890
09/09/24, 131.12, 134.02, 130.88, 133.80, 1656760
09/06/24, 131.74, 132.315, 130.66, 130.80, 879197
09/05/24, 133.31, 133.46, 131.18, 131.42, 631547
09/04/24, 132.27, 133.27, 131.20, 132.20, 822601
09/03/24, 130.81, 133.01, 130.67, 131.85, 1029530
08/30/24, 129.36, 131.07, 128.96, 130.74, 872069
08/29/24, 129.25, 129.465, 128.12, 129.39, 503343
08/28/24, 129.58, 130.64, 128.98, 129.09, 652159
08/27/24, 129.96, 130.34, 129.265, 129.31, 430826
08/26/24, 129.76, 131.00, 129.54, 130.19, 656908
08/23/24, 130.11, 130.49, 129.57, 130.09, 507888
08/22/24, 129.67, 130.33, 129.18, 129.72, 433086
08/21/24, 129.27, 130.08, 128.93, 129.59, 648614
08/20/24, 129.31, 129.97, 128.985, 129.26, 478309
08/19/24, 129.14, 130.00, 128.875, 129.41, 653741
08/16/24, 129.34, 129.62, 128.40, 129.21, 876019
08/15/24, 128.08, 129.73, 127.43, 129.03, 846672
08/14/24, 128.48, 129.35, 128.005, 128.66, 725456
08/13/24, 129.22, 129.28, 128.32, 128.80, 461110
08/12/24, 128.29, 129.06, 128.02, 128.64, 591079
08/09/24, 127.29, 128.25, 126.18, 128.05, 674463
08/08/24, 127.70, 128.445, 126.08, 126.95, 1237181
08/07/24, 128.11, 129.36, 127.13, 128.10, 1097844
08/06/24, 127.12, 129.15, 126.93, 127.52, 1054520
08/05/24, 130.86, 131.60, 127.0001, 127.26, 1203917
08/02/24, 132.07, 132.24, 127.955, 129.99, 678785
08/01/24, 128.48, 130.28, 127.7025, 130.08, 813546
07/31/24, 128.34, 128.73, 127.35, 127.88, 1809368
07/30/24, 126.82, 128.49, 126.01, 128.22, 1105064
07/29/24, 126.48, 127.41, 125.57, 127.04, 620366
07/26/24, 125.54, 126.355, 125.25, 126.16, 504438
07/25/24, 126.50, 127.90, 124.71, 124.93, 900421
07/24/24, 125.03, 125.985, 124.75, 125.90, 837752
07/23/24, 123.51, 125.15, 122.87, 124.54, 629498
07/22/24, 123.08, 124.035, 122.70, 123.51, 925266
07/19/24, 123.98, 123.98, 121.81, 122.95, 1031875
07/18/24, 124.02, 125.08, 123.16, 123.22, 1169182
07/17/24, 122.84, 125.38, 122.525, 124.65, 794670
07/16/24, 121.36, 122.48, 120.76, 122.34, 697481
07/15/24, 120.32, 121.26, 119.90, 120.83, 588458
07/12/24, 120.58, 121.84, 120.13, 120.94, 816031
07/11/24, 118.02, 120.275, 117.78, 119.87, 940878
07/10/24, 115.27, 117.07, 114.645, 117.01, 803222
07/09/24, 113.65, 114.99, 113.46, 114.77, 942089
07/08/24, 114.71, 115.065, 113.59, 114.08, 867600
07/05/24, 115.28, 115.86, 114.23, 114.62, 1429173
07/03/24, 116.53, 117.005, 115.16, 115.16, 403055
07/02/24, 116.03, 116.55, 115.61, 116.52, 806352
07/01/24, 116.92, 117.30, 115.745, 115.98, 853420
06/28/24, 117.01, 117.05, 115.575, 116.65, 1452574
06/27/24, 116.25, 116.85, 114.52, 116.55, 644626
06/26/24, 115.35, 116.32, 114.69, 116.11, 931869
06/25/24, 117.96, 118.35, 115.97, 116.53, 1214781
06/24/24, 115.97, 118.37, 115.97, 118.02, 821906
06/21/24, 117.02, 117.91, 116.23, 116.29, 1456966
06/20/24, 116.81, 118.38, 116.70, 117.18, 735640
06/18/24, 116.22, 117.35, 115.91, 117.00, 699056
06/17/24, 115.69, 117.05, 115.31, 116.29, 800881
06/14/24, 115.49, 116.30, 115.21, 116.15, 818916
06/13/24, 116.06, 116.58, 115.25, 116.17, 1537561
06/12/24, 117.27, 117.75, 115.50, 116.18, 1185659
06/11/24, 115.00, 115.795, 114.47, 115.75, 1098490
06/10/24, 114.69, 115.59, 114.45, 115.48, 1060641
06/07/24, 114.35, 115.56, 114.35, 114.78, 1073171
06/06/24, 114.76, 115.51, 114.34, 115.45, 1125266
06/05/24, 115.49, 115.615, 114.385, 115.01, 1087071
06/04/24, 114.92, 116.40, 114.24, 115.89, 880333
06/03/24, 115.92, 116.58, 115.33, 115.51, 892538
05/31/24, 113.09, 116.11, 112.85, 115.92, 1985411
05/30/24, 111.83, 112.62, 111.48, 112.59, 1306616
05/29/24, 111.30, 112.075, 110.97, 111.34, 1165937
05/28/24, 112.80, 113.67, 111.98, 112.04, 1227250
05/24/24, 113.51, 114.17, 112.19, 112.61, 797165
05/23/24, 116.56, 116.56, 113.85, 113.99, 1351051
05/22/24, 117.93, 118.39, 116.89, 117.19, 1200346
