Date, Open, High, Low, Close, Volume
12/31/24, 235.88, 237.46, 231.31, 231.84, 17927721
12/30/24, 234.695, 238.77, 231.62, 235.58, 27316801
12/27/24, 245.64, 245.78, 236.3532, 241.75, 29282230
12/26/24, 240.00, 247.28, 237.60, 245.36, 28537539
12/24/24, 240.115, 240.228, 234.80, 239.68, 22827189
12/23/24, 226.69, 233.3994, 225.13, 232.35, 40643781
12/20/24, 220.36, 230.29, 218.91, 220.79, 131910406
12/19/24, 227.91, 228.05, 217.58, 218.32, 40845168
12/18/24, 239.41, 239.85, 219.22, 223.62, 53960102
12/17/24, 240.65, 242.47, 233.80, 240.23, 70382125
12/16/24, 231.79, 251.88, 230.81, 250.00, 111623203
12/13/24, 213.90, 228.70, 211.11, 224.80, 121336602
12/12/24, 180.93, 182.00, 175.99, 180.66, 46967168
12/11/24, 180.01, 184.87, 176.4296, 183.20, 41295180
12/10/24, 177.81, 178.50, 169.73, 171.81, 27762631
12/09/24, 178.95, 180.7933, 176.0209, 178.94, 20886311
12/06/24, 170.10, 180.68, 169.3301, 179.53, 27830830
12/05/24, 170.75, 172.3981, 169.20, 170.47, 18489990
12/04/24, 173.44, 175.39, 168.56, 170.56, 32748250
12/03/24, 164.48, 168.27, 164.03, 168.15, 17024430
12/02/24, 162.95, 168.3797, 162.75, 166.51, 21472439
11/29/24, 159.57, 162.69, 159.08, 162.08, 11024010
11/27/24, 163.20, 163.20, 157.54, 159.67, 19722721
11/26/24, 164.60, 166.37, 162.69, 164.74, 16308770
11/25/24, 165.395, 167.225, 162.89, 164.82, 26850590
11/22/24, 164.30, 164.9092, 162.40, 164.23, 17332471
11/21/24, 166.25, 166.34, 160.60, 163.94, 24835250
11/20/24, 165.54, 165.54, 160.86, 163.25, 17196730
11/19/24, 166.66, 166.80, 164.31, 165.35, 18003400
11/18/24, 165.66, 166.3463, 162.22, 165.67, 17870330
11/15/24, 168.47, 169.135, 163.43, 164.84, 20836160
11/14/24, 174.77, 175.57, 169.87, 170.38, 20638859
11/13/24, 174.705, 175.5926, 172.60, 173.58, 17472510
11/12/24, 178.90, 179.56, 173.20, 176.22, 15861980
11/11/24, 183.40, 183.63, 176.8201, 178.91, 17036660
11/08/24, 182.99, 185.05, 181.83, 183.64, 13503150
11/07/24, 181.9853, 184.8722, 181.79, 183.81, 18970580
11/06/24, 179.63, 180.21, 175.96, 179.55, 24300760
11/05/24, 170.05, 174.40, 170.05, 173.90, 13441750
11/04/24, 169.28, 172.45, 168.42, 168.55, 13621310
11/01/24, 168.26, 171.3255, 167.50, 168.92, 17847039
10/31/24, 174.45, 174.45, 167.38, 169.77, 26086590
10/30/24, 177.47, 179.19, 175.62, 176.64, 17911490
10/29/24, 172.435, 180.23, 171.2101, 179.24, 23702340
10/28/24, 173.00, 173.9728, 171.345, 172.02, 13195830
10/25/24, 174.19, 176.796, 172.72, 173.00, 19977680
10/24/24, 174.26, 174.30, 169.50, 171.35, 20485170
10/23/24, 177.585, 178.98, 172.57, 173.51, 19513711
10/22/24, 178.66, 180.69, 177.41, 179.38, 12062650
10/21/24, 179.38, 181.7199, 178.25, 179.99, 13695150
10/18/24, 182.32, 182.71, 178.68, 179.89, 17835250
10/17/24, 181.37, 185.51, 180.69, 181.53, 25232430
10/16/24, 178.51, 179.25, 175.33, 176.82, 15285050
10/15/24, 180.79, 181.70, 173.3652, 175.98, 27657529
10/14/24, 183.30, 184.9516, 180.13, 182.31, 17195820
10/11/24, 181.14, 182.59, 177.40, 181.48, 23070020
10/10/24, 183.56, 186.31, 182.53, 185.69, 16317970
10/09/24, 179.24, 186.42, 176.42, 185.95, 25504061
10/08/24, 175.42, 181.60, 174.89, 180.73, 20774189
10/07/24, 174.82, 178.31, 173.86, 175.08, 15588330
10/04/24, 176.30, 176.8998, 172.60, 176.64, 17941391
10/03/24, 169.62, 174.94, 169.19, 171.89, 13072280
10/02/24, 167.55, 172.84, 167.0201, 170.66, 14317830
10/01/24, 172.16, 172.25, 165.80, 167.47, 23770420
09/30/24, 171.87, 172.92, 169.6302, 172.50, 16900029
09/27/24, 178.17, 178.47, 171.76, 172.69, 20580910
09/26/24, 178.50, 180.25, 175.00, 178.09, 24340000
09/25/24, 174.65, 177.14, 173.76, 175.52, 16613801
09/24/24, 172.81, 175.99, 171.68, 174.84, 34223406
09/23/24, 172.00, 173.32, 168.3501, 172.94, 29431109
09/20/24, 167.18, 172.02, 166.47, 171.10, 91758516
09/19/24, 167.68, 170.00, 165.66, 167.42, 32453061
09/18/24, 163.77, 167.47, 161.36, 161.67, 26557561
09/17/24, 165.49, 166.02, 160.70, 162.47, 19844340
09/16/24, 165.19, 165.50, 160.41, 164.02, 26126930
09/13/24, 166.735, 168.08, 164.0401, 167.69, 29850051
09/12/24, 158.10, 166.32, 156.83, 164.56, 43581922
09/11/24, 148.39, 158.87, 145.04, 158.27, 39700770
09/10/24, 141.22, 149.86, 141.04, 148.21, 36067473
09/09/24, 139.11, 141.585, 134.90, 140.82, 39516688
09/06/24, 143.25, 143.50, 136.60, 136.995, 76634633
09/05/24, 150.565, 156.36, 150.11, 152.82, 31548539
09/04/24, 150.30, 157.79, 149.15, 154.12, 20324061
09/03/24, 160.38, 160.74, 151.38, 152.79, 37133200
08/30/24, 161.12, 163.24, 158.71, 162.82, 25158510
08/29/24, 158.49, 163.20, 155.41, 156.93, 23519289
08/28/24, 160.08, 162.28, 156.25, 158.18, 18063619
08/27/24, 157.60, 162.03, 155.83, 161.39, 16683109
08/26/24, 164.96, 165.70, 158.66, 159.62, 18521150
08/23/24, 165.025, 168.28, 163.46, 166.36, 18848020
08/22/24, 170.84, 172.42, 161.49, 162.34, 30044529
08/21/24, 165.12, 166.47, 162.88, 165.78, 16097690
08/20/24, 167.05, 168.3699, 164.15, 165.95, 19417490
08/19/24, 164.86, 167.83, 160.42, 167.71, 20441689
08/16/24, 164.47, 166.09, 162.68, 165.72, 19296869
08/15/24, 161.20, 166.67, 160.3351, 166.13, 27944971
08/14/24, 158.02, 160.25, 154.72, 157.69, 20184199
08/13/24, 151.55, 156.38, 149.81, 156.16, 22053600
08/12/24, 148.08, 151.13, 146.37, 148.62, 17778471
08/09/24, 144.20, 149.55, 144.11, 148.26, 18438660
08/08/24, 141.20, 146.27, 138.40, 145.74, 27583199
08/07/24, 148.25, 150.10, 135.83, 136.27, 29749760
08/06/24, 141.73, 148.91, 140.25, 143.92, 24751289
08/05/24, 129.61, 145.42, 128.50, 142.08, 41309262
08/02/24, 141.925, 145.35, 139.60, 143.82, 33745840
08/01/24, 157.50, 158.91, 146.17, 147.02, 40319961
07/31/24, 151.47, 161.33, 151.00, 160.68, 45827512
07/30/24, 153.28, 153.47, 143.35, 143.52, 31102340
07/29/24, 152.02, 155.00, 149.15, 150.22, 16625760
07/26/24, 153.50, 153.58, 149.9202, 151.63, 20839869
