Date, Open, High, Low, Close, Volume
12/31/24, 607.17, 607.17, 592.28, 594.32, 510410
12/30/24, 601.20, 607.24, 591.14, 604.32, 649149
12/27/24, 620.95, 622.46, 606.55, 610.98, 392170
12/26/24, 630.00, 630.00, 620.96, 623.80, 526622
12/24/24, 619.67, 631.78, 619.07, 631.25, 260504
12/23/24, 634.64, 642.53, 616.9701, 624.14, 626799
12/20/24, 607.95, 633.21, 605.095, 631.69, 7032769
12/19/24, 620.54, 626.58, 608.00, 615.68, 1316458
12/18/24, 637.00, 638.8747, 604.14, 609.96, 1614002
12/17/24, 642.93, 648.6894, 632.00, 635.76, 1497650
12/16/24, 652.00, 654.00, 603.3322, 649.30, 1741642
12/13/24, 635.29, 648.91, 635.00, 644.91, 557664
12/12/24, 648.01, 657.7475, 635.81, 636.41, 667455
12/11/24, 646.68, 651.14, 633.8581, 642.45, 639170
12/10/24, 647.22, 659.68, 633.31, 637.45, 928328
12/09/24, 687.69, 687.97, 631.0322, 642.59, 1177606
12/06/24, 689.73, 698.67, 680.242, 687.69, 938723
12/05/24, 688.01, 695.94, 677.40, 689.78, 732660
12/04/24, 667.09, 689.39, 667.09, 687.39, 925209
12/03/24, 652.82, 675.475, 638.00, 669.87, 1383680
12/02/24, 649.20, 649.3944, 634.95, 636.39, 866764
11/29/24, 639.38, 652.225, 639.00, 646.96, 397629
11/27/24, 632.10, 636.365, 625.81, 634.96, 505877
11/26/24, 622.60, 633.00, 621.215, 632.16, 619320
11/25/24, 639.54, 639.99, 607.20, 619.00, 1499893
11/22/24, 635.50, 641.20, 623.505, 636.95, 699097
11/21/24, 621.99, 640.51, 611.00, 631.27, 885468
11/20/24, 609.18, 613.2499, 598.95, 609.82, 572570
11/19/24, 598.30, 618.0699, 598.01, 610.20, 1064591
11/18/24, 601.04, 610.33, 592.00, 600.00, 669695
11/15/24, 599.53, 602.00, 594.4228, 599.35, 682856
11/14/24, 601.00, 609.37, 592.21, 604.56, 727328
11/13/24, 600.00, 617.1499, 599.72, 601.29, 850740
11/12/24, 609.11, 609.355, 591.74, 595.18, 1390253
11/11/24, 611.06, 624.8399, 588.02, 616.14, 1793148
11/08/24, 540.00, 611.88, 515.00, 603.18, 3966980
11/07/24, 465.50, 471.00, 462.8109, 468.75, 832567
11/06/24, 459.03, 462.64, 450.72, 459.52, 724186
11/05/24, 433.97, 442.77, 433.97, 441.09, 656281
11/04/24, 425.84, 435.504, 424.99, 431.57, 479013
11/01/24, 426.82, 430.155, 424.57, 425.84, 600627
10/31/24, 435.96, 436.90, 422.38, 423.50, 877593
10/30/24, 443.33, 445.48, 438.76, 439.00, 428115
10/29/24, 444.96, 447.625, 443.70, 444.00, 489050
10/28/24, 449.10, 449.10, 443.25, 444.77, 447236
10/25/24, 446.12, 449.83, 442.71, 444.52, 331952
10/24/24, 442.58, 446.7475, 438.17, 443.12, 263431
10/23/24, 447.52, 449.2035, 440.67, 442.69, 389218
10/22/24, 445.10, 455.17, 443.44, 449.61, 624963
10/21/24, 439.00, 444.16, 435.29, 443.98, 335656
10/18/24, 438.78, 438.78, 434.00, 438.05, 228792
10/17/24, 436.00, 437.90, 432.7344, 434.48, 397469
10/16/24, 433.36, 435.40, 428.50, 433.83, 376100
10/15/24, 437.98, 438.0438, 424.568, 434.12, 625379
10/14/24, 437.14, 440.89, 435.44, 437.98, 326365
10/11/24, 430.19, 436.55, 428.77, 434.98, 334523
10/10/24, 430.78, 432.91, 424.34, 428.76, 494195
10/09/24, 424.40, 432.86, 422.21, 432.14, 470903
10/08/24, 424.06, 433.48, 420.49, 426.99, 787479
10/07/24, 421.00, 425.225, 416.88, 420.83, 682956
10/04/24, 418.00, 422.33, 413.68, 421.80, 612225
10/03/24, 404.17, 415.11, 403.16, 415.05, 927266
10/02/24, 400.00, 405.995, 397.53, 404.51, 588184
10/01/24, 399.87, 400.78, 395.37, 399.22, 749293
09/30/24, 395.50, 400.33, 394.24, 399.60, 548958
09/27/24, 394.12, 395.59, 388.37, 395.34, 400734
09/26/24, 396.23, 398.74, 391.97, 393.25, 449069
09/25/24, 394.39, 395.80, 392.02, 395.26, 534495
09/24/24, 395.59, 395.69, 388.355, 393.66, 279634
09/23/24, 394.29, 397.32, 392.00, 393.94, 473099
09/20/24, 387.07, 393.58, 387.06, 393.29, 1202603
09/19/24, 390.00, 391.55, 383.03, 389.74, 461850
09/18/24, 383.50, 387.61, 380.505, 383.01, 402101
09/17/24, 384.03, 386.1399, 376.5301, 382.57, 379075
09/16/24, 380.99, 386.54, 379.98, 385.77, 480096
09/13/24, 382.98, 385.00, 375.71, 379.61, 506481
09/12/24, 364.88, 384.73, 364.60, 384.51, 976901
09/11/24, 357.82, 364.485, 353.91, 361.71, 471546
09/10/24, 364.89, 366.98, 357.105, 359.35, 324778
09/09/24, 358.61, 369.44, 358.61, 364.39, 755959
09/06/24, 356.42, 357.50, 346.71, 354.62, 509150
09/05/24, 353.53, 356.34, 352.11, 354.86, 236479
09/04/24, 351.72, 356.7299, 349.02, 355.35, 681086
09/03/24, 361.35, 363.22, 354.52, 355.16, 584903
08/30/24, 363.13, 366.275, 361.44, 364.97, 454912
08/29/24, 364.03, 368.86, 361.97, 362.00, 316831
08/28/24, 363.43, 368.13, 361.59, 362.45, 323710
08/27/24, 360.49, 364.455, 357.85, 363.43, 286028
08/26/24, 369.11, 370.64, 358.10, 360.49, 568496
08/23/24, 375.69, 376.0478, 369.4343, 370.70, 464467
08/22/24, 375.94, 377.25, 372.44, 372.69, 295606
08/21/24, 373.06, 378.89, 371.45, 375.10, 573401
