Date, Open, High, Low, Close, Volume
12/31/24, 3177.00, 3223.745, 3174.51, 3202.00, 104646
12/30/24, 3235.78, 3235.78, 3180.49, 3185.71, 112469
12/27/24, 3225.00, 3262.10, 3220.96, 3241.62, 78628
12/26/24, 3271.84, 3286.60, 3239.99, 3241.25, 80961
12/24/24, 3269.00, 3286.965, 3252.56, 3283.48, 57453
12/23/24, 3225.23, 3251.835, 3198.92, 3242.23, 175042
12/20/24, 3221.13, 3274.26, 3206.16, 3253.47, 268808
12/19/24, 3266.08, 3266.08, 3209.245, 3215.29, 129595
12/18/24, 3318.30, 3324.36, 3236.695, 3238.52, 136698
12/17/24, 3350.00, 3352.16, 3314.37, 3319.11, 136111
12/16/24, 3369.00, 3392.47, 3335.971, 3350.13, 136066
12/13/24, 3359.34, 3378.96, 3345.439, 3370.27, 111303
12/12/24, 3338.50, 3352.71, 3300.00, 3340.48, 125472
12/11/24, 3339.95, 3394.19, 3339.95, 3342.72, 119122
12/10/24, 3278.21, 3416.71, 3270.00, 3347.16, 230010
12/09/24, 3333.25, 3345.275, 3305.57, 3324.01, 221930
12/06/24, 3238.20, 3313.00, 3218.00, 3309.44, 185501
12/05/24, 3199.89, 3242.55, 3179.002, 3190.07, 105823
12/04/24, 3177.27, 3252.30, 3173.745, 3189.98, 146605
12/03/24, 3187.63, 3209.47, 3171.29, 3189.50, 129958
12/02/24, 3184.00, 3210.04, 3173.38, 3179.52, 160531
11/29/24, 3173.94, 3232.99, 3169.54, 3169.54, 93213
11/27/24, 3124.74, 3194.45, 3124.74, 3190.10, 137176
11/26/24, 3099.81, 3157.53, 3076.435, 3144.21, 247125
11/25/24, 3121.62, 3164.725, 3104.36, 3109.56, 206023
11/22/24, 3086.56, 3114.93, 3082.08, 3099.38, 125962
11/21/24, 3083.39, 3083.39, 3055.022, 3068.69, 92355
11/20/24, 3121.45, 3121.45, 3036.40, 3049.58, 121223
11/19/24, 3141.27, 3141.27, 3097.54, 3106.91, 144156
11/18/24, 3093.01, 3176.905, 3093.01, 3166.93, 130379
11/15/24, 3133.00, 3150.79, 3100.00, 3107.53, 117884
11/14/24, 3189.00, 3200.00, 3131.22, 3136.06, 107597
11/13/24, 3173.99, 3195.87, 3155.82, 3161.87, 103182
11/12/24, 3172.97, 3218.705, 3169.605, 3175.72, 127307
11/11/24, 3117.96, 3182.56, 3117.96, 3173.40, 173159
11/08/24, 3166.93, 3172.65, 3105.63, 3110.12, 145833
11/07/24, 3205.05, 3205.05, 3143.20, 3150.18, 140608
11/06/24, 3123.03, 3232.94, 3123.03, 3196.38, 215779
11/05/24, 3034.46, 3071.92, 3010.45, 3059.83, 138592
11/04/24, 2981.19, 3051.97, 2981.19, 3046.35, 102745
11/01/24, 3020.56, 3026.918, 2980.10, 2981.19, 127168
10/31/24, 3008.94, 3029.15, 2990.395, 3009.00, 156707
10/30/24, 3065.79, 3066.47, 3012.40, 3017.98, 109887
10/29/24, 3090.88, 3108.01, 3060.89, 3060.89, 106771
10/28/24, 3126.12, 3139.28, 3078.47, 3105.93, 109946
10/25/24, 3165.60, 3172.573, 3119.99, 3130.96, 85433
10/24/24, 3146.28, 3171.18, 3112.33, 3153.25, 110988
10/23/24, 3183.45, 3196.55, 3163.385, 3196.55, 130367
10/22/24, 3179.86, 3201.417, 3149.78, 3172.05, 83718
10/21/24, 3185.00, 3223.49, 3185.00, 3218.48, 94077
10/18/24, 3180.46, 3197.21, 3141.44, 3182.07, 113374
10/17/24, 3120.00, 3158.00, 3102.51, 3158.00, 87004
10/16/24, 3100.00, 3136.78, 3078.46, 3128.64, 133656
10/15/24, 3127.00, 3160.605, 3076.75, 3100.00, 189182
10/14/24, 3075.15, 3167.26, 3075.15, 3153.04, 98622
10/11/24, 3122.17, 3138.99, 3100.11, 3129.78, 67285
10/10/24, 3156.44, 3156.44, 3083.556, 3106.55, 97297
10/09/24, 3088.06, 3159.81, 3085.36, 3146.07, 101552
10/08/24, 3072.22, 3102.49, 3042.065, 3102.09, 97205
