Date, Open, High, Low, Close, Volume
12/31/24, 86.07, 86.65, 85.13, 85.80, 1962207
12/30/24, 87.32, 87.40, 85.66, 85.85, 2045336
12/27/24, 88.79, 89.05, 87.62, 88.03, 1773835
12/26/24, 86.41, 89.67, 86.41, 89.37, 2630185
12/24/24, 85.36, 86.85, 85.18, 86.85, 1025004
12/23/24, 85.41, 86.15, 84.53, 85.32, 2049240
12/20/24, 83.82, 85.94, 83.45, 85.55, 5213777
12/19/24, 86.63, 87.07, 84.17, 85.20, 2854133
12/18/24, 87.78, 89.44, 85.99, 86.01, 3440848
12/17/24, 87.08, 87.79, 85.88, 87.48, 2619209
12/16/24, 88.99, 91.54, 87.90, 88.56, 4909704
12/13/24, 88.47, 89.20, 87.02, 87.60, 2238124
12/12/24, 86.90, 89.0999, 86.76, 88.40, 2829171
12/11/24, 87.27, 88.27, 86.84, 87.07, 2892907
12/10/24, 86.84, 87.55, 85.99, 86.71, 5305718
12/09/24, 88.50, 88.70, 87.22, 87.32, 3610059
12/06/24, 90.26, 90.37, 88.10, 88.17, 3295477
12/05/24, 90.50, 91.35, 89.44, 89.80, 2873639
12/04/24, 88.51, 91.12, 87.83, 90.49, 3654550
12/03/24, 90.94, 90.94, 88.7319, 88.97, 3994057
12/02/24, 90.22, 91.72, 88.605, 90.93, 4253229
11/29/24, 89.28, 91.07, 89.0459, 90.00, 2411691
11/27/24, 88.48, 89.88, 87.06, 88.17, 4011994
11/26/24, 86.56, 88.90, 83.81, 88.48, 10598100
11/25/24, 92.88, 95.49, 91.97, 93.03, 8716813
11/22/24, 87.36, 90.22, 87.00, 89.54, 4553058
11/21/24, 86.80, 87.875, 86.11, 86.51, 3295315
11/20/24, 85.96, 87.46, 85.31, 86.77, 4051926
11/19/24, 87.74, 87.91, 86.10, 87.02, 2880064
11/18/24, 92.93, 92.93, 88.90, 89.00, 3501453
11/15/24, 91.77, 92.97, 91.74, 92.66, 3766490
11/14/24, 90.87, 92.70, 90.50, 91.58, 2669920
11/13/24, 90.75, 91.71, 90.195, 90.70, 2452045
11/12/24, 89.68, 91.24, 89.09, 90.20, 2773637
11/11/24, 89.16, 90.06, 88.19, 89.29, 2609217
11/08/24, 90.78, 90.8467, 88.33, 89.20, 2631707
11/07/24, 89.97, 91.535, 89.74, 90.11, 2453515
11/06/24, 88.87, 90.00, 85.81, 89.40, 4943185
11/05/24, 91.76, 92.84, 91.08, 92.84, 2260635
11/04/24, 91.31, 94.18, 91.225, 92.82, 2585508
11/01/24, 90.53, 91.56, 90.22, 90.90, 1975668
10/31/24, 89.95, 90.72, 89.30, 90.43, 2670412
10/30/24, 89.98, 91.3156, 89.57, 90.41, 2201720
10/29/24, 90.67, 91.19, 89.21, 89.97, 3407992
10/28/24, 93.25, 93.97, 91.51, 91.54, 2197779
10/25/24, 94.12, 94.50, 92.155, 92.68, 2023236
10/24/24, 93.59, 94.23, 93.00, 94.12, 1324498
10/23/24, 93.31, 93.96, 92.60, 93.35, 1500828
10/22/24, 92.80, 93.87, 91.86, 93.77, 2032925
10/21/24, 95.96, 96.3075, 92.94, 93.17, 2323444
10/18/24, 96.51, 96.77, 95.97, 96.14, 1864675
10/17/24, 99.00, 99.0005, 96.09, 96.28, 2392945
10/16/24, 98.24, 99.80, 97.855, 98.68, 2454411
10/15/24, 97.15, 99.38, 97.13, 97.57, 2369590
10/14/24, 96.62, 97.05, 95.45, 96.91, 2321480
10/11/24, 97.57, 98.79, 97.045, 97.44, 2137664
10/10/24, 97.89, 98.33, 96.73, 97.52, 1981153
10/09/24, 98.20, 98.72, 97.57, 98.64, 1689926
10/08/24, 97.72, 98.81, 97.59, 98.33, 1988663
10/07/24, 99.81, 100.085, 96.85, 97.82, 3012531
10/04/24, 99.21, 101.04, 98.66, 99.61, 2171504
10/03/24, 98.91, 99.26, 96.60, 98.19, 3608278
10/02/24, 100.62, 101.42, 99.32, 99.71, 1782655
10/01/24, 102.62, 103.10, 100.30, 101.35, 2375673
09/30/24, 102.56, 103.48, 102.24, 103.30, 2807317
09/27/24, 101.41, 102.66, 100.81, 102.26, 4033504
09/26/24, 98.56, 100.1832, 98.24, 100.00, 2839739
09/25/24, 98.80, 98.805, 97.57, 97.84, 2147002
09/24/24, 98.22, 99.00, 97.85, 98.98, 2047249
09/23/24, 97.87, 98.23, 96.70, 97.86, 2079147
09/20/24, 98.37, 98.50, 96.7701, 97.30, 3241760
09/19/24, 99.46, 100.94, 98.265, 98.46, 2897367
09/18/24, 99.50, 100.36, 98.81, 99.07, 2319243
09/17/24, 99.37, 100.28, 99.01, 99.48, 2128074
09/16/24, 98.75, 99.14, 97.09, 98.79, 2617815
09/13/24, 98.51, 99.46, 97.97, 98.45, 1942976
