Date, Open, High, Low, Close, Volume
12/31/24, 178.49, 179.62, 177.55, 178.32, 1175012
12/30/24, 178.15, 179.30, 175.83, 177.93, 1726484
12/27/24, 181.09, 182.85, 179.48, 180.22, 1209146
12/26/24, 180.76, 182.735, 180.01, 182.36, 1255727
12/24/24, 179.83, 182.24, 179.65, 182.12, 931274
12/23/24, 177.40, 180.35, 177.17, 179.97, 2095275
12/20/24, 175.08, 180.863, 174.27, 178.65, 5164475
12/19/24, 178.93, 180.24, 174.29, 175.66, 4034803
12/18/24, 181.64, 182.685, 173.96, 174.44, 3191887
12/17/24, 183.04, 184.30, 181.07, 181.18, 2995335
12/16/24, 184.63, 185.31, 182.97, 185.11, 2105408
12/13/24, 185.88, 186.065, 183.67, 184.53, 2053171
12/12/24, 185.70, 186.65, 184.17, 184.75, 2185207
12/11/24, 184.75, 186.75, 182.876, 186.05, 2802987
12/10/24, 185.04, 185.3757, 182.85, 183.93, 2976823
12/09/24, 186.80, 188.73, 184.60, 184.72, 3212696
12/06/24, 186.36, 188.22, 186.00, 187.96, 2696798
12/05/24, 185.50, 186.56, 184.365, 185.57, 1682558
12/04/24, 186.75, 187.36, 185.00, 185.50, 1783797
12/03/24, 189.41, 189.47, 186.58, 187.06, 2355137
12/02/24, 192.67, 193.00, 187.32, 187.52, 2504535
11/29/24, 193.05, 194.30, 191.87, 192.01, 1132310
11/27/24, 192.30, 193.56, 190.23, 191.29, 1561079
11/26/24, 191.15, 192.215, 189.30, 191.45, 2327471
11/25/24, 188.59, 193.58, 188.03, 191.89, 4899393
11/22/24, 183.08, 187.57, 182.82, 187.06, 2051578
11/21/24, 181.72, 184.102, 180.76, 182.64, 3628190
11/20/24, 181.32, 181.80, 179.95, 180.69, 2310456
11/19/24, 179.67, 182.00, 179.08, 181.00, 2204645
11/18/24, 184.45, 186.10, 182.07, 182.86, 2513996
11/15/24, 183.34, 185.97, 183.08, 185.14, 4122382
11/14/24, 184.52, 185.58, 181.63, 183.00, 3005953
11/13/24, 187.18, 189.18, 184.91, 185.53, 3347223
11/12/24, 189.80, 191.2639, 186.47, 186.79, 3284777
11/11/24, 188.85, 191.99, 186.37, 190.21, 5172179
11/08/24, 184.80, 187.525, 183.25, 185.21, 4247350
11/07/24, 188.08, 189.249, 184.55, 184.82, 4766615
11/06/24, 190.29, 198.30, 185.97, 190.97, 12157320
11/05/24, 162.37, 166.44, 161.915, 166.05, 2489647
11/04/24, 163.65, 163.76, 160.32, 161.28, 2234645
11/01/24, 162.35, 165.18, 162.02, 163.90, 3375221
10/31/24, 167.00, 167.04, 162.77, 162.79, 3426028
10/30/24, 163.92, 167.885, 163.055, 166.77, 2787802
10/29/24, 164.67, 165.36, 162.48, 162.99, 2596626
10/28/24, 161.58, 165.91, 160.0901, 165.37, 4109049
10/25/24, 164.28, 167.9329, 161.11, 161.27, 6087492
10/24/24, 155.20, 155.42, 152.22, 153.26, 3592613
10/23/24, 155.86, 156.995, 152.98, 154.25, 2742235
10/22/24, 157.10, 157.38, 155.37, 156.02, 2187055
10/21/24, 158.58, 159.62, 156.02, 157.02, 2265774
10/18/24, 159.70, 159.76, 155.36, 159.03, 2516982
10/17/24, 158.60, 160.45, 158.07, 159.75, 2771948
10/16/24, 159.10, 159.29, 157.42, 158.07, 1942312
10/15/24, 157.70, 159.78, 155.83, 156.73, 2164801
10/14/24, 155.68, 157.355, 154.0392, 156.61, 2379698
10/11/24, 152.00, 156.34, 152.00, 155.68, 2498943
10/10/24, 151.07, 152.31, 150.12, 151.13, 1440847
10/09/24, 149.91, 151.88, 149.21, 151.80, 2079432
10/08/24, 152.27, 152.525, 149.46, 149.50, 1904446
10/07/24, 152.30, 153.44, 150.66, 152.00, 2016675
10/04/24, 148.78, 153.55, 148.77, 153.44, 2550961
10/03/24, 145.31, 145.74, 143.30, 145.20, 1967224
10/02/24, 146.85, 148.06, 145.18, 146.52, 1881403
