Date, Open, High, Low, Close, Volume
12/31/24, 41.39, 41.94, 41.355, 41.88, 2189760
12/30/24, 41.74, 41.81, 41.23, 41.42, 1886120
12/27/24, 41.61, 42.065, 41.56, 41.81, 1128278
12/26/24, 41.63, 41.87, 41.57, 41.72, 1604847
12/24/24, 41.33, 41.925, 41.2292, 41.64, 1101896
12/23/24, 41.42, 41.66, 41.16, 41.42, 2248931
12/20/24, 41.54, 41.84, 41.13, 41.50, 8884150
12/19/24, 41.52, 41.99, 41.225, 41.58, 2906929
12/18/24, 42.31, 42.50, 41.50, 41.66, 4279453
12/17/24, 42.50, 43.38, 42.39, 43.05, 3609090
12/16/24, 42.80, 43.295, 42.545, 42.56, 2681102
12/13/24, 42.80, 43.26, 42.57, 42.99, 2372965
12/12/24, 43.09, 43.2882, 42.705, 42.92, 3101778
12/11/24, 43.50, 43.66, 42.87, 43.00, 3347550
12/10/24, 42.93, 43.85, 42.785, 43.54, 3467878
12/09/24, 42.54, 43.75, 42.495, 43.11, 3622467
12/06/24, 42.56, 43.02, 42.405, 42.73, 2732688
12/05/24, 42.89, 43.03, 42.37, 42.63, 3687537
12/04/24, 43.52, 43.675, 42.60, 42.69, 6180193
12/03/24, 46.00, 46.18, 45.42, 45.53, 3793679
12/02/24, 46.11, 46.36, 45.875, 46.23, 2316971
11/29/24, 46.21, 46.38, 45.89, 46.20, 1066972
11/27/24, 46.75, 46.95, 46.00, 46.07, 1895156
11/26/24, 46.01, 46.68, 46.01, 46.60, 2366224
11/25/24, 45.48, 46.189, 45.40, 45.93, 3116232
11/22/24, 44.50, 45.40, 44.50, 45.29, 2502426
11/21/24, 43.78, 44.65, 43.40, 44.46, 2188501
11/20/24, 43.53, 43.95, 43.39, 43.81, 1978003
11/19/24, 43.27, 43.57, 42.90, 43.53, 2536092
11/18/24, 43.26, 43.695, 43.10, 43.52, 2713379
11/15/24, 44.34, 44.385, 42.695, 43.15, 4313575
11/14/24, 44.76, 45.55, 44.35, 44.45, 3622726
11/13/24, 44.11, 44.35, 43.85, 44.27, 1884902
11/12/24, 44.75, 44.98, 43.81, 44.24, 2311447
11/11/24, 45.45, 46.16, 44.63, 44.76, 2413910
11/08/24, 45.15, 45.82, 44.87, 45.59, 1852611
11/07/24, 46.25, 46.25, 44.99, 45.12, 2052680
11/06/24, 47.17, 47.25, 46.215, 46.24, 3021868
11/05/24, 46.35, 46.845, 46.11, 46.74, 1377637
11/04/24, 46.44, 46.71, 46.07, 46.38, 1479630
11/01/24, 46.66, 46.66, 46.11, 46.33, 1425342
10/31/24, 46.68, 47.15, 46.55, 46.65, 1615186
10/30/24, 46.74, 46.825, 46.39, 46.68, 1990451
10/29/24, 47.32, 47.44, 46.74, 46.76, 1363928
10/28/24, 47.25, 48.25, 47.25, 47.63, 1536934
10/25/24, 47.09, 47.21, 46.98, 47.07, 1139354
10/24/24, 46.93, 47.41, 46.85, 46.99, 1367215
10/23/24, 47.00, 47.30, 46.72, 46.96, 1498923
10/22/24, 47.26, 47.52, 47.05, 47.36, 1368123
10/21/24, 48.45, 48.54, 47.05, 47.26, 1673913
10/18/24, 48.56, 48.68, 48.225, 48.50, 1776282
10/17/24, 48.27, 48.735, 48.165, 48.71, 1339135
10/16/24, 48.14, 48.65, 48.14, 48.35, 1065789
10/15/24, 48.18, 49.11, 48.01, 48.36, 2072500
10/14/24, 47.61, 48.12, 47.40, 48.10, 1169919
10/11/24, 47.84, 48.02, 47.22, 47.41, 1621114
10/10/24, 47.76, 48.18, 47.55, 47.84, 1829625
10/09/24, 47.49, 47.915, 47.33, 47.50, 1634110
10/08/24, 47.20, 47.65, 46.95, 47.57, 1458595
10/07/24, 47.83, 47.83, 47.02, 47.13, 2451000
10/04/24, 46.89, 47.39, 46.83, 47.35, 1772413
10/03/24, 47.43, 47.48, 46.62, 47.29, 3235318
10/02/24, 48.04, 48.25, 47.62, 47.86, 3147932
10/01/24, 48.86, 49.07, 48.25, 48.36, 2974707
09/30/24, 49.43, 49.56, 48.51, 48.92, 2448845
09/27/24, 49.07, 49.705, 48.91, 49.36, 2432589
09/26/24, 49.32, 49.74, 49.24, 49.42, 2091753
09/25/24, 49.88, 49.98, 49.40, 49.49, 1538452
09/24/24, 50.20, 50.29, 49.41, 49.65, 2307360
09/23/24, 50.91, 51.015, 50.225, 50.45, 2078864
09/20/24, 51.15, 51.74, 51.15, 51.21, 5845484
09/19/24, 50.90, 50.98, 50.46, 50.84, 1817131
09/18/24, 51.34, 51.91, 50.97, 51.08, 2464283
09/17/24, 51.54, 52.19, 51.37, 51.52, 1418909
09/16/24, 51.37, 52.11, 51.37, 51.56, 1794211
09/13/24, 49.84, 51.16, 49.785, 51.09, 2014662
09/12/24, 48.92, 50.01, 48.825, 49.78, 1991959
09/11/24, 51.25, 51.26, 48.78, 49.14, 4047107
09/10/24, 51.74, 52.805, 50.80, 51.10, 3597575
09/09/24, 51.89, 52.24, 51.54, 51.74, 2935619
09/06/24, 51.20, 52.17, 51.20, 51.89, 2627729
09/05/24, 51.86, 52.33, 51.28, 51.34, 2263310
09/04/24, 51.29, 51.685, 50.91, 51.64, 2152382
09/03/24, 49.96, 51.39, 49.84, 51.35, 2603640
08/30/24, 49.01, 49.93, 49.01, 49.72, 3372805
08/29/24, 49.63, 50.11, 48.35, 49.25, 3386371
08/28/24, 49.83, 50.46, 49.59, 50.17, 3514850
08/27/24, 50.63, 50.76, 49.54, 49.84, 3198913
08/26/24, 50.93, 50.99, 50.085, 50.44, 3185161
08/23/24, 50.60, 50.99, 50.51, 50.80, 1914287
08/22/24, 50.72, 50.92, 50.15, 50.60, 1664793
08/21/24, 50.46, 50.95, 50.35, 50.59, 1659236
08/20/24, 49.60, 50.57, 49.60, 50.37, 1910419
08/19/24, 49.34, 50.04, 48.77, 49.95, 2680999
08/16/24, 48.99, 49.17, 48.6801, 49.10, 2093609
08/15/24, 49.65, 49.89, 48.80, 48.94, 3186043
08/14/24, 48.75, 49.925, 48.75, 49.63, 2868113
08/13/24, 48.47, 48.77, 48.04, 48.71, 1497445
08/12/24, 49.02, 49.16, 48.32, 48.44, 1550597
08/09/24, 48.74, 49.24, 48.25, 49.13, 1919885
08/08/24, 48.50, 49.50, 48.22, 48.95, 1618089
08/07/24, 48.79, 49.625, 48.69, 48.70, 2350307
08/06/24, 48.90, 49.43, 48.65, 48.77, 2673843
08/05/24, 49.62, 50.63, 48.535, 48.83, 3756390
08/02/24, 48.50, 49.19, 47.825, 49.10, 3713549
08/01/24, 46.96, 48.03, 46.76, 47.89, 2552799
07/31/24, 47.40, 47.52, 46.83, 46.86, 1859224
07/30/24, 46.64, 47.66, 46.605, 47.63, 2289259
07/29/24, 46.67, 47.09, 46.22, 47.00, 1870694
07/26/24, 46.15, 46.94, 46.09, 46.75, 2644154
07/25/24, 46.72, 47.48, 45.83, 46.27, 2352760
07/24/24, 45.72, 46.58, 45.28, 46.47, 1790703
07/23/24, 45.98, 46.13, 45.43, 45.58, 1463876
07/22/24, 46.29, 46.45, 45.78, 46.22, 2023909
07/19/24, 48.04, 48.04, 46.36, 46.40, 2164319
07/18/24, 47.37, 48.63, 47.36, 47.91, 2150907
07/17/24, 46.26, 47.79, 46.02, 47.72, 2588095
07/16/24, 45.44, 46.11, 45.23, 46.10, 2216158
07/15/24, 45.57, 45.66, 44.81, 45.60, 3086414
07/12/24, 45.47, 45.73, 45.23, 45.47, 1663590
07/11/24, 45.24, 45.55, 44.83, 45.33, 3021379
07/10/24, 45.47, 45.63, 45.22, 45.57, 1521917
07/09/24, 45.04, 45.545, 44.83, 45.38, 2306743
07/08/24, 45.26, 45.54, 44.92, 45.02, 1985842
07/05/24, 44.92, 45.29, 44.755, 45.12, 2609575
07/03/24, 45.20, 45.31, 44.85, 45.01, 1356799
07/02/24, 45.32, 45.63, 45.06, 45.53, 2353785
07/01/24, 45.40, 45.96, 45.235, 45.27, 2761726
06/28/24, 44.92, 45.41, 44.92, 45.19, 2823175
06/27/24, 45.68, 45.68, 44.86, 45.02, 2666029
06/26/24, 45.05, 45.89, 44.35, 45.63, 4393522
06/25/24, 45.17, 45.50, 44.17, 44.19, 3177373
06/24/24, 44.64, 45.39, 44.565, 45.27, 2849917
06/21/24, 44.93, 45.38, 44.50, 44.51, 5453335
06/20/24, 44.73, 45.57, 44.58, 44.75, 3052237
06/18/24, 44.85, 45.13, 44.69, 44.96, 2557583
06/17/24, 43.90, 45.20, 43.90, 44.91, 3385211
06/14/24, 43.48, 44.43, 43.37, 43.99, 4003285
06/13/24, 42.77, 43.53, 42.51, 43.49, 2741928
06/12/24, 43.07, 43.155, 42.41, 42.79, 3536869
06/11/24, 42.46, 43.17, 42.31, 43.10, 2818358
06/10/24, 42.86, 42.9699, 41.97, 42.46, 2607095
06/07/24, 43.49, 43.65, 42.74, 42.86, 3051841
06/06/24, 44.02, 44.21, 43.22, 43.53, 4377849
06/05/24, 43.25, 44.50, 42.41, 44.10, 6439668
06/04/24, 44.08, 44.3899, 43.39, 44.18, 4178200
06/03/24, 44.50, 44.67, 44.04, 44.22, 2637469
05/31/24, 43.59, 44.415, 43.59, 44.38, 4262935
05/30/24, 43.57, 43.73, 43.24, 43.58, 2205398
05/29/24, 44.05, 44.28, 43.385, 43.42, 3075482
05/28/24, 45.07, 45.16, 44.18, 44.22, 2712719
05/24/24, 45.62, 45.8514, 45.18, 45.34, 1520376
05/23/24, 45.96, 46.14, 45.46, 45.64, 1934414
05/22/24, 45.83, 46.31, 45.41, 46.29, 2127027
05/21/24, 46.42, 46.50, 45.765, 46.03, 2038887
05/20/24, 46.55, 46.55, 46.28, 46.38, 1543843
05/17/24, 46.69, 46.69, 46.39, 46.46, 1276587
05/16/24, 45.94, 46.97, 45.80, 46.71, 2151176
05/15/24, 46.17, 46.27, 45.505, 45.72, 1974710
05/14/24, 46.36, 46.82, 46.00, 46.01, 2300251
05/13/24, 46.00, 46.36, 45.88, 46.23, 1940563
05/10/24, 45.17, 45.98, 45.02, 45.95, 1945741
05/09/24, 45.01, 45.43, 44.55, 45.25, 1372505
05/08/24, 45.22, 45.375, 44.945, 45.01, 1417584
05/07/24, 45.15, 45.31, 44.83, 45.16, 1442113
05/06/24, 44.97, 45.12, 44.5814, 44.88, 2056847
05/03/24, 45.70, 45.72, 44.86, 44.88, 2760270
05/02/24, 46.00, 46.15, 45.50, 45.89, 2240887
05/01/24, 45.51, 45.82, 45.09, 45.53, 2414193
04/30/24, 44.85, 45.81, 44.51, 45.71, 2701579
04/29/24, 44.85, 45.17, 44.62, 44.93, 1826419
04/26/24, 45.17, 45.455, 44.82, 44.85, 2394862
04/25/24, 45.75, 45.95, 45.26, 45.37, 3081458
04/24/24, 44.58, 45.705, 44.261, 45.54, 3510037
04/23/24, 45.12, 45.45, 44.94, 44.96, 2396137
04/22/24, 44.25, 45.17, 44.22, 45.12, 2597674
04/19/24, 43.80, 44.385, 43.675, 44.20, 2240682
04/18/24, 43.54, 43.79, 43.38, 43.71, 2343479
04/17/24, 43.29, 43.43, 42.82, 43.31, 1779087
04/16/24, 42.72, 43.185, 42.60, 43.01, 2582183
04/15/24, 42.34, 42.98, 42.31, 42.69, 2061693
04/12/24, 43.22, 43.335, 42.23, 42.31, 1646638
04/11/24, 43.90, 43.96, 43.03, 43.21, 1964424
04/10/24, 44.00, 44.215, 43.41, 43.68, 2313023
04/09/24, 43.75, 44.46, 43.48, 44.45, 3057427
04/08/24, 43.11, 44.05, 43.11, 43.72, 2300232
04/05/24, 43.79, 43.90, 43.125, 43.30, 2937127
04/04/24, 43.20, 44.00, 42.91, 43.99, 3240215
04/03/24, 43.85, 43.95, 42.85, 42.94, 2617094
04/02/24, 44.69, 44.8575, 44.34, 44.42, 2467269
04/01/24, 44.50, 44.955, 44.341, 44.66, 2655380
03/28/24, 44.27, 44.80, 44.27, 44.45, 2889080
03/27/24, 43.57, 44.31, 43.57, 44.07, 1919600
03/26/24, 43.51, 43.695, 43.2224, 43.37, 2974679
03/25/24, 43.66, 43.86, 43.135, 43.37, 1456670
03/22/24, 43.50, 43.66, 43.16, 43.55, 2086371
03/21/24, 43.20, 43.495, 42.9061, 43.25, 2015554
03/20/24, 44.00, 44.14, 43.33, 43.35, 2907898
03/19/24, 43.52, 43.62, 43.06, 43.57, 2694644
03/18/24, 42.58, 43.70, 42.55, 43.32, 3572704
03/15/24, 41.73, 42.775, 41.72, 42.71, 5195574
03/14/24, 42.59, 42.73, 41.74, 41.96, 2268021
03/13/24, 43.20, 43.30, 42.66, 42.81, 2682322
03/12/24, 42.75, 43.08, 42.36, 43.01, 2144053
03/11/24, 42.35, 43.14, 42.35, 43.01, 2573643
03/08/24, 41.95, 42.505, 41.805, 42.25, 2359484
03/07/24, 43.41, 43.50, 41.87, 42.07, 3992549
03/06/24, 44.39, 45.10, 42.59, 43.30, 6271434
03/05/24, 43.51, 43.59, 42.80, 42.95, 3523684
03/04/24, 42.68, 43.315, 42.56, 43.28, 3828049
03/01/24, 42.86, 42.91, 42.46, 42.87, 2644322
02/29/24, 42.37, 42.95, 42.2404, 42.64, 3930714
02/28/24, 42.51, 42.52, 41.82, 42.15, 1718700
02/27/24, 42.18, 42.43, 41.995, 42.26, 2748804
02/26/24, 42.37, 42.59, 42.055, 42.18, 3037997
02/23/24, 42.11, 42.64, 41.91, 42.45, 1611562
02/22/24, 42.30, 42.315, 41.56, 42.20, 2143952
02/21/24, 42.34, 42.74, 42.085, 42.60, 2253144
02/20/24, 41.76, 42.67, 41.66, 42.16, 3536137
02/16/24, 41.11, 41.55, 40.92, 41.45, 3338383
02/15/24, 41.20, 41.43, 40.88, 41.28, 2565484
02/14/24, 41.43, 41.52, 40.26, 40.92, 5126620
02/13/24, 42.51, 42.91, 41.525, 41.73, 4046300
02/12/24, 41.78, 42.52, 41.575, 42.47, 2395751
02/09/24, 42.94, 42.96, 41.715, 41.99, 3026894
02/08/24, 43.44, 43.84, 42.995, 43.10, 2418860
02/07/24, 44.60, 44.60, 43.34, 43.63, 2241776
02/06/24, 43.70, 44.71, 43.60, 44.36, 3188684
02/05/24, 44.78, 44.85, 43.65, 43.72, 2485980
02/02/24, 45.22, 45.46, 44.465, 44.82, 2261609
02/01/24, 43.98, 45.20, 43.64, 45.20, 2380619
01/31/24, 44.70, 45.07, 44.345, 44.63, 2658601
01/30/24, 43.84, 44.70, 43.57, 44.68, 2328231
01/29/24, 44.55, 44.57, 43.77, 43.78, 2918565
01/26/24, 44.40, 44.545, 44.23, 44.50, 1782108
01/25/24, 44.14, 44.50, 43.76, 44.24, 2036701
01/24/24, 44.21, 44.58, 44.01, 44.12, 3036482
01/23/24, 43.12, 44.425, 43.12, 44.25, 3093431
01/22/24, 43.095, 43.23, 42.71, 43.17, 1839879
01/19/24, 43.79, 43.81, 43.08, 43.15, 2228080
01/18/24, 43.82, 43.98, 43.44, 43.71, 2362273
01/17/24, 43.39, 44.43, 43.30, 44.12, 2857325
01/16/24, 43.53, 43.56, 43.141, 43.54, 2735854
01/12/24, 43.74, 43.92, 43.205, 43.42, 1939426
01/11/24, 43.70, 43.78, 43.295, 43.46, 2938987
01/10/24, 44.54, 44.67, 43.625, 43.72, 3077181
01/09/24, 43.90, 44.86, 43.52, 44.80, 3505447
01/08/24, 43.54, 44.01, 43.47, 43.93, 2034845
01/05/24, 43.35, 43.80, 42.985, 43.61, 2063781
01/04/24, 44.60, 44.72, 43.415, 43.47, 2734895
01/03/24, 44.71, 44.90, 44.52, 44.53, 3397201
01/02/24, 43.17, 44.835, 43.13, 44.74, 3198075
12/29/23, 42.93, 43.28, 42.84, 43.23, 2173960
12/28/23, 42.72, 43.03, 42.70, 42.99, 1690733
12/27/23, 42.87, 42.95, 42.715, 42.85, 1736279
12/26/23, 42.74, 43.055, 42.70, 42.98, 1659873
12/22/23, 42.91, 43.345, 42.84, 43.00, 2051797
12/21/23, 42.68, 42.88, 42.23, 42.77, 2356046
12/20/23, 43.41, 43.41, 42.575, 42.60, 4020985
12/19/23, 43.85, 44.01, 43.35, 43.68, 2561377
12/18/23, 43.96, 44.06, 43.5709, 43.76, 2841969
12/15/23, 44.41, 44.49, 43.59, 43.88, 8743464
12/14/23, 45.46, 45.61, 44.38, 44.41, 3461960
12/13/23, 44.48, 45.60, 44.47, 45.34, 4099769
12/12/23, 43.95, 44.515, 43.80, 44.39, 3026468
12/11/23, 43.22, 43.84, 43.10, 43.83, 3286445
12/08/23, 43.43, 43.53, 42.73, 42.91, 2844400
12/07/23, 43.38, 43.98, 42.55, 43.44, 4722659
12/06/23, 41.73, 43.56, 41.6699, 43.24, 6662411
12/05/23, 41.17, 41.2199, 40.1825, 40.37, 5150372
12/04/23, 40.61, 41.30, 40.61, 41.01, 3789111
12/01/23, 40.19, 40.61, 39.90, 40.60, 2643966
11/30/23, 39.76, 40.21, 39.65, 40.18, 6215552
11/29/23, 40.35, 40.4986, 39.74, 39.76, 2681560
11/28/23, 40.66, 40.80, 40.37, 40.44, 2336220
11/27/23, 41.14, 41.16, 40.49, 40.83, 2535069
11/24/23, 40.96, 41.225, 40.96, 41.15, 711120
11/22/23, 40.86, 41.25, 40.73, 40.96, 1962431
11/21/23, 40.88, 40.95, 40.51, 40.65, 2458696
11/20/23, 40.75, 40.815, 40.33, 40.73, 2476357
11/17/23, 41.30, 41.31, 40.4397, 40.88, 5030332
11/16/23, 40.46, 41.275, 40.32, 41.13, 3689048
11/15/23, 40.59, 40.85, 40.35, 40.50, 1735585
11/14/23, 40.53, 40.69, 40.275, 40.57, 3089983
11/13/23, 40.28, 40.74, 40.235, 40.42, 1981088
11/10/23, 40.58, 40.72, 40.07, 40.42, 1999666
11/09/23, 40.39, 40.73, 40.15, 40.64, 1765388
11/08/23, 40.45, 40.72, 40.12, 40.27, 1625952
11/07/23, 40.59, 40.87, 40.33, 40.43, 1911088
11/06/23, 40.97, 41.145, 40.67, 40.70, 2006629
11/03/23, 41.56, 41.675, 40.95, 40.99, 1615335
11/02/23, 40.63, 41.52, 40.63, 41.28, 2132011
11/01/23, 40.53, 40.925, 40.22, 40.67, 2340858
10/31/23, 40.55, 40.60, 40.025, 40.41, 1997959
10/30/23, 40.44, 40.82, 40.24, 40.40, 1874698
10/27/23, 40.71, 41.11, 40.375, 40.44, 1876101
10/26/23, 40.95, 41.23, 40.57, 40.93, 2639595
10/25/23, 39.66, 40.91, 39.635, 40.90, 2316370
10/24/23, 39.71, 40.10, 39.545, 39.60, 2675718
10/23/23, 39.60, 40.055, 39.48, 39.51, 2646854
10/20/23, 39.93, 40.3461, 39.71, 39.72, 2399024
10/19/23, 39.70, 40.13, 39.49, 39.78, 2170897
10/18/23, 39.87, 40.13, 39.63, 39.84, 2386712
10/17/23, 39.89, 40.315, 39.51, 39.63, 2901296
10/16/23, 39.93, 40.28, 39.76, 40.10, 3215189
10/13/23, 38.73, 39.8225, 38.68, 39.71, 4250129
10/12/23, 39.43, 39.50, 37.94, 38.06, 3466981
10/11/23, 39.61, 39.81, 39.185, 39.43, 1994052
10/10/23, 40.42, 40.55, 39.39, 39.56, 3519778
10/09/23, 39.41, 40.375, 39.41, 40.24, 3298403
10/06/23, 38.87, 39.48, 38.12, 39.46, 3801470
10/05/23, 39.89, 40.1994, 39.115, 39.17, 2187156
10/04/23, 39.59, 40.06, 39.44, 39.92, 2594017
10/03/23, 39.29, 39.95, 39.18, 39.87, 3208695
10/02/23, 40.93, 40.98, 39.32, 39.50, 4110888
09/29/23, 41.37, 41.45, 40.92, 41.08, 3002832
09/28/23, 41.56, 41.625, 41.0372, 41.26, 2055754
09/27/23, 41.81, 41.83, 41.18, 41.46, 4511705
09/26/23, 41.95, 42.09, 41.705, 41.76, 2433991
09/25/23, 42.25, 42.39, 41.875, 41.98, 2079371
