Date, Open, High, Low, Close, Volume
12/31/24, 72.035, 72.49, 70.74, 71.59, 2124995
12/30/24, 71.69, 72.395, 71.00, 71.82, 2352363
12/27/24, 72.28, 72.80, 71.69, 72.22, 1702431
12/26/24, 72.38, 73.52, 71.80, 73.10, 1292989
12/24/24, 72.33, 73.00, 71.93, 72.95, 1159695
12/23/24, 70.12, 72.86, 70.11, 72.74, 2638063
12/20/24, 69.89, 71.86, 69.61, 71.44, 7036135
12/19/24, 70.65, 72.10, 69.75, 69.84, 3860966
12/18/24, 73.12, 74.26, 70.76, 70.77, 4020389
12/17/24, 74.76, 76.447, 73.08, 73.13, 2823144
12/16/24, 75.05, 76.995, 74.37, 75.22, 2371023
12/13/24, 77.69, 78.12, 74.59, 75.07, 2325172
12/12/24, 77.72, 78.52, 76.91, 78.25, 1533174
12/11/24, 77.14, 78.13, 76.89, 77.58, 1673768
12/10/24, 78.46, 78.46, 76.08, 76.43, 2003203
12/09/24, 77.36, 79.11, 77.06, 78.65, 2335936
12/06/24, 77.40, 78.36, 77.04, 77.32, 2480749
12/05/24, 79.38, 79.485, 74.36, 77.03, 3286664
12/04/24, 80.17, 80.85, 79.58, 79.75, 2079131
12/03/24, 79.27, 80.64, 79.0866, 80.15, 1524302
12/02/24, 80.70, 81.23, 79.9197, 80.07, 1550882
11/29/24, 82.36, 82.49, 81.10, 81.34, 1062956
11/27/24, 80.53, 82.23, 80.17, 81.97, 1754033
11/26/24, 80.41, 81.14, 79.48, 79.92, 1913802
11/25/24, 80.87, 81.75, 79.80, 80.28, 3044944
11/22/24, 76.90, 80.61, 76.90, 79.81, 3842535
11/21/24, 76.82, 77.20, 74.90, 77.00, 2001125
11/20/24, 71.52, 76.4552, 71.51, 76.27, 4391412
11/19/24, 72.87, 73.30, 71.96, 72.09, 2026207
11/18/24, 71.35, 73.465, 70.77, 73.35, 3527538
11/15/24, 74.96, 74.98, 71.06, 71.25, 3569653
11/14/24, 75.46, 76.36, 74.85, 75.04, 2697507
11/13/24, 75.46, 76.33, 75.34, 75.77, 1736636
11/12/24, 75.70, 76.155, 75.11, 75.41, 2535016
11/11/24, 77.86, 78.00, 75.85, 75.87, 3044960
11/08/24, 76.50, 77.64, 76.49, 77.39, 2277981
11/07/24, 74.80, 76.91, 74.735, 76.30, 2602613
11/06/24, 76.89, 76.99, 74.35, 74.87, 3496878
11/05/24, 74.02, 75.905, 73.71, 75.34, 2419554
11/04/24, 72.69, 74.41, 72.68, 73.83, 2681395
11/01/24, 72.71, 73.745, 71.96, 72.50, 1926886
10/31/24, 73.42, 74.18, 72.79, 72.79, 2342852
10/30/24, 73.30, 74.29, 73.09, 73.46, 2447892
10/29/24, 75.22, 75.605, 73.20, 73.24, 2984841
10/28/24, 74.97, 75.47, 73.485, 74.31, 5792027
10/25/24, 74.39, 75.62, 73.8601, 74.48, 4795674
10/24/24, 72.56, 74.84, 71.63, 73.91, 7892325
10/23/24, 72.435, 72.96, 68.256, 72.82, 14631270
10/22/24, 77.57, 77.74, 75.9888, 76.87, 2881570
10/21/24, 78.49, 79.27, 77.00, 77.36, 2546815
10/18/24, 78.47, 79.78, 77.93, 79.25, 2718136
10/17/24, 77.30, 78.52, 76.7905, 78.33, 2791222
10/16/24, 78.28, 78.77, 76.21, 77.23, 2764797
10/15/24, 77.41, 78.83, 77.31, 78.22, 2019014
10/14/24, 76.68, 77.41, 75.97, 77.34, 2088066
10/11/24, 74.90, 76.91, 74.89, 76.27, 2339294
10/10/24, 74.88, 75.56, 74.26, 74.83, 2016853
10/09/24, 75.11, 76.17, 74.775, 75.70, 1650070
10/08/24, 73.22, 76.73, 73.22, 75.15, 1715692
10/07/24, 73.99, 74.21, 72.755, 73.30, 1532507
10/04/24, 74.44, 74.58, 73.15, 74.10, 2048771
10/03/24, 74.44, 74.92, 73.89, 73.90, 1176518
10/02/24, 73.87, 75.19, 73.704, 75.11, 3182859
10/01/24, 75.36, 75.44, 73.76, 74.65, 1612967
09/30/24, 74.95, 75.67, 74.45, 75.44, 2023905
09/27/24, 75.46, 76.23, 74.87, 75.01, 1634694
09/26/24, 75.50, 75.51, 73.78, 74.73, 4035783
09/25/24, 76.35, 76.35, 73.59, 73.70, 1983027
09/24/24, 77.02, 77.41, 76.30, 76.34, 1868130
09/23/24, 77.80, 78.27, 76.99, 77.37, 1546419
09/20/24, 78.99, 79.00, 76.73, 77.37, 2934142
09/19/24, 78.88, 80.275, 78.60, 79.29, 3083616
09/18/24, 75.82, 77.205, 73.84, 76.85, 3632033
09/17/24, 78.33, 78.6378, 75.66, 75.73, 2853614
09/16/24, 79.86, 80.4476, 77.84, 77.90, 1670787
09/13/24, 77.68, 79.1899, 77.605, 78.87, 1373648
09/12/24, 79.40, 79.76, 76.94, 77.97, 1904568
09/11/24, 78.76, 79.745, 77.00, 79.61, 2163880
09/10/24, 79.77, 79.85, 77.58, 79.20, 1904872
09/09/24, 77.66, 80.00, 76.915, 79.53, 1752058
09/06/24, 77.77, 79.17, 77.105, 77.45, 1880857
09/05/24, 77.67, 77.765, 76.17, 77.36, 1232219
09/04/24, 76.01, 77.33, 76.01, 77.20, 1760111
09/03/24, 76.82, 77.52, 75.33, 75.93, 3116850
08/30/24, 77.68, 78.015, 76.50, 77.30, 1596227
08/29/24, 76.89, 78.07, 76.41, 77.11, 1652452
08/28/24, 77.25, 77.2553, 75.90, 76.525, 1530485
