Date, Open, High, Low, Close, Volume
12/31/24, 143.52, 145.34, 143.32, 144.84, 6137843
12/30/24, 143.79, 143.98, 142.35, 143.07, 6194835
12/27/24, 144.29, 145.71, 143.39, 144.00, 5296875
12/26/24, 143.67, 144.31, 142.90, 143.98, 4494424
12/24/24, 143.10, 144.045, 142.26, 143.84, 3556081
12/23/24, 142.48, 143.345, 141.54, 142.97, 8156466
12/20/24, 140.825, 142.85, 140.55, 142.85, 32209199
12/19/24, 144.57, 144.76, 140.95, 141.15, 16544330
12/18/24, 147.76, 148.67, 143.98, 144.08, 10174490
12/17/24, 148.00, 148.65, 146.91, 148.11, 11909330
12/16/24, 153.89, 153.89, 149.25, 149.36, 11961220
12/13/24, 154.87, 154.961, 153.07, 153.87, 5816180
12/12/24, 155.87, 156.525, 154.2653, 154.71, 7621522
12/11/24, 156.86, 157.17, 155.80, 156.21, 13764740
12/10/24, 159.06, 159.52, 156.70, 157.00, 9126158
12/09/24, 157.00, 160.08, 156.82, 157.08, 9404473
12/06/24, 158.75, 158.83, 155.17, 155.24, 9701694
12/05/24, 159.29, 160.67, 158.69, 159.33, 6358358
12/04/24, 161.83, 161.84, 157.86, 158.32, 7862728
12/03/24, 162.98, 163.197, 161.39, 161.92, 5900066
12/02/24, 162.29, 162.95, 160.11, 162.21, 6229596
11/29/24, 162.25, 162.7499, 160.66, 161.93, 5076953
11/27/24, 162.76, 164.68, 161.61, 162.11, 7674474
11/26/24, 162.31, 162.94, 161.40, 162.53, 7369944
11/25/24, 162.15, 163.17, 159.83, 160.36, 10702400
11/22/24, 161.51, 162.61, 161.15, 162.36, 7006293
11/21/24, 162.02, 162.65, 161.29, 161.63, 7945531
11/20/24, 159.91, 161.44, 159.78, 161.33, 6391252
11/19/24, 159.98, 160.4272, 158.751, 159.60, 4657409
11/18/24, 160.56, 161.52, 159.07, 160.76, 6092141
11/15/24, 161.52, 162.38, 160.76, 161.42, 9022753
11/14/24, 159.84, 161.83, 159.68, 161.80, 10111230
11/13/24, 156.07, 159.02, 154.53, 158.72, 8824013
11/12/24, 157.30, 157.47, 155.12, 155.29, 5681869
11/11/24, 157.14, 157.94, 155.90, 156.50, 7771691
11/08/24, 156.60, 157.58, 155.67, 156.93, 6041457
11/07/24, 157.94, 158.01, 156.40, 156.77, 8143245
11/06/24, 157.10, 158.61, 156.12, 157.72, 12118910
11/05/24, 154.53, 154.67, 152.55, 153.41, 5978897
11/04/24, 154.42, 154.42, 152.6199, 153.97, 6129961
11/01/24, 152.48, 155.9303, 151.70, 153.07, 11727980
10/31/24, 148.755, 149.57, 147.89, 148.82, 8400855
10/30/24, 149.08, 149.65, 147.66, 148.05, 5784011
10/29/24, 150.04, 150.415, 147.87, 148.52, 6014676
10/28/24, 148.25, 150.70, 148.16, 150.54, 8892039
10/25/24, 151.39, 152.12, 150.46, 150.81, 6839894
10/24/24, 151.13, 151.45, 149.38, 150.45, 5474258
10/23/24, 150.36, 151.00, 149.2909, 150.48, 5248853
10/22/24, 151.25, 151.68, 150.22, 150.92, 4416409
10/21/24, 152.00, 152.48, 150.49, 150.88, 5073999
10/18/24, 150.815, 151.08, 149.375, 150.75, 5208202
10/17/24, 149.26, 151.33, 148.97, 151.20, 6593136
10/16/24, 148.35, 149.0312, 148.21, 148.73, 4303737
10/15/24, 148.80, 149.955, 147.56, 147.73, 6704610
10/14/24, 150.52, 151.90, 150.18, 151.78, 4214721
10/11/24, 150.38, 152.33, 150.25, 151.42, 5051314
10/10/24, 150.68, 151.55, 149.85, 150.62, 4420891
10/09/24, 147.51, 150.37, 147.36, 149.65, 4973453
10/08/24, 149.20, 149.60, 147.73, 148.75, 5892739
10/07/24, 151.50, 152.75, 150.69, 151.12, 5895852
10/04/24, 152.48, 152.50, 150.135, 150.74, 7895285
10/03/24, 151.31, 152.17, 150.02, 151.25, 6553282
10/02/24, 151.68, 152.28, 149.26, 150.95, 8105420
10/01/24, 146.35, 150.52, 145.45, 149.70, 9489121
09/30/24, 145.37, 147.48, 144.28, 147.27, 7494608
09/27/24, 142.98, 145.77, 142.84, 145.49, 8049155
09/26/24, 140.90, 143.22, 140.63, 141.99, 8046171
09/25/24, 146.945, 147.41, 143.50, 143.97, 7888444
09/24/24, 148.88, 149.10, 146.91, 147.45, 6014208
09/23/24, 146.25, 148.415, 145.95, 147.54, 6960639
09/20/24, 145.23, 145.91, 143.44, 145.68, 23162859
09/19/24, 145.81, 146.78, 144.93, 144.99, 7247416
09/18/24, 143.32, 145.60, 143.19, 143.96, 6180252
09/17/24, 141.80, 144.14, 141.74, 143.41, 7338782
09/16/24, 141.69, 143.165, 141.065, 142.09, 6864275
09/13/24, 139.87, 141.53, 139.7124, 140.61, 5900747
09/12/24, 138.23, 139.47, 137.42, 139.21, 6593436
09/11/24, 138.21, 138.4801, 135.3672, 137.88, 9534010
09/10/24, 140.895, 141.08, 137.09, 138.23, 8202480
09/09/24, 138.635, 142.02, 138.54, 140.30, 9892347
09/06/24, 141.065, 142.11, 137.87, 138.56, 7836358
09/05/24, 143.17, 143.17, 140.60, 140.93, 9371051
09/04/24, 144.64, 145.5271, 141.67, 142.07, 9820730
09/03/24, 145.55, 145.77, 144.28, 144.66, 7943240
08/30/24, 146.22, 148.08, 145.70, 147.95, 6414755
08/29/24, 146.46, 148.18, 145.44, 147.42, 4466696
08/28/24, 146.44, 147.14, 145.48, 146.00, 5614416
08/27/24, 148.67, 149.55, 146.74, 146.95, 5099956
08/26/24, 148.97, 150.09, 147.55, 148.50, 5780289
08/23/24, 146.525, 148.0937, 146.3152, 147.62, 4824078
08/22/24, 145.35, 146.3343, 145.13, 145.73, 4026998
08/21/24, 145.43, 146.64, 144.55, 145.32, 5984993
08/20/24, 146.33, 146.51, 144.56, 144.69, 7497606
08/19/24, 146.01, 147.73, 145.89, 146.83, 5967406
08/16/24, 146.05, 147.62, 145.64, 147.27, 6874416
08/15/24, 145.59, 147.52, 145.48, 146.80, 6304232
08/14/24, 144.39, 145.24, 143.43, 144.67, 5874216
08/13/24, 144.08, 144.55, 143.05, 144.15, 7794816
08/12/24, 145.84, 146.7381, 139.69, 145.02, 8442174
08/09/24, 144.21, 146.11, 143.19, 144.99, 7653053
08/08/24, 143.075, 144.82, 142.71, 144.49, 7531112
08/07/24, 144.58, 145.725, 142.28, 142.41, 8867862
08/06/24, 144.49, 145.09, 143.12, 143.23, 9692659
08/05/24, 145.52, 145.77, 143.41, 144.66, 13037190
08/02/24, 151.13, 152.04, 147.02, 148.55, 13278620
08/01/24, 158.71, 159.50, 152.03, 152.62, 16689949
07/31/24, 161.69, 161.69, 160.05, 160.47, 6209200
07/30/24, 156.46, 160.09, 156.435, 159.57, 5740861
07/29/24, 158.25, 158.25, 154.86, 156.60, 5071988
07/26/24, 157.73, 159.04, 157.06, 157.84, 5232519
07/25/24, 155.37, 158.26, 154.62, 157.54, 5432141
07/24/24, 154.69, 155.70, 153.42, 155.07, 5971731
07/23/24, 156.35, 156.5969, 153.84, 154.09, 6238721
07/22/24, 158.22, 158.98, 156.855, 156.99, 5577286
07/19/24, 162.48, 162.70, 158.41, 159.15, 6427723
07/18/24, 161.23, 164.28, 160.24, 161.97, 6577674
07/17/24, 158.50, 161.48, 158.29, 161.23, 7296622
07/16/24, 157.01, 158.31, 156.15, 157.77, 6924187
07/15/24, 156.95, 159.52, 156.3705, 158.04, 5661170
07/12/24, 156.16, 156.44, 154.56, 155.59, 6446316
07/11/24, 155.00, 156.68, 154.22, 155.26, 8323125
07/10/24, 152.50, 155.44, 152.30, 155.13, 5416594
07/09/24, 153.00, 154.76, 152.3481, 152.98, 5303129
07/08/24, 153.32, 155.28, 153.32, 154.33, 4990726
07/05/24, 156.55, 156.55, 153.68, 154.31, 6183056
07/03/24, 156.94, 157.74, 156.5641, 156.71, 3264196
07/02/24, 157.68, 157.72, 155.45, 156.75, 7216801
07/01/24, 157.16, 158.70, 155.98, 156.52, 5584116
06/28/24, 157.52, 158.58, 156.17, 156.42, 11283390
06/27/24, 156.70, 156.94, 155.635, 156.32, 5568733
06/26/24, 158.46, 158.46, 155.79, 155.95, 8637756
06/25/24, 159.12, 159.36, 157.67, 158.46, 6056711
06/24/24, 156.27, 159.54, 156.19, 159.31, 7971620
06/21/24, 156.80, 157.665, 155.22, 155.28, 21292090
06/20/24, 153.71, 157.41, 153.25, 156.64, 8336031
06/18/24, 153.55, 155.95, 152.84, 153.33, 6942882
06/17/24, 152.50, 153.93, 151.93, 153.19, 6321386
06/14/24, 153.13, 153.295, 151.97, 152.57, 6159138
06/13/24, 153.77, 154.09, 152.23, 152.84, 6163015
06/12/24, 157.49, 157.625, 152.40, 154.22, 10017420
06/11/24, 156.17, 156.75, 154.48, 156.49, 5132009
06/10/24, 156.41, 158.20, 156.32, 156.74, 7075943
06/07/24, 155.71, 157.69, 155.13, 156.08, 5887651
06/06/24, 154.50, 156.02, 153.39, 155.93, 5215140
06/05/24, 156.16, 157.02, 154.53, 154.98, 7058506
06/04/24, 155.72, 156.35, 154.11, 156.13, 6360542
06/03/24, 161.49, 161.68, 156.46, 157.46, 9009935
05/31/24, 158.63, 162.58, 158.51, 162.30, 10334230
05/30/24, 156.85, 158.455, 156.81, 158.26, 6371243
05/29/24, 158.02, 158.49, 156.44, 156.90, 5909632
05/28/24, 158.12, 159.42, 157.95, 159.04, 6928298
05/24/24, 158.08, 158.97, 157.30, 157.75, 4477720
05/23/24, 157.92, 158.60, 156.33, 156.94, 6718378
05/22/24, 159.52, 159.52, 156.52, 157.57, 6260509
05/21/24, 160.58, 161.46, 159.74, 159.97, 4783287
05/20/24, 162.72, 163.00, 161.075, 161.14, 4913820
05/17/24, 161.75, 162.9679, 161.19, 162.67, 5497919
05/16/24, 161.53, 162.00, 160.48, 161.09, 6409418
05/15/24, 163.13, 163.80, 160.17, 163.05, 7603063
05/14/24, 164.34, 165.20, 163.02, 163.61, 4923968
05/13/24, 166.48, 166.91, 162.98, 164.53, 6848303
05/10/24, 166.04, 166.42, 165.0153, 165.82, 5490944
05/09/24, 163.02, 165.51, 162.73, 165.45, 6683313
05/08/24, 161.95, 163.08, 161.5367, 162.54, 6706361
05/07/24, 162.31, 163.15, 162.02, 162.67, 6869948
05/06/24, 160.73, 164.02, 160.73, 162.30, 8430277
05/03/24, 160.66, 160.66, 157.04, 160.25, 11664510
05/02/24, 160.41, 161.775, 159.89, 160.73, 8597124
05/01/24, 160.78, 161.45, 158.90, 159.63, 7714962
04/30/24, 165.97, 166.12, 160.95, 161.27, 8457341
04/29/24, 165.91, 167.11, 164.69, 166.33, 6366752
04/26/24, 165.23, 166.98, 163.30, 165.89, 9736350
04/25/24, 163.70, 165.60, 162.67, 165.28, 9702581
04/24/24, 161.88, 163.84, 161.446, 163.57, 7610335
04/23/24, 161.31, 162.85, 160.60, 162.85, 5597617
04/22/24, 159.95, 162.70, 158.4403, 161.92, 6779221
04/19/24, 158.75, 160.75, 158.1495, 160.00, 7734654
04/18/24, 157.14, 158.04, 156.39, 157.57, 4979193
04/17/24, 155.99, 157.7099, 155.64, 156.40, 6733879
04/16/24, 157.30, 157.81, 155.42, 156.28, 5541895
04/15/24, 159.94, 160.4899, 157.36, 157.59, 7236857
04/12/24, 162.29, 163.87, 158.045, 158.96, 11071050
04/11/24, 163.62, 163.62, 159.80, 161.89, 7682512
04/10/24, 162.21, 162.77, 161.01, 162.67, 7525837
04/09/24, 161.85, 162.5316, 160.46, 162.00, 6577437
04/08/24, 161.65, 162.501, 160.33, 161.27, 7253196
04/05/24, 161.33, 162.17, 159.86, 161.60, 7432807
04/04/24, 160.80, 161.95, 159.82, 160.69, 9269716
04/03/24, 160.10, 160.95, 159.72, 160.44, 7819734
04/02/24, 160.05, 161.22, 159.02, 159.78, 8815351
04/01/24, 158.27, 159.5899, 156.94, 159.08, 6285717
03/28/24, 157.15, 158.19, 156.37, 157.74, 8331627
03/27/24, 154.87, 156.44, 154.85, 156.35, 7416870
03/26/24, 156.52, 156.86, 154.65, 155.27, 6677938
03/25/24, 155.48, 157.31, 155.27, 156.47, 6058745
03/22/24, 155.08, 155.28, 154.16, 154.66, 5974745
03/21/24, 154.95, 155.69, 154.41, 154.86, 7899084
03/20/24, 155.76, 156.43, 154.23, 154.55, 8449145
03/19/24, 155.30, 156.84, 155.01, 156.62, 7736723
03/18/24, 156.03, 156.67, 154.944, 155.41, 7242711
03/15/24, 155.19, 157.04, 154.42, 155.55, 20387160
03/14/24, 153.77, 155.73, 152.76, 155.70, 9047206
03/13/24, 153.24, 154.88, 153.15, 153.89, 8065649
03/12/24, 151.83, 152.57, 150.79, 151.89, 6432930
03/11/24, 150.50, 152.08, 149.59, 152.00, 7577064
03/08/24, 149.37, 149.99, 148.39, 149.88, 7528378
03/07/24, 148.50, 150.7495, 148.45, 149.37, 8739348
03/06/24, 150.83, 152.41, 148.14, 148.33, 14692140
03/05/24, 148.83, 150.62, 148.30, 149.59, 6985516
03/04/24, 152.50, 152.59, 147.67, 148.88, 12503150
03/01/24, 153.05, 154.3499, 152.25, 152.81, 7459056
02/29/24, 152.91, 153.24, 151.48, 152.01, 9334432
02/28/24, 152.358, 153.86, 151.78, 152.34, 6715861
02/27/24, 153.20, 153.88, 149.90, 152.16, 15093760
02/26/24, 154.54, 155.55, 153.83, 154.45, 6900801
02/23/24, 154.87, 154.92, 153.25, 154.66, 6561628
02/22/24, 154.82, 156.625, 153.83, 155.43, 8874924
02/21/24, 154.57, 155.565, 154.10, 155.44, 6630084
02/20/24, 155.47, 155.61, 153.83, 154.00, 6977945
02/16/24, 155.37, 155.77, 154.09, 154.63, 7570220
02/15/24, 149.91, 155.09, 149.67, 154.46, 8950304
02/14/24, 151.28, 152.20, 150.08, 151.01, 5995064
02/13/24, 152.62, 153.07, 149.605, 150.60, 6987058
02/12/24, 151.62, 152.6137, 151.39, 152.08, 6713003
02/09/24, 154.42, 155.32, 150.98, 151.04, 9194458
02/08/24, 151.95, 154.30, 151.65, 154.06, 9236968
02/07/24, 153.02, 153.78, 151.17, 152.13, 6252041
02/06/24, 152.50, 153.54, 151.81, 152.35, 6198841
02/05/24, 151.62, 153.51, 150.7904, 152.33, 8277776
02/02/24, 150.86, 153.38, 149.55, 152.24, 12839060
02/01/24, 148.19, 149.02, 146.52, 147.89, 8138669
01/31/24, 150.37, 150.38, 147.34, 147.43, 10427970
01/30/24, 148.18, 150.3056, 147.71, 150.12, 9902881
01/29/24, 149.09, 149.22, 147.11, 149.08, 10494820
01/26/24, 148.03, 149.26, 146.98, 149.14, 9151896
01/25/24, 146.22, 148.69, 145.225, 148.57, 9773620
01/24/24, 142.70, 144.98, 142.221, 144.92, 8100014
01/23/24, 141.985, 143.33, 141.90, 142.09, 6767179
01/22/24, 141.91, 142.66, 140.92, 142.49, 9184626
01/19/24, 141.73, 142.25, 141.01, 142.24, 11192460
01/18/24, 143.00, 143.19, 139.62, 141.82, 11187840
01/17/24, 142.42, 144.02, 142.04, 143.12, 8167002
01/16/24, 146.515, 146.58, 143.58, 143.69, 9380352
01/12/24, 147.83, 148.50, 146.17, 147.27, 9386923
01/11/24, 145.56, 146.17, 144.62, 145.28, 8612493
01/10/24, 146.02, 146.02, 144.11, 144.50, 8490407
01/09/24, 149.95, 149.95, 145.59, 145.70, 11784670
01/08/24, 148.42, 149.695, 146.58, 149.50, 10038190
01/05/24, 151.98, 152.03, 149.83, 150.40, 7455430
01/04/24, 153.66, 154.35, 150.59, 150.66, 8220280
