Date, Open, High, Low, Close, Volume
12/31/24, 60.56, 61.11, 60.09, 60.50, 4326488
12/30/24, 60.17, 61.184, 59.36, 60.72, 5153493
12/27/24, 61.99, 62.39, 61.05, 61.26, 7175435
12/26/24, 62.00, 62.85, 61.71, 62.40, 4478333
12/24/24, 61.41, 62.95, 61.267, 62.56, 3218411
12/23/24, 60.60, 61.56, 59.89, 61.52, 7196445
12/20/24, 59.83, 61.84, 59.83, 60.93, 13918620
12/19/24, 59.69, 60.61, 58.87, 60.38, 9403329
12/18/24, 60.98, 61.98, 58.31, 58.88, 8171812
12/17/24, 60.84, 61.29, 60.45, 60.81, 5537803
12/16/24, 61.42, 61.81, 60.54, 61.05, 6105166
12/13/24, 62.29, 62.29, 60.94, 61.52, 5835554
12/12/24, 63.60, 63.79, 61.39, 61.63, 8166426
12/11/24, 62.98, 63.98, 62.67, 63.48, 7100322
12/10/24, 63.68, 64.25, 62.34, 62.77, 6552624
12/09/24, 64.47, 64.86, 62.20, 62.26, 6331669
12/06/24, 66.98, 67.1109, 64.17, 64.53, 8635300
12/05/24, 66.64, 67.50, 65.35, 65.77, 9380137
12/04/24, 62.92, 64.27, 62.77, 64.26, 5301203
12/03/24, 63.41, 63.53, 62.07, 62.57, 5337566
12/02/24, 64.00, 64.23, 63.16, 63.41, 6299594
11/29/24, 63.65, 64.08, 63.559, 63.82, 3111351
11/27/24, 64.07, 64.40, 63.23, 63.62, 5557391
11/26/24, 64.86, 65.9437, 63.985, 64.14, 5499626
11/25/24, 64.33, 65.18, 63.97, 64.49, 7901271
11/22/24, 63.45, 63.615, 62.90, 63.34, 6625374
11/21/24, 64.70, 65.05, 63.29, 63.34, 9931515
11/20/24, 64.10, 65.05, 61.66, 63.64, 10922890
11/19/24, 61.69, 65.16, 61.2909, 64.75, 9800398
11/18/24, 64.08, 64.08, 62.38, 63.24, 6632730
11/15/24, 65.44, 65.84, 63.86, 64.07, 9852574
11/14/24, 65.02, 66.25, 64.6151, 64.85, 7311828
11/13/24, 64.26, 65.74, 64.01, 64.46, 8528921
11/12/24, 63.20, 64.11, 62.81, 64.05, 6598717
11/11/24, 61.08, 63.835, 60.83, 63.56, 8087430
11/08/24, 60.91, 61.71, 60.50, 61.05, 4646339
11/07/24, 61.65, 62.4749, 60.41, 60.43, 7399970
11/06/24, 60.50, 62.66, 60.33, 62.32, 16683600
11/05/24, 57.09, 58.63, 57.08, 58.29, 5390568
11/04/24, 57.82, 58.12, 56.81, 56.89, 7959832
11/01/24, 57.49, 59.1869, 57.49, 58.39, 9588383
10/31/24, 58.30, 59.09, 57.10, 57.22, 7749424
10/30/24, 57.12, 59.07, 57.12, 58.46, 11088960
10/29/24, 54.70, 57.37, 54.60, 57.34, 9524056
10/28/24, 55.50, 56.64, 55.36, 55.38, 10898800
10/25/24, 55.00, 55.265, 53.8701, 54.12, 5982881
10/24/24, 55.28, 55.76, 54.115, 54.77, 5724629
10/23/24, 54.39, 55.09, 54.2372, 54.65, 6624048
10/22/24, 55.08, 55.22, 54.17, 54.80, 5701359
10/21/24, 54.68, 55.21, 54.45, 55.10, 6869410
10/18/24, 55.55, 56.235, 54.86, 55.80, 8222110
10/17/24, 55.50, 56.05, 55.06, 55.26, 8349868
10/16/24, 53.25, 56.4825, 53.20, 56.31, 18957850
10/15/24, 53.84, 54.29, 52.55, 52.73, 9175445
10/14/24, 51.35, 53.37, 51.0718, 53.18, 9581403
10/11/24, 49.97, 51.52, 49.44, 51.33, 8037189
10/10/24, 50.51, 51.50, 49.29, 50.29, 16893670
10/09/24, 50.80, 51.88, 50.62, 50.98, 9670500
10/08/24, 49.93, 51.20, 49.90, 50.62, 8425775
10/07/24, 49.07, 49.675, 48.91, 49.47, 7103368
10/04/24, 49.07, 49.65, 48.35, 49.28, 8581150
10/03/24, 48.42, 48.5003, 46.90, 47.46, 9561805
10/02/24, 49.38, 49.38, 48.195, 48.40, 8141960
10/01/24, 50.80, 50.98, 49.08, 49.96, 10546020
09/30/24, 51.46, 51.61, 50.2658, 50.79, 8086033
09/27/24, 52.015, 52.45, 51.21, 51.54, 10931300
09/26/24, 50.00, 51.99, 49.66, 51.81, 17920430
09/25/24, 47.98, 49.19, 47.96, 48.75, 9203392
09/24/24, 47.37, 47.89, 46.87, 47.80, 6652704
09/23/24, 46.865, 47.43, 46.5001, 47.16, 5449640
09/20/24, 47.055, 47.16, 46.52, 46.94, 9728430
09/19/24, 47.69, 47.80, 46.87, 47.13, 6676792
09/18/24, 46.81, 47.97, 46.454, 46.92, 7584019
