Date, Open, High, Low, Close, Volume
12/31/24, 74.38, 75.50, 73.58, 74.94, 1893554
12/30/24, 75.50, 76.74, 74.66, 74.77, 3129210
12/27/24, 76.21, 76.42, 75.4801, 75.99, 2137610
12/26/24, 73.75, 76.30, 73.11, 76.19, 2679978
12/24/24, 73.89, 74.01, 72.87, 73.38, 1120513
12/23/24, 72.73, 73.98, 71.83, 73.73, 2850193
12/20/24, 69.11, 73.01, 68.675, 72.94, 7044717
12/19/24, 69.47, 70.00, 68.17, 69.06, 3082523
12/18/24, 70.11, 71.39, 69.24, 69.27, 2632176
12/17/24, 69.66, 70.455, 69.31, 70.11, 2046680
12/16/24, 70.01, 70.945, 69.38, 70.03, 2530703
12/13/24, 70.62, 70.80, 69.12, 70.09, 2640734
12/12/24, 71.79, 72.41, 70.33, 70.83, 2448101
12/11/24, 72.63, 74.56, 71.50, 71.63, 3242318
12/10/24, 72.00, 73.69, 69.9244, 72.80, 2825707
12/09/24, 72.94, 73.86, 71.15, 71.60, 2795325
12/06/24, 73.76, 74.8698, 71.635, 71.87, 3912654
12/05/24, 75.275, 76.76, 71.33, 72.56, 5203393
12/04/24, 76.02, 76.47, 72.20, 73.83, 9219013
12/03/24, 72.13, 73.57, 71.53, 72.48, 6080995
12/02/24, 71.78, 73.76, 70.7954, 72.81, 4893759
11/29/24, 71.82, 72.28, 70.49, 71.27, 2164227
11/27/24, 69.98, 71.86, 69.745, 71.50, 3148241
11/26/24, 69.05, 69.39, 67.788, 69.12, 3182544
11/25/24, 67.16, 70.90, 67.16, 69.78, 4374738
11/22/24, 65.80, 67.39, 65.7631, 66.40, 3013368
11/21/24, 63.39, 65.87, 62.87, 65.76, 4060259
11/20/24, 64.02, 64.25, 61.70, 63.18, 6029671
11/19/24, 66.53, 67.24, 64.72, 64.87, 3520550
11/18/24, 64.63, 68.48, 64.38, 66.53, 5000147
11/15/24, 66.12, 66.39, 64.095, 64.20, 19886320
11/14/24, 65.22, 66.59, 64.20, 65.67, 3832157
11/13/24, 62.43, 65.21, 61.845, 65.15, 4844764
11/12/24, 61.17, 62.37, 60.49, 62.27, 3560115
11/11/24, 61.20, 62.94, 60.89, 61.21, 4318610
11/08/24, 63.00, 63.82, 60.86, 61.41, 5127813
11/07/24, 62.52, 64.15, 62.34, 63.54, 5790541
11/06/24, 64.14, 64.49, 60.52, 62.41, 9838851
11/05/24, 67.215, 67.53, 65.63, 66.77, 6030643
11/04/24, 67.03, 70.37, 66.70, 66.81, 7128162
11/01/24, 64.76, 66.73, 63.56, 66.60, 4638408
10/31/24, 63.60, 65.14, 62.80, 64.64, 6000238
10/30/24, 64.32, 65.28, 63.25, 63.31, 4656613
10/29/24, 65.62, 66.30, 64.46, 64.50, 4538715
10/28/24, 66.50, 67.1225, 65.76, 66.26, 2799979
10/25/24, 67.56, 68.10, 66.12, 66.45, 2262780
10/24/24, 66.51, 67.00, 65.975, 66.95, 2384482
10/23/24, 66.99, 66.99, 65.645, 66.13, 3467967
10/22/24, 67.11, 67.17, 65.045, 66.94, 4171559
10/21/24, 68.034, 68.62, 66.93, 67.31, 3254370
10/18/24, 67.91, 69.06, 67.31, 68.20, 3448299
10/17/24, 68.05, 68.435, 66.96, 67.86, 3306941
10/16/24, 67.92, 69.17, 67.39, 68.02, 2541451
10/15/24, 66.76, 68.79, 66.2455, 67.73, 2828027
10/14/24, 68.73, 68.76, 66.76, 66.80, 3510751
10/11/24, 69.47, 70.08, 68.78, 68.94, 2519569
10/10/24, 69.37, 69.72, 68.64, 69.36, 2690691
10/09/24, 69.35, 69.76, 68.75, 69.63, 2255843
10/08/24, 69.35, 70.59, 68.785, 69.48, 2464719
10/07/24, 71.45, 71.46, 68.94, 69.46, 2694822
10/04/24, 70.22, 71.62, 69.79, 70.90, 3409741
10/03/24, 69.53, 69.53, 68.32, 69.08, 2381516
10/02/24, 70.13, 70.44, 69.295, 69.49, 2255220
10/01/24, 70.36, 71.32, 68.32, 70.44, 3035509
09/30/24, 72.78, 73.055, 69.85, 70.32, 4114799
09/27/24, 72.99, 74.86, 72.86, 73.12, 3699614
09/26/24, 71.11, 73.30, 71.00, 72.88, 3574778
09/25/24, 71.43, 71.60, 69.98, 70.55, 3268714
09/24/24, 71.96, 71.96, 70.88, 71.29, 3850077
09/23/24, 71.17, 73.40, 70.79, 71.76, 4143196
09/20/24, 73.69, 73.70, 71.00, 71.73, 7963338
09/19/24, 76.96, 76.98, 73.65, 73.88, 4470387
09/18/24, 73.34, 76.595, 73.215, 75.67, 4598757
09/17/24, 72.45, 73.59, 71.50, 73.50, 4210961
09/16/24, 69.87, 72.09, 69.63, 71.91, 4904490
09/13/24, 69.33, 70.7897, 68.74, 69.70, 5029074
09/12/24, 66.48, 70.0395, 66.48, 67.89, 4672582
09/11/24, 65.50, 67.37, 64.98, 66.58, 5143596
09/10/24, 67.22, 68.01, 64.38, 65.39, 5944585
09/09/24, 66.21, 68.6399, 65.53, 67.42, 6447493
09/06/24, 68.27, 69.125, 65.72, 66.50, 7538315
09/05/24, 63.09, 68.63, 62.15, 68.47, 20774939
09/04/24, 72.79, 73.50, 60.815, 63.56, 30925240
09/03/24, 84.49, 85.215, 81.55, 81.65, 6964460
08/30/24, 85.01, 85.40, 83.72, 84.49, 5093482
08/29/24, 86.07, 88.95, 84.77, 84.79, 6501709
08/28/24, 95.22, 96.16, 94.20, 94.46, 2656187
08/27/24, 96.38, 96.92, 95.01, 95.40, 3161699
08/26/24, 98.01, 98.23, 96.13, 96.55, 2170249
08/23/24, 98.32, 98.60, 96.94, 97.00, 2164017
08/22/24, 100.10, 100.10, 97.77, 97.96, 1637757
08/21/24, 103.50, 104.17, 98.99, 99.98, 2988280
08/20/24, 99.70, 100.54, 98.79, 99.19, 1278329
08/19/24, 99.07, 101.165, 99.07, 100.51, 2305621
08/16/24, 96.74, 98.95, 96.08, 98.78, 1901420
08/15/24, 97.358, 100.66, 95.42, 97.19, 3513990
08/14/24, 92.98, 93.19, 91.63, 92.37, 2312166
08/13/24, 93.60, 94.06, 91.40, 92.45, 2685868
08/12/24, 95.06, 95.22, 92.28, 93.90, 2217686
08/09/24, 94.60, 95.70, 94.285, 95.05, 1886470
08/08/24, 95.00, 96.61, 94.49, 94.93, 1477127
08/07/24, 97.27, 98.96, 94.93, 95.03, 1413654
08/06/24, 96.38, 98.31, 96.16, 96.58, 2004374
08/05/24, 98.93, 99.345, 95.44, 96.50, 3474916
08/02/24, 101.115, 101.46, 98.2601, 99.53, 3532199
08/01/24, 104.24, 104.5299, 99.67, 99.75, 2820458
07/31/24, 105.00, 106.25, 104.24, 104.34, 2174917
07/30/24, 103.53, 105.43, 103.085, 105.33, 2849479
07/29/24, 103.74, 104.48, 102.5015, 103.74, 1841503
07/26/24, 102.85, 104.24, 102.625, 103.93, 1878028
07/25/24, 104.19, 106.14, 102.40, 102.63, 2331055
07/24/24, 107.00, 107.32, 103.33, 103.69, 2999065
07/23/24, 106.56, 108.15, 106.22, 107.01, 2358426
07/22/24, 107.09, 108.57, 106.32, 107.21, 2279278
07/19/24, 106.71, 107.53, 105.31, 106.56, 2927962
07/18/24, 107.89, 108.925, 105.99, 106.67, 4349556
07/17/24, 102.95, 105.50, 102.39, 105.34, 2946068
07/16/24, 102.94, 105.455, 102.56, 104.82, 2913516
07/15/24, 106.84, 106.955, 103.505, 103.83, 2820928
07/12/24, 107.08, 108.74, 106.59, 107.36, 1852544
07/11/24, 102.86, 107.54, 102.75, 106.73, 2678430
07/10/24, 104.43, 104.71, 101.83, 102.48, 3464156
07/09/24, 106.41, 106.41, 103.90, 104.03, 2320873
07/08/24, 107.00, 107.81, 106.00, 106.72, 1437237
07/05/24, 106.03, 106.90, 105.53, 106.68, 1117512
07/03/24, 106.85, 107.655, 105.37, 105.95, 971173
07/02/24, 107.01, 107.55, 106.42, 107.11, 1953803
07/01/24, 106.87, 109.36, 106.26, 107.25, 2730308
06/28/24, 105.04, 107.32, 104.25, 106.77, 3212651
06/27/24, 103.45, 106.28, 103.04, 105.21, 7071051
06/26/24, 105.13, 105.635, 101.85, 103.43, 5643736
06/25/24, 106.89, 106.89, 104.93, 105.41, 2367327
06/24/24, 107.00, 108.46, 106.01, 107.35, 4359425
06/21/24, 108.01, 108.665, 106.24, 106.87, 5231956
