Date, Open, High, Low, Close, Volume
12/31/24, 422.20, 424.24, 418.63, 419.76, 333797
12/30/24, 426.34, 426.34, 420.69, 420.72, 399902
12/27/24, 427.92, 432.49, 427.92, 429.62, 291050
12/26/24, 428.48, 434.35, 428.33, 432.62, 300979
12/24/24, 427.53, 432.145, 424.82, 431.00, 214898
12/23/24, 425.59, 427.59, 420.45, 426.54, 333209
12/20/24, 428.63, 432.52, 424.01, 426.18, 932774
12/19/24, 436.40, 437.75, 421.39, 427.64, 791264
12/18/24, 446.71, 447.02, 430.48, 430.71, 476641
12/17/24, 446.54, 449.7514, 442.97, 446.74, 406895
12/16/24, 453.00, 457.1299, 447.22, 447.72, 385101
12/13/24, 462.74, 465.825, 449.73, 453.17, 501195
12/12/24, 458.00, 468.87, 457.62, 464.89, 485288
12/11/24, 454.18, 464.98, 453.50, 457.35, 397861
12/10/24, 457.00, 458.3935, 452.235, 454.16, 489272
12/09/24, 459.82, 462.28, 452.7053, 457.74, 505051
12/06/24, 467.49, 470.75, 459.07, 459.59, 387155
12/05/24, 467.92, 470.94, 465.39, 465.41, 466306
12/04/24, 463.49, 468.54, 461.86, 466.86, 400125
12/03/24, 465.64, 466.43, 458.91, 462.22, 619500
12/02/24, 474.58, 475.50, 462.71, 466.18, 656938
11/29/24, 475.10, 479.3386, 473.4901, 476.19, 234473
11/27/24, 475.90, 478.2782, 471.00, 472.34, 392274
11/26/24, 471.64, 473.35, 464.21, 472.91, 453426
11/25/24, 460.25, 474.39, 460.00, 469.18, 943527
11/22/24, 446.40, 457.58, 446.00, 453.35, 518090
11/21/24, 440.42, 450.16, 438.00, 445.85, 487161
11/20/24, 439.80, 441.40, 432.88, 438.97, 508117
11/19/24, 441.76, 443.80, 436.0001, 439.80, 480617
11/18/24, 433.50, 450.875, 433.50, 444.90, 856721
11/15/24, 458.55, 460.235, 429.48, 430.43, 1571308
11/14/24, 437.00, 441.09, 432.34, 435.97, 763744
11/13/24, 440.60, 443.63, 438.35, 439.55, 348329
11/12/24, 445.02, 449.25, 436.42, 440.60, 357292
11/11/24, 461.90, 462.75, 446.50, 446.87, 653479
11/08/24, 452.95, 462.41, 452.27, 459.73, 611383
11/07/24, 443.93, 448.77, 443.2361, 448.44, 387599
11/06/24, 435.00, 444.33, 429.96, 441.95, 654296
11/05/24, 428.90, 431.48, 426.53, 428.00, 543939
11/04/24, 425.88, 431.84, 425.00, 429.98, 637603
11/01/24, 415.36, 430.80, 415.36, 425.83, 672661
10/31/24, 412.91, 417.76, 411.71, 413.73, 610695
10/30/24, 409.70, 417.00, 408.00, 410.02, 471286
10/29/24, 416.91, 419.50, 412.24, 413.14, 499402
10/28/24, 417.41, 421.45, 413.93, 417.24, 593972
10/25/24, 416.79, 419.9999, 412.78, 413.81, 497139
10/24/24, 422.19, 424.8999, 414.96, 415.11, 465477
10/23/24, 426.34, 427.59, 418.83, 422.70, 480492
10/22/24, 429.30, 430.75, 426.61, 426.78, 323477
10/21/24, 429.00, 431.95, 425.14, 431.29, 407631
10/18/24, 430.99, 431.35, 425.9264, 428.85, 380750
10/17/24, 429.46, 429.9999, 424.615, 429.38, 412190
10/16/24, 426.12, 431.10, 422.93, 428.36, 502222
10/15/24, 426.51, 431.41, 424.515, 427.26, 657593
10/14/24, 427.22, 431.80, 420.23, 428.08, 648655
10/11/24, 414.83, 432.87, 412.82, 429.67, 1277459
10/10/24, 417.80, 423.35, 398.00, 408.75, 2344805
10/09/24, 412.65, 419.33, 411.29, 413.20, 1169647
10/08/24, 410.49, 417.91, 410.49, 411.15, 710275
10/07/24, 412.50, 416.16, 407.27, 410.00, 965412
10/04/24, 423.15, 425.505, 417.79, 425.31, 569029
10/03/24, 422.37, 422.37, 415.97, 420.89, 443861
