Date, Open, High, Low, Close, Volume
12/31/24, 78.62, 78.78, 77.33, 77.77, 1966385
12/30/24, 79.28, 79.60, 77.67, 78.00, 2753046
12/27/24, 80.03, 80.50, 79.63, 80.24, 1797810
12/26/24, 79.54, 80.67, 79.25, 80.57, 1350864
12/24/24, 79.56, 80.83, 78.59, 80.24, 1153109
12/23/24, 78.90, 80.25, 77.7987, 79.54, 2389520
12/20/24, 75.47, 81.51, 75.47, 80.04, 11578520
12/19/24, 75.64, 76.28, 74.50, 75.82, 3815111
12/18/24, 77.26, 77.57, 75.23, 75.26, 2949352
12/17/24, 76.30, 78.38, 76.05, 77.80, 3613816
12/16/24, 76.87, 77.42, 75.05, 76.41, 4013482
12/13/24, 78.60, 78.72, 76.82, 77.19, 2956879
12/12/24, 80.18, 80.96, 77.825, 78.93, 3209972
12/11/24, 79.825, 81.12, 79.41, 80.47, 2913125
12/10/24, 78.79, 80.90, 77.895, 79.41, 2969863
12/09/24, 78.09, 79.11, 77.55, 78.41, 2288040
12/06/24, 79.21, 79.50, 77.33, 77.72, 2645420
12/05/24, 80.91, 81.00, 78.06, 78.92, 3275903
12/04/24, 80.86, 82.26, 80.69, 81.01, 3229957
12/03/24, 79.00, 81.11, 78.0901, 80.91, 3609716
12/02/24, 78.19, 80.18, 77.5001, 79.31, 3277964
11/29/24, 78.40, 79.37, 77.89, 77.99, 1510418
11/27/24, 78.43, 78.62, 77.18, 78.10, 2003316
11/26/24, 78.65, 79.38, 76.9401, 77.94, 4142028
11/25/24, 74.20, 78.22, 73.27, 77.83, 6579325
11/22/24, 74.85, 75.286, 72.51, 72.83, 4562893
11/21/24, 74.83, 75.76, 74.14, 74.46, 3231191
11/20/24, 74.73, 75.31, 72.94, 75.24, 3077219
11/19/24, 75.70, 76.61, 74.65, 74.88, 3351898
11/18/24, 75.88, 78.16, 75.69, 76.27, 3898229
11/15/24, 75.51, 78.11, 75.13, 75.88, 6879181
11/14/24, 72.60, 75.78, 71.75, 74.68, 4517812
11/13/24, 74.455, 74.55, 71.84, 72.53, 4170400
11/12/24, 69.46, 75.47, 69.23, 74.34, 5469099
11/11/24, 70.07, 72.04, 69.6298, 70.31, 4532141
11/08/24, 69.00, 70.99, 68.735, 69.96, 3153680
11/07/24, 68.79, 68.98, 67.695, 68.91, 4671422
11/06/24, 69.82, 70.25, 67.895, 68.61, 5193568
11/05/24, 69.69, 69.69, 68.37, 69.00, 3408061
