Date, Open, High, Low, Close, Volume
12/31/24, 62.28, 62.68, 61.865, 61.95, 2131378
12/30/24, 62.46, 62.67, 60.74, 62.06, 3293847
12/27/24, 63.36, 63.80, 62.46, 62.81, 1997479
12/26/24, 63.57, 64.12, 63.33, 63.81, 1840641
12/24/24, 63.57, 63.90, 63.08, 63.78, 1471910
12/23/24, 64.80, 65.165, 63.32, 63.63, 4131253
12/20/24, 63.67, 65.49, 63.35, 65.01, 12499950
12/19/24, 64.40, 65.63, 63.72, 63.95, 5237989
12/18/24, 64.52, 66.52, 64.08, 64.11, 7134743
12/17/24, 65.20, 65.20, 63.71, 64.23, 4507261
12/16/24, 63.48, 64.185, 62.60, 63.64, 4414189
12/13/24, 63.88, 64.26, 63.50, 63.84, 4278640
12/12/24, 63.10, 64.57, 63.03, 63.90, 3771126
12/11/24, 63.23, 64.39, 63.155, 63.17, 4688957
12/10/24, 62.55, 63.50, 61.86, 63.23, 5171371
12/09/24, 63.73, 66.06, 63.26, 65.14, 5440285
12/06/24, 64.01, 64.48, 63.59, 63.62, 2871330
12/05/24, 63.27, 63.94, 63.06, 63.62, 2373524
12/04/24, 62.97, 64.00, 61.16, 63.32, 3406954
12/03/24, 62.91, 63.505, 62.57, 62.94, 2982859
12/02/24, 63.21, 63.31, 62.15, 63.17, 4655688
11/29/24, 64.01, 64.40, 63.25, 63.29, 3266358
11/27/24, 65.20, 65.20, 64.07, 64.31, 2818597
11/26/24, 64.92, 65.505, 64.78, 65.09, 3192727
11/25/24, 63.745, 65.91, 63.68, 64.99, 7571805
11/22/24, 61.77, 63.43, 61.57, 63.24, 3104477
11/21/24, 60.98, 61.9926, 60.44, 61.41, 3527778
11/20/24, 60.63, 60.94, 60.12, 60.82, 3980985
11/19/24, 61.01, 61.55, 60.40, 61.10, 3654664
11/18/24, 61.39, 61.87, 61.13, 61.41, 2731302
11/15/24, 62.30, 62.46, 61.07, 61.43, 5167624
11/14/24, 61.60, 62.73, 61.14, 62.30, 4195571
11/13/24, 61.68, 62.09, 60.955, 61.89, 4251483
11/12/24, 62.11, 62.74, 61.00, 61.50, 4008037
11/11/24, 62.00, 62.89, 61.97, 62.43, 3432938
11/08/24, 62.41, 62.50, 61.50, 61.89, 3260382
11/07/24, 60.90, 62.24, 60.84, 62.02, 4975108
11/06/24, 61.99, 62.63, 60.345, 61.08, 5512035
11/05/24, 60.73, 61.565, 60.58, 61.51, 5236835
11/04/24, 58.05, 60.33, 58.05, 60.23, 6351374
11/01/24, 57.70, 58.3087, 57.54, 58.11, 7848154
10/31/24, 58.885, 58.89, 56.33, 57.51, 10499320
10/30/24, 62.74, 62.86, 62.03, 62.63, 7200329
10/29/24, 62.59, 63.30, 62.44, 62.77, 4675421
10/28/24, 63.604, 63.73, 62.96, 62.99, 3072157
10/25/24, 63.85, 64.039, 63.01, 63.10, 3117256
10/24/24, 63.77, 64.44, 63.34, 63.59, 4559624
10/23/24, 63.95, 64.56, 63.27, 63.67, 3574154
10/22/24, 63.90, 64.23, 63.245, 63.32, 4387624
10/21/24, 64.82, 65.36, 64.02, 64.16, 3385548
10/18/24, 65.40, 65.40, 64.47, 64.95, 5186499
10/17/24, 66.92, 67.225, 65.335, 65.36, 4987733
10/16/24, 66.83, 67.28, 66.62, 66.92, 2804474
10/15/24, 66.93, 67.80, 66.89, 66.99, 3955978
10/14/24, 66.24, 67.06, 66.12, 66.88, 3404047
10/11/24, 66.43, 66.96, 66.22, 66.33, 3223940
10/10/24, 66.96, 67.72, 65.79, 66.05, 3656731
10/09/24, 67.05, 67.28, 66.67, 66.95, 3645238
10/08/24, 66.75, 67.655, 66.72, 67.17, 3563904
10/07/24, 66.21, 66.85, 66.08, 66.77, 3752144
10/04/24, 66.19, 66.47, 65.71, 66.29, 3065960
10/03/24, 65.07, 65.43, 64.68, 65.38, 3397628
10/02/24, 65.46, 66.23, 65.00, 65.20, 4937974
10/01/24, 65.15, 66.10, 64.43, 65.83, 5298829
09/30/24, 63.94, 65.28, 63.94, 65.11, 5394282
09/27/24, 64.10, 64.42, 63.605, 64.00, 4479150
09/26/24, 64.26, 64.61, 63.64, 63.94, 3726696
09/25/24, 65.03, 65.40, 64.06, 64.10, 5110742
09/24/24, 63.80, 65.44, 63.57, 65.44, 5275036
09/23/24, 62.77, 63.91, 62.71, 63.45, 4806382
09/20/24, 62.69, 63.37, 62.25, 62.72, 19791051
09/19/24, 63.90, 63.98, 62.78, 63.22, 5348938
09/18/24, 64.69, 64.84, 63.02, 63.17, 6414534
09/17/24, 64.54, 64.96, 63.6715, 64.88, 5917981
09/16/24, 63.44, 64.42, 63.1601, 64.36, 4526746
09/13/24, 63.38, 63.90, 62.31, 63.44, 5556646
09/12/24, 60.89, 63.27, 60.82, 63.18, 8941811
09/11/24, 60.26, 60.83, 59.70, 60.73, 5393757
09/10/24, 59.44, 60.445, 59.22, 60.26, 4091494
09/09/24, 59.35, 59.76, 58.63, 59.43, 4075041
09/06/24, 59.17, 59.57, 58.64, 59.20, 5032137
09/05/24, 58.97, 59.50, 58.74, 59.12, 4199828
09/04/24, 58.84, 59.27, 58.43, 58.95, 3775268
09/03/24, 58.90, 59.79, 58.50, 58.80, 4228940
08/30/24, 58.53, 59.22, 58.37, 59.10, 5430169
08/29/24, 58.00, 59.38, 57.86, 58.60, 3422089
08/28/24, 59.21, 59.21, 57.68, 57.78, 4002780
08/27/24, 58.90, 59.85, 58.69, 59.37, 4134243
08/26/24, 58.94, 59.47, 58.65, 59.00, 3196937
08/23/24, 59.22, 59.30, 58.48, 58.88, 2824281
08/22/24, 58.79, 59.36, 58.31, 59.02, 3874957
08/21/24, 57.03, 58.80, 56.62, 58.68, 5541190
08/20/24, 56.73, 56.965, 56.37, 56.94, 3137695
08/19/24, 55.43, 56.935, 55.294, 56.68, 3557384
08/16/24, 55.90, 56.00, 54.80, 55.50, 4966889
08/15/24, 56.33, 56.655, 55.61, 55.83, 4940092
08/14/24, 55.89, 56.71, 55.75, 55.76, 2992982
08/13/24, 56.13, 56.40, 55.25, 55.70, 4889137
08/12/24, 56.75, 57.18, 55.50, 55.81, 4194103
08/09/24, 56.00, 56.74, 55.86, 56.52, 2952171
08/08/24, 55.51, 56.00, 55.15, 55.94, 2640204
08/07/24, 56.283, 56.775, 55.045, 55.11, 4871302
08/06/24, 55.00, 56.65, 54.56, 55.92, 4492200
08/05/24, 54.90, 56.21, 54.55, 54.66, 7416188
08/02/24, 55.71, 56.845, 55.34, 56.20, 5578664
08/01/24, 55.06, 57.68, 53.74, 56.23, 7876901
07/31/24, 55.50, 55.86, 54.74, 55.61, 7601891
07/30/24, 54.64, 55.495, 54.60, 55.40, 4410459
07/29/24, 54.44, 55.22, 54.32, 54.61, 4469834
07/26/24, 53.70, 54.83, 53.641, 54.18, 4130189
07/25/24, 53.67, 54.38, 53.10, 53.12, 4851992
07/24/24, 53.47, 54.05, 53.27, 53.66, 5898425
07/23/24, 53.76, 53.93, 53.11, 53.24, 4678781
07/22/24, 53.78, 54.345, 53.39, 53.91, 3406522
07/19/24, 54.59, 54.64, 53.50, 53.60, 3488819
07/18/24, 54.63, 55.62, 54.34, 54.39, 3630695
07/17/24, 55.23, 55.69, 54.42, 54.58, 3746533
07/16/24, 53.90, 55.495, 53.61, 55.42, 3995509
07/15/24, 53.71, 54.27, 53.57, 53.72, 3259182
07/12/24, 54.36, 54.64, 53.84, 54.19, 3897360
07/11/24, 53.28, 54.18, 53.28, 54.02, 3264969
07/10/24, 52.59, 53.069, 52.19, 52.98, 2684115
07/09/24, 52.72, 53.06, 52.15, 52.65, 3419492
07/08/24, 52.81, 52.915, 52.39, 52.79, 3875776
07/05/24, 52.53, 52.945, 52.14, 52.87, 2686427
07/03/24, 53.428, 53.598, 52.23, 52.61, 2803038
07/02/24, 52.57, 53.395, 52.025, 53.25, 4175108
07/01/24, 53.85, 53.91, 52.28, 52.68, 4501157
06/28/24, 52.96, 53.95, 52.67, 53.72, 7190988
06/27/24, 53.655, 53.67, 52.855, 53.05, 4167276
06/26/24, 53.54, 54.27, 53.32, 53.69, 3473325
06/25/24, 53.90, 55.35, 53.81, 53.95, 4369984
06/24/24, 54.32, 54.96, 53.99, 54.01, 5694787
06/21/24, 53.88, 54.47, 53.67, 54.15, 10478400
06/20/24, 54.66, 54.95, 53.47, 53.84, 4643052
06/18/24, 52.85, 54.59, 52.85, 54.55, 5615016
06/17/24, 52.01, 53.22, 51.72, 53.14, 4399926
06/14/24, 53.08, 53.45, 51.945, 52.13, 5737341
06/13/24, 53.40, 54.34, 53.355, 53.69, 4641754
06/12/24, 53.41, 53.695, 52.81, 53.19, 4573378
06/11/24, 52.77, 53.03, 52.135, 53.00, 4198241
06/10/24, 52.65, 53.19, 52.42, 53.15, 3595229
06/07/24, 53.35, 53.75, 53.03, 53.08, 4337360
06/06/24, 53.81, 53.84, 53.31, 53.39, 4921633
06/05/24, 53.73, 54.25, 52.785, 53.01, 4851952
06/04/24, 53.40, 54.03, 52.94, 53.75, 5010627
06/03/24, 54.05, 54.24, 53.19, 53.61, 6043108
05/31/24, 53.09, 54.25, 53.02, 54.22, 7405680
05/30/24, 51.94, 53.635, 51.86, 53.35, 5853037
05/29/24, 52.26, 52.38, 51.38, 52.09, 6445473
05/28/24, 54.14, 55.15, 52.84, 52.90, 7242958
05/24/24, 53.00, 54.59, 53.00, 54.41, 7773908
05/23/24, 52.80, 52.885, 52.31, 52.81, 4828929
05/22/24, 52.19, 52.845, 51.8701, 52.80, 4733946
05/21/24, 51.13, 52.369, 51.13, 52.17, 3739649
05/20/24, 51.45, 51.62, 51.02, 51.24, 3056720
05/17/24, 52.64, 52.78, 51.12, 51.48, 4607241
05/16/24, 52.42, 53.035, 52.055, 52.70, 5236528
05/15/24, 52.37, 52.65, 51.78, 52.42, 3914873
05/14/24, 52.31, 52.49, 51.60, 52.10, 3472640
05/13/24, 51.14, 52.16, 51.04, 51.99, 5039653
05/10/24, 50.50, 51.09, 50.43, 51.00, 3873017
05/09/24, 49.77, 50.395, 49.70, 50.34, 3980537
05/08/24, 49.76, 49.94, 49.595, 49.69, 3847090
05/07/24, 49.59, 50.27, 49.59, 50.07, 4695820
05/06/24, 49.81, 50.16, 49.245, 49.38, 5811201
05/03/24, 49.60, 50.26, 49.37, 49.65, 6896723
05/02/24, 49.32, 50.864, 48.5204, 49.39, 10828810
05/01/24, 51.69, 52.485, 51.04, 51.06, 8328816
04/30/24, 52.63, 52.875, 51.435, 51.54, 6712817
04/29/24, 52.16, 52.88, 52.13, 52.75, 5977361
04/26/24, 51.30, 52.19, 51.20, 52.02, 4985631
04/25/24, 50.66, 51.49, 50.56, 51.34, 4461328
04/24/24, 51.17, 51.60, 50.78, 51.18, 5088303
04/23/24, 51.01, 51.50, 50.70, 51.25, 4522813
04/22/24, 50.63, 51.145, 50.39, 50.94, 4140792
04/19/24, 50.23, 51.02, 50.00, 50.39, 4296246
04/18/24, 51.33, 51.41, 49.93, 49.95, 7589968
04/17/24, 50.59, 50.69, 49.41, 49.45, 4319954
04/16/24, 50.63, 50.75, 49.87, 50.25, 5161534
04/15/24, 51.62, 51.9025, 50.735, 50.89, 3878593
04/12/24, 51.71, 51.995, 51.05, 51.31, 4246782
04/11/24, 52.60, 52.65, 51.81, 51.89, 3650894
04/10/24, 51.96, 52.54, 51.90, 52.46, 4901305
04/09/24, 51.80, 52.005, 51.51, 51.96, 3566684
04/08/24, 52.03, 52.47, 51.48, 51.58, 3975589
04/05/24, 51.42, 52.13, 51.42, 52.06, 5326598
04/04/24, 52.41, 52.82, 51.3275, 51.40, 4702915
04/03/24, 51.75, 52.27, 51.515, 51.85, 4458971
04/02/24, 52.08, 52.39, 51.81, 51.86, 4449506
04/01/24, 52.65, 52.92, 51.84, 52.27, 4646482
03/28/24, 52.10, 52.93, 52.00, 52.78, 6816355
03/27/24, 51.45, 52.04, 51.41, 51.92, 4940768
03/26/24, 51.46, 51.67, 50.875, 51.08, 5995878
03/25/24, 51.33, 51.725, 51.19, 51.23, 5621432
03/22/24, 52.05, 52.07, 51.40, 51.42, 5071948
03/21/24, 51.84, 52.355, 51.68, 52.00, 6756933
03/20/24, 51.84, 52.27, 51.60, 51.97, 6136334
03/19/24, 51.86, 52.46, 51.25, 51.82, 6863732
03/18/24, 52.19, 52.40, 51.32, 51.35, 6435133
03/15/24, 51.97, 52.6999, 51.885, 52.20, 11456760
03/14/24, 52.49, 52.82, 51.97, 52.25, 7731527
03/13/24, 51.12, 52.50, 51.09, 52.41, 10333290
03/12/24, 51.73, 51.93, 50.68, 50.91, 7857026
03/11/24, 50.39, 51.95, 50.38, 51.55, 10113580
03/08/24, 50.68, 50.90, 50.175, 50.37, 8504823
03/07/24, 50.82, 51.05, 50.335, 50.78, 8912227
03/06/24, 50.32, 51.14, 50.32, 50.54, 9615623
