Date, Open, High, Low, Close, Volume
12/31/24, 187.15, 189.56, 186.06, 186.33, 1067672
12/30/24, 183.00, 186.85, 182.62, 186.49, 1568019
12/27/24, 187.81, 190.10, 184.70, 186.11, 1395052
12/26/24, 189.72, 190.29, 188.50, 190.12, 879515
12/24/24, 189.26, 190.2399, 188.2498, 189.68, 366204
12/23/24, 186.24, 189.47, 183.38, 188.84, 1461546
12/20/24, 177.38, 185.52, 177.38, 184.75, 4134830
12/19/24, 179.00, 180.647, 176.79, 179.41, 1495069
12/18/24, 187.09, 187.17, 176.06, 176.23, 2143839
12/17/24, 181.65, 182.08, 179.47, 180.64, 1167940
12/16/24, 181.38, 183.951, 178.01, 182.59, 1143911
12/13/24, 184.22, 184.98, 182.24, 183.00, 871897
12/12/24, 189.72, 190.63, 184.47, 184.56, 1235688
12/11/24, 188.75, 191.31, 188.75, 190.29, 888207
12/10/24, 190.91, 191.94, 187.71, 188.41, 1062136
12/09/24, 189.80, 192.34, 188.53, 189.52, 911294
12/06/24, 191.08, 192.00, 189.48, 190.72, 1131008
12/05/24, 188.67, 192.2799, 187.35, 191.01, 1082391
12/04/24, 182.62, 188.51, 182.57, 188.30, 930671
12/03/24, 185.73, 186.67, 183.30, 183.69, 625549
12/02/24, 184.72, 187.40, 183.12, 185.01, 1163283
11/29/24, 185.59, 186.35, 184.41, 184.62, 695094
11/27/24, 187.73, 187.74, 184.6101, 184.92, 855949
11/26/24, 184.09, 186.53, 183.205, 186.28, 991700
11/25/24, 187.00, 188.44, 183.92, 184.08, 1810549
11/22/24, 184.78, 186.92, 184.27, 184.92, 1215629
11/21/24, 180.00, 183.80, 178.42, 183.51, 986753
11/20/24, 177.77, 179.50, 176.81, 179.10, 1121970
11/19/24, 178.02, 178.41, 175.62, 177.06, 1116910
11/18/24, 180.17, 181.00, 178.45, 180.40, 1282832
11/15/24, 180.02, 181.98, 177.59, 181.35, 2209167
11/14/24, 180.50, 183.6565, 180.50, 182.26, 1198525
11/13/24, 182.53, 183.30, 179.1061, 180.33, 1391169
11/12/24, 181.82, 185.1699, 179.7782, 182.00, 1729727
11/11/24, 182.63, 187.62, 180.02, 184.32, 2037480
