Date, Open, High, Low, Close, Volume
12/31/24, 281.52, 284.13, 280.58, 281.33, 1296955
12/30/24, 276.81, 282.41, 275.50, 280.55, 1587522
12/27/24, 277.33, 281.6018, 276.54, 280.36, 1553177
12/26/24, 270.35, 280.30, 270.3036, 278.66, 1777485
12/24/24, 269.00, 272.53, 267.60, 271.84, 1013074
12/23/24, 275.00, 275.11, 265.0901, 269.01, 3500725
12/20/24, 294.00, 295.244, 270.90, 275.73, 8126797
12/19/24, 274.52, 278.48, 273.185, 275.88, 4203477
12/18/24, 277.72, 281.31, 272.85, 273.16, 1907526
12/17/24, 281.00, 282.4449, 274.75, 277.43, 2426691
12/16/24, 283.38, 286.28, 282.76, 283.44, 1587310
12/13/24, 283.33, 284.11, 281.85, 283.42, 964658
12/12/24, 281.51, 284.50, 279.37, 283.69, 1084894
12/11/24, 279.70, 282.20, 278.76, 281.16, 1207003
12/10/24, 279.81, 280.9599, 277.515, 279.32, 902869
12/09/24, 280.89, 282.82, 279.00, 279.53, 1365829
12/06/24, 281.39, 282.45, 277.75, 280.68, 2079315
12/05/24, 284.19, 285.78, 279.22, 279.42, 1512440
12/04/24, 281.71, 285.8982, 280.02, 283.43, 1840131
12/03/24, 294.50, 294.50, 282.70, 282.85, 2629007
12/02/24, 301.59, 302.025, 293.82, 296.69, 1578745
11/29/24, 303.04, 304.76, 301.87, 302.67, 665504
11/27/24, 303.74, 304.78, 301.57, 303.39, 919462
11/26/24, 303.06, 304.00, 299.61, 302.98, 1669324
11/25/24, 301.64, 308.53, 300.59, 305.15, 2415851
11/22/24, 296.19, 302.375, 295.17, 299.97, 1846044
11/21/24, 288.05, 295.54, 288.05, 295.16, 1596920
11/20/24, 293.91, 294.43, 285.25, 288.03, 1392808
11/19/24, 291.59, 295.24, 290.99, 293.06, 1474784
11/18/24, 293.61, 297.58, 293.41, 295.21, 1460032
11/15/24, 290.95, 295.87, 290.95, 294.46, 1506570
11/14/24, 293.07, 295.24, 291.72, 292.29, 1248469
11/13/24, 287.38, 294.00, 287.38, 291.89, 1896947
11/12/24, 289.71, 291.2675, 285.42, 287.27, 1235636
11/11/24, 288.70, 293.45, 288.70, 289.79, 1594026
11/08/24, 283.78, 289.10, 282.86, 286.28, 1734576
11/07/24, 281.94, 285.50, 280.00, 283.21, 1317201
11/06/24, 276.00, 281.20, 271.62, 280.06, 2639846
11/05/24, 271.14, 275.45, 269.515, 275.42, 948559
11/04/24, 274.00, 274.98, 270.69, 271.18, 1020139
11/01/24, 273.78, 277.48, 273.17, 274.35, 1370415
10/31/24, 273.38, 276.72, 273.01, 273.85, 1099532
10/30/24, 274.08, 278.54, 273.91, 274.08, 1197151
10/29/24, 273.64, 277.12, 273.00, 275.04, 1190146
10/28/24, 272.62, 275.85, 272.12, 275.45, 1179784
10/25/24, 274.27, 275.68, 271.88, 272.12, 835534
10/24/24, 277.92, 278.69, 270.7975, 272.87, 1635802
10/23/24, 269.20, 270.44, 266.83, 268.05, 1153174
10/22/24, 267.99, 271.0992, 267.72, 269.79, 971993
10/21/24, 272.74, 273.32, 267.7577, 268.81, 1443007
10/18/24, 276.12, 276.12, 272.51, 274.40, 1217071
10/17/24, 271.72, 275.55, 270.16, 274.26, 1603015
10/16/24, 269.00, 272.90, 268.41, 271.80, 1713680
10/15/24, 267.77, 269.07, 265.64, 265.92, 1363221
10/14/24, 264.34, 267.90, 263.95, 267.45, 922317
10/11/24, 265.35, 267.18, 264.17, 264.36, 965705
10/10/24, 263.35, 265.98, 263.20, 264.27, 872825
10/09/24, 263.53, 267.09, 262.74, 264.64, 1308338
10/08/24, 260.94, 262.2999, 259.36, 261.40, 1073116
10/07/24, 259.38, 261.21, 258.1001, 260.50, 1342256
