Date, Open, High, Low, Close, Volume
12/31/24, 192.445, 193.25, 189.58, 190.44, 14355220
12/30/24, 190.865, 193.78, 190.36, 192.69, 12209530
12/27/24, 196.47, 196.80, 191.972, 194.04, 14692990
12/26/24, 196.74, 198.16, 195.87, 197.10, 7918434
12/24/24, 196.17, 197.67, 195.1979, 197.57, 6809823
12/23/24, 194.03, 196.49, 191.63, 195.99, 15235940
12/20/24, 187.01, 194.1354, 186.37, 192.96, 45319699
12/19/24, 193.28, 194.60, 189.52, 189.70, 26981199
12/18/24, 196.83, 198.6899, 189.28, 190.15, 27638420
12/17/24, 198.53, 202.88, 196.69, 197.12, 24129480
12/16/24, 194.365, 200.64, 194.11, 198.16, 32248641
12/13/24, 192.71, 194.34, 191.26, 191.38, 18883221
12/12/24, 196.30, 196.7053, 193.28, 193.63, 25197760
12/11/24, 186.70, 196.89, 186.26, 196.71, 41664488
12/10/24, 184.535, 188.03, 182.67, 186.53, 34317441
12/09/24, 175.715, 178.04, 175.40, 177.10, 19887789
12/06/24, 173.88, 176.8389, 173.55, 176.49, 13319550
12/05/24, 177.32, 177.71, 174.01, 174.31, 16145520
12/04/24, 172.78, 176.43, 172.75, 176.09, 18239840
12/03/24, 173.12, 174.32, 172.51, 173.02, 15721480
12/02/24, 170.32, 173.60, 170.27, 172.98, 16593439
11/29/24, 170.06, 170.87, 168.75, 170.49, 9250712
11/27/24, 170.68, 171.14, 169.67, 170.82, 12433370
11/26/24, 169.49, 171.495, 169.43, 170.62, 14937480
11/25/24, 167.99, 170.46, 167.40, 169.43, 21395650
11/22/24, 167.16, 168.2645, 165.71, 166.57, 24497039
11/21/24, 175.455, 175.58, 165.31, 169.24, 38839434
11/20/24, 178.83, 179.11, 175.33, 177.33, 15729810
11/19/24, 175.235, 180.17, 175.116, 179.58, 15392870
11/18/24, 174.955, 176.91, 174.42, 176.80, 18725420
11/15/24, 175.64, 175.88, 172.745, 173.89, 21708869
11/14/24, 179.75, 180.445, 176.03, 177.35, 17925760
11/13/24, 182.15, 182.615, 180.12, 180.49, 13969710
11/12/24, 181.38, 184.025, 180.99, 183.32, 14065850
11/11/24, 180.07, 182.085, 179.99, 181.97, 12503420
11/08/24, 182.00, 182.35, 179.57, 179.86, 15021550
11/07/24, 179.11, 182.58, 178.89, 182.28, 16730410
11/06/24, 175.35, 178.64, 175.04, 178.33, 27061510
11/05/24, 170.83, 172.0973, 170.37, 171.41, 12518280
11/04/24, 171.24, 171.92, 169.485, 170.68, 16193990
11/01/24, 171.54, 173.82, 170.31, 172.65, 21752859
10/31/24, 174.72, 178.42, 172.56, 172.69, 32801898
10/30/24, 182.41, 183.79, 175.7451, 176.14, 49698312
10/29/24, 169.385, 171.86, 168.66, 171.14, 28916109
10/28/24, 170.59, 170.606, 165.79, 168.34, 20858250
10/25/24, 165.365, 167.40, 165.23, 166.99, 14566410
10/24/24, 164.59, 165.05, 162.77, 164.53, 12764430
10/23/24, 166.43, 167.60, 163.6325, 164.48, 12754280
10/22/24, 164.70, 167.47, 164.67, 166.82, 11958620
10/21/24, 164.58, 166.22, 164.305, 165.80, 11384050
10/18/24, 164.87, 166.3699, 164.75, 165.05, 13091270
10/17/24, 167.38, 167.93, 164.37, 164.51, 15113360
10/16/24, 166.03, 167.28, 165.216, 166.74, 9968474
10/15/24, 167.14, 169.09, 166.05, 166.90, 14829340
10/14/24, 164.91, 167.62, 164.78, 166.35, 9981765
10/11/24, 163.33, 165.27, 162.50, 164.52, 10945970
10/10/24, 162.11, 164.3107, 161.64, 163.18, 12900490
10/09/24, 164.855, 166.26, 161.12, 163.06, 19666410
10/08/24, 165.43, 166.10, 164.31, 165.70, 11723890
10/07/24, 169.14, 169.90, 164.13, 164.39, 14034720
10/04/24, 169.34, 169.55, 166.96, 168.56, 11435320
10/03/24, 165.82, 167.91, 165.37, 167.21, 11004330
10/02/24, 167.76, 168.88, 166.25, 167.31, 12744980
10/01/24, 168.86, 170.44, 165.90, 168.42, 18629510
09/30/24, 164.78, 167.36, 164.64, 167.19, 14083450
09/27/24, 163.91, 166.97, 163.83, 165.29, 13604260
09/26/24, 165.03, 165.50, 163.50, 163.83, 18234500
09/25/24, 162.97, 164.217, 162.775, 162.99, 13607890
09/24/24, 164.25, 164.55, 162.03, 163.64, 18774061
09/23/24, 165.34, 166.61, 162.95, 163.07, 15648450
09/20/24, 164.52, 164.75, 163.18, 164.64, 46362672
09/19/24, 164.82, 164.99, 162.5216, 163.24, 17548189
09/18/24, 160.85, 161.63, 159.66, 160.81, 16756449
09/17/24, 160.09, 161.59, 159.41, 160.28, 12064790
09/16/24, 158.33, 159.24, 157.61, 158.99, 14157610
09/13/24, 156.362, 159.275, 156.11, 158.37, 16733910
09/12/24, 154.81, 155.61, 153.50, 155.54, 21024061
09/11/24, 151.09, 152.48, 148.70, 152.15, 18991490
09/10/24, 151.45, 152.30, 149.5427, 150.01, 20401770
09/09/24, 153.63, 154.64, 148.20, 149.54, 28057750
09/06/24, 158.69, 159.22, 151.935, 152.13, 24999061
09/05/24, 157.78, 161.015, 157.52, 158.60, 14139500
09/04/24, 158.075, 160.40, 157.44, 157.81, 17410650
09/03/24, 163.315, 163.38, 157.855, 158.61, 26514700
08/30/24, 164.22, 165.28, 163.41, 165.11, 18498779
08/29/24, 166.06, 167.63, 161.982, 163.40, 17133830
08/28/24, 166.78, 167.39, 163.28, 164.50, 15208740
08/27/24, 167.61, 168.245, 166.16, 166.38, 13718160
08/26/24, 168.155, 169.38, 166.32, 167.93, 11990310
08/23/24, 166.55, 167.95, 165.66, 167.43, 14281620
08/22/24, 169.04, 169.42, 165.03, 165.49, 19123779
08/21/24, 166.99, 168.64, 166.57, 167.63, 15269550
08/20/24, 168.74, 170.41, 168.66, 168.96, 12622520
08/19/24, 167.00, 168.47, 166.09, 168.40, 13100760
08/16/24, 163.41, 166.95, 163.08, 164.74, 16853141
08/15/24, 162.21, 163.52, 161.49, 163.17, 18392449
08/14/24, 164.21, 164.96, 159.53, 162.03, 22515900
08/13/24, 165.185, 166.54, 164.77, 165.93, 12717630
08/12/24, 165.995, 166.70, 163.55, 163.95, 12434970
08/09/24, 161.645, 165.52, 160.93, 165.39, 13549230
08/08/24, 162.344, 165.50, 162.03, 163.84, 15733610
08/07/24, 163.24, 164.79, 160.24, 160.75, 19334250
08/06/24, 160.945, 162.35, 158.13, 160.54, 36146539
08/05/24, 157.37, 165.94, 156.60, 160.64, 34907820
08/02/24, 168.19, 170.21, 166.39, 168.40, 18907770
08/01/24, 171.98, 175.68, 170.51, 172.45, 17177830
07/31/24, 174.92, 175.91, 171.72, 173.15, 15650150
07/30/24, 171.83, 172.95, 170.12, 171.86, 13681420
07/29/24, 170.50, 172.16, 169.72, 171.13, 13768930
07/26/24, 168.77, 169.84, 165.865, 168.68, 25150119
07/25/24, 174.25, 175.20, 169.05, 169.16, 28967881
07/24/24, 175.39, 177.95, 173.57, 174.37, 31250680
07/23/24, 183.84, 185.22, 183.33, 183.60, 23772600
07/22/24, 182.35, 184.30, 181.90, 183.35, 16303900
07/19/24, 180.37, 181.97, 178.86, 179.39, 14485900
07/18/24, 183.54, 184.05, 178.21, 179.22, 17877199
07/17/24, 184.68, 185.23, 181.62, 182.62, 17376561
07/16/24, 188.96, 190.34, 185.12, 185.50, 12760100
07/15/24, 186.49, 189.90, 186.49, 188.19, 12186020
07/12/24, 186.92, 188.69, 186.14, 186.78, 14449110
07/11/24, 191.34, 192.41, 186.82, 187.30, 16451980
07/10/24, 190.75, 193.31, 190.62, 192.66, 12052910
07/09/24, 191.75, 192.86, 190.23, 190.44, 10224930
07/08/24, 191.365, 191.6791, 189.32, 190.48, 12097610
07/05/24, 187.32, 192.26, 187.32, 191.96, 14303360
07/03/24, 186.30, 187.62, 185.385, 187.39, 7409106
07/02/24, 183.47, 186.95, 183.06, 186.61, 12555550
07/01/24, 184.48, 185.34, 182.73, 184.49, 11815860
06/28/24, 185.72, 186.58, 183.325, 183.42, 23032359
06/27/24, 185.645, 187.50, 185.45, 186.86, 13025660
06/26/24, 184.20, 185.93, 183.99, 185.37, 13375720
06/25/24, 181.145, 185.75, 181.105, 185.58, 18917730
06/24/24, 181.28, 182.08, 180.23, 180.79, 18198279
06/21/24, 178.49, 182.5117, 178.06, 180.26, 59728020
06/20/24, 176.71, 178.74, 176.46, 177.71, 16753170
06/18/24, 178.79, 178.91, 175.62, 176.45, 15640260
