Date, Open, High, Low, Close, Volume
12/31/24, 171.30, 172.15, 170.285, 170.66, 340747
12/30/24, 170.73, 170.925, 168.7403, 170.33, 388192
12/27/24, 171.36, 173.095, 170.06, 172.01, 298548
12/26/24, 170.71, 172.47, 170.275, 172.01, 268356
12/24/24, 170.08, 171.68, 169.68, 171.57, 180872
12/23/24, 169.64, 170.88, 168.54, 170.54, 513471
12/20/24, 168.51, 171.375, 165.50, 170.23, 2140278
12/19/24, 170.22, 172.845, 167.71, 168.10, 1144717
12/18/24, 177.20, 179.09, 169.94, 170.29, 969033
12/17/24, 177.09, 179.28, 177.06, 177.31, 692881
12/16/24, 179.72, 180.28, 177.55, 178.09, 644967
12/13/24, 180.70, 181.59, 179.25, 179.79, 537959
12/12/24, 182.29, 183.81, 180.61, 181.15, 656209
12/11/24, 183.20, 184.1078, 181.57, 182.01, 665868
12/10/24, 182.47, 184.27, 180.00, 182.28, 745303
12/09/24, 181.31, 185.29, 181.08, 182.38, 663931
12/06/24, 182.91, 183.21, 179.13, 180.99, 750875
12/05/24, 185.46, 185.51, 180.38, 181.85, 627149
12/04/24, 184.11, 186.20, 183.225, 185.13, 519117
12/03/24, 187.99, 188.00, 184.38, 185.01, 475340
12/02/24, 189.53, 189.665, 187.24, 189.24, 470372
11/29/24, 191.47, 192.42, 188.86, 189.11, 457521
11/27/24, 191.24, 192.465, 189.00, 190.31, 501269
11/26/24, 187.82, 191.09, 185.63, 190.86, 932225
11/25/24, 185.25, 191.10, 184.71, 188.35, 1285092
11/22/24, 182.28, 184.095, 181.285, 182.40, 687026
11/21/24, 182.75, 185.60, 179.88, 181.57, 793127
11/20/24, 180.00, 181.80, 178.36, 181.58, 679592
11/19/24, 183.02, 183.89, 180.09, 180.18, 884160
11/18/24, 182.87, 185.335, 182.60, 184.00, 756944
11/15/24, 184.69, 185.215, 181.55, 182.35, 751079
11/14/24, 189.64, 190.59, 184.21, 184.51, 1114539
11/13/24, 188.47, 191.45, 185.00, 189.20, 1740838
11/12/24, 195.98, 198.23, 192.44, 192.54, 1349551
11/11/24, 192.60, 200.40, 192.60, 197.19, 1212182
11/08/24, 188.50, 193.01, 186.60, 192.13, 1030048
11/07/24, 192.83, 193.16, 188.35, 188.51, 702642
11/06/24, 191.42, 196.71, 190.405, 192.82, 1925298
11/05/24, 181.77, 185.66, 181.13, 185.56, 622503
11/04/24, 180.45, 183.42, 179.18, 181.99, 742745
11/01/24, 181.28, 183.035, 180.63, 180.96, 771538
10/31/24, 181.03, 183.57, 180.49, 180.62, 1184926
10/30/24, 178.92, 185.67, 178.665, 181.88, 1274458
10/29/24, 178.61, 180.75, 177.18, 179.43, 791919
10/28/24, 176.06, 179.13, 174.29, 178.88, 700932
10/25/24, 176.74, 177.98, 174.00, 174.83, 771024
10/24/24, 175.56, 176.00, 172.73, 175.81, 598562
10/23/24, 174.64, 176.05, 173.53, 175.45, 942215
10/22/24, 176.31, 177.90, 174.67, 175.62, 773008
10/21/24, 176.41, 177.77, 173.94, 177.58, 896271
10/18/24, 174.19, 177.08, 173.53, 176.87, 1003934
10/17/24, 178.62, 180.42, 172.30, 173.48, 1513382
10/16/24, 187.88, 188.00, 178.495, 180.15, 3017061
10/15/24, 175.50, 178.85, 174.37, 174.65, 1655902
10/14/24, 170.00, 175.62, 168.30, 175.46, 1127090
10/11/24, 167.22, 171.15, 167.00, 170.72, 714282
10/10/24, 165.61, 166.06, 163.91, 165.92, 541717
10/09/24, 166.12, 167.36, 164.58, 166.09, 799161
10/08/24, 164.52, 166.7394, 163.82, 165.28, 584687
10/07/24, 162.85, 165.12, 162.00, 164.22, 470529
10/04/24, 169.00, 169.00, 162.86, 164.52, 642724
10/03/24, 166.43, 167.28, 165.15, 166.73, 499018
10/02/24, 168.92, 169.80, 168.00, 168.14, 480381
10/01/24, 171.24, 172.12, 168.64, 169.60, 862827
09/30/24, 172.61, 175.35, 171.42, 172.33, 602769
09/27/24, 173.41, 174.96, 171.97, 172.35, 347484
09/26/24, 173.16, 175.32, 170.79, 171.51, 413904
09/25/24, 174.71, 174.90, 171.08, 171.74, 635032
09/24/24, 170.27, 174.58, 170.075, 174.48, 696785
09/23/24, 169.75, 170.455, 167.99, 170.19, 644384
09/20/24, 173.47, 173.47, 168.69, 169.01, 1132372
09/19/24, 173.00, 175.96, 172.805, 174.82, 887623
09/18/24, 168.84, 172.07, 167.49, 169.35, 1001805
09/17/24, 168.90, 170.31, 165.85, 167.99, 1309270
09/16/24, 169.72, 171.24, 166.955, 167.40, 713622
09/13/24, 170.29, 171.42, 167.70, 168.66, 662688
09/12/24, 169.71, 169.765, 165.58, 168.86, 977666
09/11/24, 170.23, 170.39, 165.25, 169.26, 818647
09/10/24, 171.37, 171.96, 169.46, 170.55, 659100
09/09/24, 167.67, 171.95, 167.67, 171.74, 615789
09/06/24, 169.75, 171.32, 167.63, 167.77, 714069
09/05/24, 171.43, 172.53, 166.375, 169.30, 743394
09/04/24, 173.09, 174.715, 171.305, 172.82, 511048
09/03/24, 172.47, 173.29, 169.22, 173.09, 701428
08/30/24, 172.71, 173.45, 169.14, 173.20, 1228313
08/29/24, 175.15, 177.24, 171.91, 172.27, 778804
08/28/24, 172.01, 175.40, 172.01, 174.17, 586009
08/27/24, 175.58, 175.775, 170.05, 172.10, 711572
08/26/24, 178.06, 178.80, 175.19, 175.95, 415437
08/23/24, 174.82, 177.165, 173.65, 176.97, 556173
08/22/24, 175.05, 177.255, 172.77, 173.38, 621916
08/21/24, 173.75, 175.69, 173.71, 175.50, 515237
08/20/24, 175.76, 177.62, 170.83, 172.24, 881452
08/19/24, 171.73, 175.57, 171.275, 175.34, 1044054
08/16/24, 166.87, 170.58, 166.45, 170.36, 784510
08/15/24, 167.62, 172.74, 166.75, 167.26, 1354076
08/14/24, 163.83, 165.36, 163.08, 163.63, 386899
08/13/24, 163.60, 165.24, 162.03, 163.97, 788842
08/12/24, 163.30, 164.03, 161.50, 162.77, 553442
08/09/24, 163.86, 164.07, 160.89, 163.09, 685602
08/08/24, 164.73, 165.32, 162.4015, 163.86, 482371
08/07/24, 164.23, 166.15, 161.87, 162.89, 834941
08/06/24, 160.98, 168.3384, 160.5823, 163.93, 642452
08/05/24, 159.56, 165.33, 155.02, 160.98, 1350367
