Date, Open, High, Low, Close, Volume
12/31/24, 37.40, 37.47, 37.30, 37.45, 1402013
12/30/24, 37.25, 37.55, 37.20, 37.35, 1084679
12/27/24, 37.40, 37.54, 37.33, 37.51, 2296644
12/26/24, 37.39, 37.60, 37.36, 37.51, 1040241
12/24/24, 37.40, 37.5199, 37.36, 37.50, 434860
12/23/24, 37.05, 37.49, 37.05, 37.48, 1224777
12/20/24, 36.94, 37.47, 36.87, 37.24, 5209102
12/19/24, 37.57, 37.62, 36.795, 37.00, 3725771
12/18/24, 37.72, 37.755, 37.24, 37.28, 3028512
12/17/24, 37.44, 37.80, 37.35, 37.66, 2275077
12/16/24, 37.29, 37.63, 37.23, 37.60, 1893748
12/13/24, 37.32, 37.365, 37.19, 37.23, 1474317
12/12/24, 37.39, 37.57, 37.28, 37.30, 1384936
12/11/24, 37.28, 37.405, 37.08, 37.39, 2113698
12/10/24, 37.00, 37.455, 36.975, 37.23, 2078405
12/09/24, 36.82, 37.27, 36.6401, 37.13, 3219186
12/06/24, 36.77, 36.98, 36.445, 36.52, 4109485
12/05/24, 36.26, 37.17, 36.26, 36.78, 4164767
12/04/24, 35.44, 36.26, 35.20, 36.25, 4683105
12/03/24, 35.49, 35.58, 35.45, 35.46, 2344811
12/02/24, 35.80, 35.92, 35.60, 35.62, 2803192
11/29/24, 36.18, 36.20, 35.855, 35.92, 1448648
11/27/24, 36.04, 36.22, 35.91, 36.07, 2177719
11/26/24, 36.24, 36.24, 35.935, 36.02, 2835862
11/25/24, 36.04, 36.25, 35.99, 36.20, 5199570
11/22/24, 35.52, 35.91, 35.28, 35.91, 3196668
11/21/24, 35.60, 35.90, 35.075, 35.43, 5471983
11/20/24, 35.25, 36.01, 35.17, 35.66, 5718076
11/19/24, 35.33, 35.57, 34.92, 35.08, 8834782
11/18/24, 36.205, 37.00, 35.18, 35.61, 13465230
11/15/24, 38.41, 38.445, 36.08, 36.51, 16702391
11/14/24, 38.26, 38.655, 38.225, 38.41, 4204053
11/13/24, 38.53, 38.73, 38.00, 38.25, 5897975
11/12/24, 38.88, 38.94, 38.33, 38.53, 7015022
11/11/24, 38.91, 39.01, 38.64, 38.84, 7017726
11/08/24, 39.00, 39.05, 38.91, 38.91, 3812572
11/07/24, 39.01, 39.10, 38.94, 39.00, 2853252
11/06/24, 39.25, 39.44, 39.00, 39.01, 8025229
11/05/24, 39.01, 39.16, 38.9438, 39.15, 2252135
11/04/24, 39.00, 39.07, 38.94, 38.98, 3284189
11/01/24, 38.90, 39.02, 38.72, 39.00, 5172364
10/31/24, 39.00, 39.02, 38.87, 38.90, 4030209
10/30/24, 39.05, 39.07, 38.94, 38.95, 5190977
10/29/24, 39.10, 39.13, 39.01, 39.04, 2726504
10/28/24, 39.14, 39.18, 39.01, 39.02, 2922922
10/25/24, 39.16, 39.265, 39.05, 39.08, 4341189
10/24/24, 39.26, 39.26, 39.14, 39.16, 3028245
10/23/24, 39.14, 39.20, 39.12, 39.17, 1919178
10/22/24, 39.13, 39.23, 39.115, 39.19, 2478300
10/21/24, 39.10, 39.28, 39.10, 39.26, 3601520
