Date, Open, High, Low, Close, Volume
12/31/24, 30.42, 30.75, 30.39, 30.71, 6199501
12/30/24, 30.62, 30.64, 30.1503, 30.36, 7009842
12/27/24, 30.44, 30.8291, 30.37, 30.68, 6861723
12/26/24, 30.52, 30.73, 30.44, 30.55, 6380279
12/24/24, 30.38, 30.675, 30.255, 30.64, 4005735
12/23/24, 30.41, 30.56, 30.245, 30.46, 7712888
12/20/24, 30.03, 30.67, 30.01, 30.52, 20432010
12/19/24, 30.19, 30.47, 30.05, 30.10, 13772400
12/18/24, 30.75, 30.80, 30.09, 30.30, 19036350
12/17/24, 30.81, 31.45, 30.77, 31.25, 11668010
12/16/24, 31.58, 31.64, 30.93, 30.97, 12778830
12/13/24, 31.52, 31.985, 31.34, 31.69, 7352674
12/12/24, 31.45, 31.72, 31.14, 31.55, 9055616
12/11/24, 31.58, 31.81, 31.26, 31.29, 9497621
12/10/24, 31.58, 31.91, 31.31, 31.59, 12112180
12/09/24, 30.86, 32.31, 30.75, 31.72, 13818890
12/06/24, 30.95, 31.04, 30.675, 30.81, 11872950
12/05/24, 30.92, 31.04, 30.63, 30.91, 10090250
12/04/24, 31.25, 31.32, 30.93, 31.00, 9816771
12/03/24, 31.56, 31.73, 31.30, 31.45, 13276050
12/02/24, 31.74, 31.87, 31.41, 31.61, 13136960
11/29/24, 31.70, 32.125, 31.59, 31.97, 5883760
11/27/24, 32.14, 32.35, 31.8919, 31.93, 6703961
11/26/24, 31.96, 32.105, 31.815, 31.97, 8526896
11/25/24, 32.00, 32.485, 31.91, 32.02, 17343750
11/22/24, 31.16, 31.835, 31.05, 31.81, 12404540
11/21/24, 30.80, 31.15, 30.70, 31.09, 14034360
11/20/24, 30.58, 31.009, 30.565, 30.88, 11972210
11/19/24, 30.72, 30.92, 30.46, 30.58, 14515350
11/18/24, 31.215, 31.40, 30.935, 31.07, 10973890
11/15/24, 31.83, 31.83, 30.40, 31.14, 17403520
11/14/24, 32.15, 32.38, 31.745, 31.79, 11067310
11/13/24, 31.93, 32.15, 31.79, 32.13, 7686146
11/12/24, 32.53, 32.56, 31.94, 32.00, 10450160
11/11/24, 32.95, 33.1289, 32.51, 32.53, 8029771
11/08/24, 32.81, 33.09, 32.57, 33.00, 7751547
11/07/24, 33.37, 33.4895, 32.79, 32.82, 8671061
11/06/24, 33.72, 34.08, 33.37, 33.42, 11607420
11/05/24, 33.40, 33.605, 33.02, 33.51, 7837536
11/04/24, 33.50, 33.70, 33.255, 33.38, 7130873
11/01/24, 33.51, 33.62, 33.32, 33.49, 5676568
10/31/24, 33.50, 34.02, 33.45, 33.46, 10352700
10/30/24, 33.89, 33.90, 33.03, 33.73, 14145570
10/29/24, 34.93, 35.065, 34.77, 34.80, 7665140
10/28/24, 34.89, 35.17, 34.86, 35.13, 7061545
10/25/24, 34.91, 35.09, 34.60, 34.74, 7533096
10/24/24, 35.42, 35.72, 35.00, 35.03, 7983175
10/23/24, 35.37, 35.59, 35.105, 35.50, 5858133
10/22/24, 35.41, 36.00, 35.32, 35.64, 7665540
10/21/24, 36.02, 36.31, 35.28, 35.49, 8775478
10/18/24, 35.60, 36.11, 35.58, 36.00, 5503911
10/17/24, 35.88, 35.96, 35.71, 35.95, 5701526
10/16/24, 35.70, 35.89, 35.56, 35.81, 5026138
10/15/24, 35.45, 36.26, 35.43, 35.72, 5578989
10/14/24, 35.22, 35.38, 34.98, 35.36, 3823292
10/11/24, 34.99, 35.30, 34.8811, 35.22, 5008436
10/10/24, 34.74, 34.995, 34.655, 34.83, 4226094
10/09/24, 34.68, 34.94, 34.4801, 34.67, 4149248
10/08/24, 34.55, 34.75, 34.17, 34.66, 4695956
10/07/24, 34.63, 34.685, 34.3872, 34.59, 5087541
10/04/24, 34.17, 34.64, 34.058, 34.59, 4808768
10/03/24, 34.07, 34.22, 33.9114, 34.17, 6316365
10/02/24, 35.01, 35.0118, 34.185, 34.37, 8096997
10/01/24, 35.15, 35.28, 34.86, 35.17, 6149866
09/30/24, 35.37, 35.505, 34.905, 35.11, 4977964
