Date, Open, High, Low, Close, Volume
12/31/24, 27.42, 27.74, 27.35, 27.40, 7862384
12/30/24, 27.16, 27.55, 26.93, 27.36, 7953936
12/27/24, 27.20, 27.36, 27.045, 27.18, 6755828
12/26/24, 27.23, 27.29, 27.095, 27.25, 8173206
12/24/24, 27.10, 27.39, 26.99, 27.33, 4702835
12/23/24, 26.85, 27.10, 26.55, 27.05, 10863260
12/20/24, 26.23, 26.99, 26.14, 26.85, 28504699
12/19/24, 26.12, 26.505, 25.84, 26.24, 20250869
12/18/24, 26.59, 26.723, 25.78, 25.83, 12764510
12/17/24, 26.40, 26.71, 26.1101, 26.61, 14320250
12/16/24, 26.70, 26.75, 26.415, 26.56, 11582320
12/13/24, 26.87, 26.99, 26.70, 26.88, 8284762
12/12/24, 26.95, 27.20, 26.80, 26.90, 10795660
12/11/24, 27.02, 27.265, 26.88, 26.95, 15058610
12/10/24, 27.32, 27.41, 26.794, 26.89, 15516800
12/09/24, 27.845, 27.88, 27.02, 27.10, 12138710
12/06/24, 27.93, 28.14, 27.63, 27.77, 11530730
12/05/24, 27.52, 28.22, 27.48, 27.97, 13451760
12/04/24, 27.36, 27.42, 27.12, 27.39, 9852902
12/03/24, 27.47, 27.55, 27.20, 27.42, 12491540
12/02/24, 28.22, 28.27, 27.34, 27.44, 9652417
11/29/24, 28.17, 28.345, 28.08, 28.27, 6268173
11/27/24, 28.09, 28.24, 27.96, 28.07, 8127177
11/26/24, 27.86, 28.235, 27.86, 28.09, 11272790
11/25/24, 28.59, 28.72, 27.65, 27.85, 26211109
11/22/24, 28.54, 28.81, 28.48, 28.49, 12382230
11/21/24, 28.03, 28.67, 27.98, 28.54, 14617980
11/20/24, 28.10, 28.275, 27.77, 28.00, 11950250
11/19/24, 27.59, 28.15, 27.59, 28.08, 16420721
11/18/24, 27.35, 27.84, 27.35, 27.78, 15943090
11/15/24, 26.65, 27.315, 26.65, 27.27, 12426310
11/14/24, 26.75, 26.97, 26.64, 26.76, 9870157
11/13/24, 27.30, 27.33, 26.76, 26.80, 11759790
11/12/24, 27.29, 27.585, 27.12, 27.18, 14748830
11/11/24, 26.88, 27.33, 26.88, 27.27, 15876060
11/08/24, 26.28, 27.00, 26.28, 26.88, 17402051
11/07/24, 26.41, 26.51, 26.19, 26.41, 13260550
11/06/24, 25.38, 26.585, 25.38, 26.35, 27282740
11/05/24, 24.59, 24.955, 24.54, 24.71, 18874230
11/04/24, 24.27, 24.50, 23.97, 24.49, 13273430
11/01/24, 24.56, 24.665, 24.14, 24.18, 13274540
10/31/24, 24.63, 24.69, 24.345, 24.51, 12806120
10/30/24, 24.72, 25.10, 24.65, 24.84, 14117310
10/29/24, 24.86, 24.86, 24.505, 24.63, 10089820
10/28/24, 24.69, 24.93, 24.66, 24.80, 10034800
10/25/24, 25.09, 25.20, 24.91, 24.95, 16549830
10/24/24, 24.90, 25.08, 24.77, 24.99, 15834490
10/23/24, 24.75, 24.86, 24.595, 24.77, 9856544
10/22/24, 24.78, 24.965, 24.57, 24.81, 7976741
10/21/24, 25.00, 25.01, 24.65, 24.74, 9920317
10/18/24, 24.87, 24.98, 24.655, 24.95, 13670560
10/17/24, 24.75, 25.43, 24.50, 24.82, 24172240
10/16/24, 24.85, 25.06, 24.70, 24.93, 17604051
10/15/24, 24.73, 24.97, 24.5116, 24.76, 19919480
10/14/24, 24.535, 25.0199, 24.511, 24.88, 16198790
10/11/24, 23.98, 24.70, 23.86, 24.70, 21490051
10/10/24, 23.54, 23.83, 23.36, 23.72, 20257789
10/09/24, 23.20, 23.54, 23.19, 23.48, 6730525
10/08/24, 23.39, 23.54, 23.0601, 23.32, 10575830
10/07/24, 23.64, 23.835, 23.57, 23.58, 12242620
10/04/24, 23.42, 23.65, 23.295, 23.62, 11027680
