Date, Open, High, Low, Close, Volume
12/31/24, 82.27, 82.385, 81.44, 81.76, 1280318
12/30/24, 83.33, 83.35, 82.04, 82.06, 1149007
12/27/24, 84.10, 85.31, 83.27, 83.77, 1319866
12/26/24, 84.23, 85.54, 83.79, 85.17, 1160343
12/24/24, 84.00, 85.20, 83.6278, 84.91, 901644
12/23/24, 84.11, 84.1954, 82.53, 83.70, 1864066
12/20/24, 85.40, 85.40, 82.12, 84.27, 4192689
12/19/24, 91.25, 91.25, 82.985, 84.23, 5329656
12/18/24, 84.18, 84.69, 81.20, 81.42, 4153036
12/17/24, 85.20, 85.87, 83.08, 83.12, 3233462
12/16/24, 86.29, 86.97, 85.05, 85.98, 2407104
12/13/24, 86.79, 86.79, 85.53, 86.26, 1331248
12/12/24, 86.63, 87.57, 86.615, 86.78, 1281400
12/11/24, 87.00, 87.87, 86.55, 87.00, 1489116
12/10/24, 87.50, 87.50, 85.09, 86.08, 1486172
12/09/24, 86.45, 87.98, 86.4203, 87.20, 2806008
12/06/24, 85.50, 86.60, 85.235, 86.23, 4643498
12/05/24, 84.18, 85.48, 84.18, 84.56, 1592349
12/04/24, 84.00, 84.6421, 83.33, 83.63, 1680270
12/03/24, 83.22, 84.6699, 82.73, 84.22, 2224921
12/02/24, 83.81, 84.155, 83.01, 83.18, 1553726
11/29/24, 85.00, 85.3073, 83.95, 83.97, 807457
11/27/24, 85.65, 86.355, 84.025, 84.59, 1510909
11/26/24, 83.51, 85.25, 83.18, 85.09, 1605600
11/25/24, 83.08, 86.49, 82.18, 85.15, 3791225
11/22/24, 81.27, 81.93, 80.47, 81.60, 2052273
11/21/24, 77.91, 81.33, 77.50, 80.63, 3318121
11/20/24, 74.87, 76.72, 74.63, 76.66, 1924677
11/19/24, 75.65, 75.82, 74.36, 75.30, 1727752
11/18/24, 78.05, 78.93, 77.06, 77.10, 1933716
11/15/24, 77.95, 78.41, 77.16, 78.03, 1216026
11/14/24, 78.54, 79.65, 77.90, 78.21, 1465075
11/13/24, 77.50, 78.91, 76.70, 77.86, 2169969
11/12/24, 76.32, 77.23, 76.32, 76.69, 1509037
11/11/24, 75.69, 77.43, 75.63, 76.78, 1532474
11/08/24, 76.26, 76.53, 75.19, 75.54, 1391035
11/07/24, 77.00, 77.38, 75.45, 76.44, 1384080
11/06/24, 77.00, 78.16, 76.605, 76.93, 2566608
11/05/24, 72.35, 73.99, 72.03, 73.87, 1151763
11/04/24, 72.00, 74.03, 72.00, 73.06, 1251897
11/01/24, 72.62, 74.26, 72.055, 72.30, 1208268
10/31/24, 73.85, 74.39, 72.32, 72.38, 1296563
10/30/24, 73.88, 75.705, 73.655, 74.05, 1415464
10/29/24, 73.50, 74.03, 73.015, 73.71, 994554
10/28/24, 73.16, 74.36, 72.8784, 74.31, 1198535
10/25/24, 72.59, 72.735, 71.94, 72.00, 1150053
10/24/24, 72.53, 72.915, 72.03, 72.58, 1079106
10/23/24, 71.42, 73.29, 71.38, 72.00, 1753039
10/22/24, 71.40, 72.02, 70.82, 71.48, 1659599
10/21/24, 74.36, 74.37, 71.81, 71.94, 2117414
10/18/24, 75.25, 75.25, 74.11, 74.70, 1198301
10/17/24, 75.01, 75.31, 74.26, 75.12, 1222710
10/16/24, 74.99, 75.47, 74.1501, 74.81, 1250848
10/15/24, 73.19, 75.655, 73.19, 73.67, 1924164
10/14/24, 72.04, 73.19, 71.22, 73.04, 1490012
10/11/24, 71.20, 72.37, 71.195, 72.14, 1411680
10/10/24, 70.75, 71.655, 69.95, 71.11, 1909642
10/09/24, 72.14, 72.14, 71.00, 71.20, 1701116
10/08/24, 72.20, 73.16, 71.07, 72.13, 1878803
10/07/24, 72.50, 73.12, 71.06, 72.27, 2142304
10/04/24, 75.40, 75.64, 72.57, 73.09, 2158496
10/03/24, 74.86, 74.86, 73.70, 74.19, 1494777
10/02/24, 77.45, 77.48, 75.21, 75.43, 1681391
10/01/24, 76.82, 78.615, 75.84, 78.17, 2419748
09/30/24, 76.93, 77.83, 76.41, 77.38, 2010899
09/27/24, 78.87, 79.17, 76.29, 77.32, 2728204
