Date, Open, High, Low, Close, Volume
12/31/24, 61.525, 61.85, 60.97, 61.15, 3757976
12/30/24, 61.99, 62.14, 61.14, 61.23, 10799890
12/27/24, 62.21, 63.14, 62.2001, 62.34, 3628444
12/26/24, 61.66, 62.92, 61.61, 62.76, 4752982
12/24/24, 61.29, 61.86, 60.91, 61.83, 1991553
12/23/24, 61.55, 62.01, 60.74, 60.96, 4649432
12/20/24, 61.70, 62.97, 61.07, 61.85, 38443090
12/19/24, 60.67, 61.74, 60.32, 60.96, 5097124
12/18/24, 60.91, 61.925, 60.683, 60.89, 7455762
12/17/24, 61.80, 62.01, 60.80, 61.17, 5032489
12/16/24, 62.04, 62.88, 61.69, 62.02, 4993465
12/13/24, 63.00, 63.45, 62.06, 62.06, 5307928
12/12/24, 63.22, 63.59, 62.35, 63.30, 10204900
12/11/24, 60.51, 62.03, 60.50, 61.33, 8728987
12/10/24, 57.81, 61.30, 57.81, 60.73, 10993930
12/09/24, 59.38, 59.38, 57.69, 57.77, 5551562
12/06/24, 59.70, 60.67, 59.095, 59.23, 4992636
12/05/24, 58.71, 61.37, 58.52, 60.71, 6670532
12/04/24, 59.90, 60.14, 59.445, 59.91, 5731034
12/03/24, 60.41, 60.61, 59.35, 59.97, 4396798
12/02/24, 60.50, 60.84, 59.59, 60.15, 4168589
11/29/24, 60.82, 61.16, 60.615, 61.08, 2532170
11/27/24, 61.14, 61.18, 60.32, 60.50, 3117429
11/26/24, 60.00, 60.70, 59.64, 60.57, 3694846
11/25/24, 59.22, 60.58, 59.15, 60.09, 6168791
11/22/24, 58.80, 59.405, 58.80, 59.22, 2471597
11/21/24, 57.92, 58.85, 57.45, 58.58, 2573605
11/20/24, 58.00, 58.22, 57.08, 57.61, 2514019
11/19/24, 58.28, 58.49, 57.48, 58.10, 6200498
11/18/24, 58.03, 58.63, 57.93, 58.06, 2874183
11/15/24, 58.87, 59.20, 57.95, 58.02, 3632647
11/14/24, 59.43, 59.74, 59.07, 59.08, 2414228
11/13/24, 59.53, 60.00, 59.21, 59.58, 1924722
11/12/24, 59.51, 60.33, 59.51, 59.68, 3104344
11/11/24, 59.91, 60.345, 59.47, 59.60, 5398742
11/08/24, 59.55, 60.20, 59.195, 59.91, 3014010
11/07/24, 59.86, 60.245, 59.30, 59.31, 3518885
11/06/24, 58.79, 59.92, 58.22, 59.80, 6425624
11/05/24, 56.28, 57.48, 56.25, 57.39, 2459473
11/04/24, 56.44, 56.79, 56.175, 56.27, 3043096
11/01/24, 56.32, 56.68, 56.00, 56.57, 3062433
10/31/24, 55.89, 56.65, 55.69, 55.77, 3438170
10/30/24, 55.90, 56.49, 55.60, 55.74, 2921307
10/29/24, 56.97, 57.245, 55.975, 55.99, 3215042
10/28/24, 57.35, 57.59, 57.07, 57.11, 2801035
10/25/24, 57.60, 58.2799, 57.28, 57.37, 4249881
10/24/24, 57.57, 57.69, 56.66, 56.69, 3580857
10/23/24, 56.33, 57.705, 56.19, 57.62, 4041607
10/22/24, 56.30, 56.58, 55.76, 56.43, 2398238
10/21/24, 56.85, 57.21, 56.25, 56.34, 2469919
10/18/24, 56.76, 56.76, 56.01, 56.53, 2207566
10/17/24, 56.80, 56.93, 56.1229, 56.54, 2963711
10/16/24, 55.91, 56.795, 55.86, 56.65, 2948013
10/15/24, 55.27, 56.85, 55.19, 56.14, 2979886
10/14/24, 55.26, 55.42, 54.88, 55.27, 2666147
10/11/24, 55.36, 55.635, 55.16, 55.36, 2179146
10/10/24, 56.26, 56.48, 54.97, 55.21, 2647382
10/09/24, 56.05, 56.34, 55.85, 56.15, 2594361
10/08/24, 55.84, 56.215, 55.57, 56.00, 2228556
10/07/24, 56.10, 56.11, 55.55, 55.96, 2761043
10/04/24, 55.69, 56.24, 55.65, 55.89, 3038966
10/03/24, 56.09, 56.115, 55.39, 55.62, 3329314
10/02/24, 56.87, 57.185, 56.03, 56.09, 3872894
10/01/24, 57.12, 57.37, 56.5908, 56.71, 4337566
09/30/24, 56.58, 57.375, 56.34, 57.30, 4006895
09/27/24, 55.61, 56.82, 55.45, 56.52, 3299652
09/26/24, 56.42, 56.64, 55.29, 55.47, 5119855
09/25/24, 56.16, 56.80, 55.85, 56.60, 3374576
09/24/24, 56.24, 56.31, 55.8301, 56.06, 3625212
09/23/24, 55.18, 56.25, 55.015, 56.14, 2893130
09/20/24, 54.83, 55.85, 54.83, 55.39, 9187110
09/19/24, 54.65, 55.37, 54.56, 54.83, 5417370
09/18/24, 55.06, 55.31, 54.595, 54.62, 3249849
09/17/24, 56.04, 56.23, 54.98, 55.04, 2780304
09/16/24, 56.00, 56.61, 55.78, 56.19, 3860343
09/13/24, 55.26, 55.93, 54.51, 55.91, 5607388
09/12/24, 52.38, 55.24, 51.52, 55.20, 9956548
09/11/24, 51.48, 51.77, 50.69, 51.50, 5263359
09/10/24, 52.23, 52.53, 51.77, 52.30, 4034460
09/09/24, 52.12, 52.575, 51.895, 51.97, 6705255
09/06/24, 53.215, 53.46, 52.24, 52.27, 6632147
09/05/24, 53.45, 53.60, 52.405, 53.37, 4623688
09/04/24, 53.97, 55.05, 52.975, 53.36, 4593583
09/03/24, 53.28, 53.82, 53.08, 53.70, 5002970
08/30/24, 52.56, 53.32, 52.44, 53.21, 4417168
08/29/24, 53.26, 53.26, 52.1114, 52.50, 3433393
08/28/24, 52.75, 53.485, 52.61, 53.26, 4222526
08/27/24, 52.87, 52.9764, 52.40, 52.72, 3780997
08/26/24, 52.13, 53.16, 52.03, 52.77, 3822932
08/23/24, 52.34, 52.44, 51.65, 51.95, 2818462
08/22/24, 52.67, 52.67, 51.74, 52.22, 3756225
08/21/24, 52.64, 52.99, 52.29, 52.71, 6251523
08/20/24, 52.76, 52.795, 51.50, 52.04, 5357184
08/19/24, 53.06, 53.16, 52.70, 52.76, 4130258
08/16/24, 52.89, 53.21, 52.61, 53.19, 2874806
08/15/24, 53.14, 53.36, 52.55, 52.89, 4137504
08/14/24, 52.60, 52.77, 52.24, 52.70, 4912101
08/13/24, 53.20, 53.275, 51.67, 52.61, 4244901
08/12/24, 53.92, 54.03, 53.18, 53.24, 2698260
08/09/24, 54.14, 54.225, 53.60, 53.92, 2847448
08/08/24, 53.88, 54.58, 53.88, 54.32, 3142096
08/07/24, 54.52, 55.00, 53.89, 53.90, 3624979
08/06/24, 54.14, 54.85, 54.00, 54.13, 4505066
08/05/24, 54.32, 55.14, 53.67, 53.90, 4596364
08/02/24, 55.33, 55.80, 53.83, 54.33, 4284804
08/01/24, 54.87, 55.32, 54.375, 55.09, 3082025
07/31/24, 54.28, 54.92, 54.24, 54.50, 2906393
07/30/24, 54.29, 55.20, 54.19, 54.70, 3502524
07/29/24, 54.15, 54.495, 53.76, 54.20, 3526213
07/26/24, 53.32, 54.43, 53.28, 54.27, 2552485
07/25/24, 54.25, 54.81, 53.30, 53.31, 3207040
07/24/24, 53.94, 54.285, 53.28, 54.18, 3841739
07/23/24, 54.84, 54.85, 53.62, 53.84, 3028399
07/22/24, 54.65, 54.97, 54.595, 54.86, 4315084
07/19/24, 55.00, 55.00, 54.27, 54.51, 2775112
07/18/24, 54.50, 54.965, 54.22, 54.81, 3255245
07/17/24, 53.56, 54.975, 53.53, 54.80, 6248704
07/16/24, 52.19, 53.655, 52.12, 53.60, 4125890
07/15/24, 52.50, 52.62, 52.105, 52.12, 3734256
07/12/24, 52.83, 53.02, 52.44, 52.49, 3586450
07/11/24, 52.58, 52.80, 52.40, 52.75, 4435113
07/10/24, 52.33, 53.20, 52.10, 52.99, 5440229
07/09/24, 51.90, 52.43, 51.73, 51.86, 5515177
07/08/24, 51.84, 52.05, 51.55, 51.94, 5259443
07/05/24, 50.77, 51.89, 50.75, 51.84, 4668557
07/03/24, 50.55, 51.08, 50.37, 50.75, 3191500
07/02/24, 50.56, 51.16, 50.255, 50.43, 7073301
07/01/24, 49.96, 50.58, 49.74, 50.56, 7877443
06/28/24, 49.54, 50.015, 49.405, 49.93, 6628674
06/27/24, 49.30, 49.39, 49.04, 49.37, 5229371
06/26/24, 49.36, 49.59, 49.05, 49.38, 5280373
06/25/24, 49.72, 50.04, 49.46, 49.82, 4626373
06/24/24, 50.15, 50.4361, 49.965, 50.02, 11728040
06/21/24, 50.56, 51.03, 49.92, 50.21, 16746539
06/20/24, 53.07, 53.32, 49.72, 50.28, 16483590
06/18/24, 52.30, 52.7861, 51.81, 51.98, 11160010
06/17/24, 50.39, 51.06, 50.31, 51.05, 5695631
06/14/24, 50.27, 50.49, 50.01, 50.38, 4958753
06/13/24, 50.51, 50.7999, 49.69, 50.52, 6520899
06/12/24, 51.12, 51.405, 50.15, 50.17, 4614901
06/11/24, 51.55, 51.72, 51.16, 51.37, 3337593
06/10/24, 52.06, 52.06, 51.46, 51.64, 3136627
06/07/24, 51.89, 52.08, 51.67, 51.98, 3145569
06/06/24, 51.91, 52.19, 51.76, 51.95, 3887196
06/05/24, 51.80, 51.95, 51.31, 51.68, 3737293
06/04/24, 51.78, 52.23, 51.77, 52.04, 5680145
06/03/24, 52.00, 52.21, 51.65, 51.86, 5449718
05/31/24, 51.84, 52.43, 51.78, 52.37, 9756937
05/30/24, 52.09, 52.22, 51.84, 51.98, 4324345
05/29/24, 52.36, 52.48, 51.81, 51.89, 5298808
05/28/24, 52.66, 52.80, 52.085, 52.31, 5187180
05/24/24, 53.46, 53.69, 52.705, 52.99, 6276910
05/23/24, 53.74, 53.74, 52.69, 53.31, 7121762
05/22/24, 53.46, 54.02, 53.40, 53.92, 5124750
05/21/24, 54.02, 54.35, 53.62, 53.66, 5962315
05/20/24, 54.34, 54.45, 53.7191, 53.89, 4140052
