Date, Open, High, Low, Close, Volume
12/31/24, 384.06, 386.36, 380.26, 382.41, 1027697
12/30/24, 380.03, 389.19, 377.54, 384.05, 1254672
12/27/24, 382.00, 387.48, 380.32, 386.67, 1075795
12/26/24, 384.86, 389.86, 384.0101, 385.82, 1013024
12/24/24, 385.205, 386.88, 383.21, 385.69, 496441
12/23/24, 379.90, 388.4048, 376.79, 383.49, 1900052
12/20/24, 367.99, 384.1599, 366.95, 379.42, 3167304
12/19/24, 375.00, 377.50, 368.66, 373.54, 2022030
12/18/24, 387.00, 389.67, 371.88, 372.07, 2096893
12/17/24, 386.11, 391.49, 382.00, 390.59, 1394566
12/16/24, 390.91, 397.66, 389.01, 389.74, 1494366
12/13/24, 387.01, 392.60, 385.00, 391.63, 1442506
12/12/24, 396.73, 398.24, 389.17, 389.33, 1572398
12/11/24, 399.47, 405.16, 398.08, 399.75, 1359486
12/10/24, 404.00, 407.55, 393.00, 397.10, 2263272
12/09/24, 398.68, 420.21, 396.45, 404.79, 3708250
12/06/24, 377.00, 409.70, 377.00, 399.60, 10951950
12/05/24, 345.48, 351.38, 340.69, 344.81, 4435434
12/04/24, 338.84, 342.94, 337.145, 342.27, 2036420
12/03/24, 333.56, 341.42, 329.74, 340.66, 1924772
12/02/24, 322.91, 337.30, 321.83, 334.40, 2330076
11/29/24, 321.93, 324.16, 318.47, 320.66, 839228
11/27/24, 319.82, 322.8521, 316.4123, 319.52, 1126435
11/26/24, 325.395, 326.22, 318.24, 318.84, 1209476
11/25/24, 319.46, 328.71, 318.8603, 326.72, 2150293
11/22/24, 315.14, 327.67, 315.14, 317.11, 1873197
11/21/24, 306.19, 316.49, 304.44, 315.14, 1521574
11/20/24, 298.74, 309.17, 298.67, 308.31, 1403984
11/19/24, 305.17, 307.791, 298.20, 301.85, 2090269
11/18/24, 322.00, 322.43, 307.89, 309.53, 1896867
11/15/24, 330.62, 331.32, 319.7595, 320.01, 1264651
11/14/24, 328.675, 334.575, 324.53, 330.26, 1579592
11/13/24, 323.71, 334.35, 321.74, 328.30, 2000971
11/12/24, 317.00, 322.25, 314.12, 320.90, 1159533
