Date, Open, High, Low, Close, Volume
12/31/24, 527.67, 529.19, 525.56, 526.57, 1942656
12/30/24, 527.00, 528.5652, 521.33, 525.55, 2101731
12/27/24, 533.61, 537.56, 530.80, 532.20, 1542157
12/26/24, 533.63, 537.70, 532.92, 536.15, 1109713
12/24/24, 529.27, 535.74, 527.83, 535.71, 955015
12/23/24, 525.83, 529.3999, 521.13, 528.96, 2270286
12/20/24, 522.87, 532.08, 519.42, 528.03, 7317151
12/19/24, 524.16, 529.22, 522.20, 523.28, 3050813
12/18/24, 530.32, 537.13, 519.71, 519.96, 3190277
12/17/24, 529.40, 531.78, 524.87, 531.01, 4056007
12/16/24, 532.00, 535.00, 528.995, 530.31, 2923016
12/13/24, 534.17, 534.68, 528.91, 529.00, 1608196
12/12/24, 536.29, 536.75, 531.97, 532.41, 1860815
12/11/24, 529.19, 535.89, 527.2701, 534.45, 2181241
12/10/24, 522.51, 529.66, 520.2201, 529.01, 2003265
12/09/24, 529.02, 531.59, 521.875, 522.82, 2942047
12/06/24, 522.93, 531.00, 522.50, 528.57, 2122791
12/05/24, 524.60, 527.47, 522.17, 524.77, 2538695
12/04/24, 523.64, 526.275, 518.17, 521.14, 2630030
12/03/24, 534.67, 534.82, 525.96, 526.18, 2319746
12/02/24, 532.93, 534.82, 526.23, 531.36, 2355191
11/29/24, 533.01, 535.7699, 530.025, 532.94, 1760566
11/27/24, 529.05, 533.62, 526.58, 532.38, 2086434
11/26/24, 527.90, 530.6499, 525.06, 528.48, 2326797
11/25/24, 521.64, 528.25, 521.02, 526.60, 4503914
11/22/24, 516.93, 521.705, 516.18, 520.86, 3130470
11/21/24, 513.23, 520.12, 511.58, 515.10, 3077464
11/20/24, 521.53, 522.50, 511.00, 512.54, 2409527
11/19/24, 518.78, 522.65, 516.756, 519.46, 2716216
11/18/24, 518.59, 523.49, 517.00, 521.63, 2493483
11/15/24, 518.525, 523.39, 518.00, 521.89, 2408193
11/14/24, 520.62, 522.36, 517.65, 520.40, 2480583
11/13/24, 530.01, 530.50, 516.415, 521.88, 2681881
11/12/24, 529.10, 530.90, 527.30, 529.17, 2577628
11/11/24, 528.85, 534.025, 528.515, 530.12, 2213822
11/08/24, 520.34, 528.84, 519.53, 524.76, 2215681
11/07/24, 523.99, 524.03, 516.5901, 517.88, 2382508
11/06/24, 520.86, 523.00, 515.94, 521.13, 3674066
11/05/24, 505.58, 508.15, 503.61, 505.56, 2132859
11/04/24, 509.14, 510.00, 503.03, 505.58, 2165122
11/01/24, 500.44, 510.55, 498.53, 508.08, 3753713
10/31/24, 521.25, 527.8999, 499.03, 499.59, 5523340
10/30/24, 512.52, 516.45, 507.00, 513.69, 3120968
10/29/24, 507.54, 511.39, 505.70, 506.28, 2066616
10/28/24, 507.40, 510.8599, 506.14, 508.21, 2186574
10/25/24, 512.50, 514.73, 505.62, 507.36, 1582222
10/24/24, 511.90, 513.34, 509.46, 510.62, 1912122
