Date, Open, High, Low, Close, Volume
12/31/24, 280.98, 281.20, 278.21, 278.94, 740243
12/30/24, 281.68, 282.10, 277.49, 280.31, 1021016
12/27/24, 284.01, 286.05, 280.78, 283.66, 717608
12/26/24, 285.01, 287.27, 284.85, 286.56, 473766
12/24/24, 283.63, 286.55, 282.76, 286.39, 424024
12/23/24, 283.49, 284.16, 280.48, 283.63, 907991
12/20/24, 276.83, 286.93, 276.81, 283.96, 2619126
12/19/24, 281.20, 282.79, 278.185, 279.02, 1490454
12/18/24, 289.50, 291.25, 277.53, 277.65, 1861454
12/17/24, 288.77, 291.32, 288.46, 289.44, 1310619
12/16/24, 287.58, 292.07, 286.3357, 290.40, 977268
12/13/24, 288.61, 289.59, 286.07, 287.08, 797449
12/12/24, 292.68, 294.01, 289.745, 289.99, 1168265
12/11/24, 289.99, 292.959, 289.54, 291.73, 876856
12/10/24, 289.01, 289.75, 285.50, 287.67, 866960
12/09/24, 292.49, 293.87, 286.28, 286.97, 1064793
12/06/24, 292.69, 295.45, 292.34, 292.59, 1013086
12/05/24, 289.96, 294.65, 289.875, 292.48, 1307416
12/04/24, 286.08, 290.01, 284.50, 289.63, 1115419
12/03/24, 287.21, 287.99, 283.71, 284.93, 929039
12/02/24, 288.97, 289.94, 284.64, 286.24, 1574285
11/29/24, 285.55, 290.43, 285.54, 289.09, 702422
11/27/24, 287.88, 287.90, 284.62, 285.60, 1112890
11/26/24, 288.80, 289.80, 286.53, 288.18, 1459095
11/25/24, 286.08, 289.625, 285.795, 288.00, 1808427
11/22/24, 283.33, 284.95, 282.88, 284.29, 990343
11/21/24, 281.92, 283.825, 280.27, 283.44, 944564
11/20/24, 279.55, 280.825, 278.54, 280.18, 938554
11/19/24, 279.30, 280.71, 276.28, 279.27, 890495
11/18/24, 280.59, 282.24, 278.05, 281.45, 1734237
11/15/24, 281.99, 282.465, 277.67, 278.78, 1751074
11/14/24, 286.48, 287.51, 281.76, 282.02, 1396808
11/13/24, 284.685, 289.04, 284.36, 286.47, 1274029
11/12/24, 285.62, 287.00, 283.71, 286.02, 1143262
11/11/24, 281.07, 286.19, 281.07, 285.91, 1895938
11/08/24, 277.81, 282.80, 277.205, 280.80, 1516591
11/07/24, 276.13, 278.50, 273.86, 277.68, 1472662
11/06/24, 270.11, 277.41, 268.49, 276.26, 2148694
11/05/24, 254.08, 261.073, 254.08, 259.66, 1604478
11/04/24, 255.43, 256.69, 249.55, 256.43, 2222042
11/01/24, 258.48, 263.39, 258.425, 260.57, 1481686
10/31/24, 264.26, 265.37, 259.92, 260.02, 1308428
10/30/24, 263.67, 265.60, 263.25, 264.26, 897851
10/29/24, 262.80, 265.1099, 262.28, 263.89, 791538
10/28/24, 264.35, 264.60, 260.68, 262.55, 1127532
10/25/24, 263.31, 265.13, 261.36, 262.12, 1162123
10/24/24, 259.97, 261.82, 257.425, 260.63, 1195081
10/23/24, 260.48, 263.00, 255.48, 257.82, 1990316
10/22/24, 264.80, 265.885, 263.35, 265.50, 1198254
10/21/24, 264.49, 266.44, 263.2629, 264.97, 869066
10/18/24, 264.57, 266.58, 263.0831, 265.60, 886768
10/17/24, 264.50, 265.20, 262.29, 264.57, 1163528
10/16/24, 260.43, 263.29, 259.60, 262.57, 709199
10/15/24, 261.37, 263.32, 259.4975, 260.58, 1252364
10/14/24, 261.22, 263.34, 260.42, 261.56, 1139628
10/11/24, 261.23, 264.14, 261.05, 262.63, 1084725
10/10/24, 260.89, 261.92, 259.29, 260.54, 1038242
10/09/24, 256.29, 263.02, 256.00, 261.88, 1442671
10/08/24, 255.32, 257.345, 253.53, 256.58, 1207924
10/07/24, 254.00, 255.85, 253.07, 255.16, 2406904
10/04/24, 253.28, 254.84, 252.22, 254.61, 1129513
10/03/24, 246.06, 249.67, 246.01, 249.48, 935640
10/02/24, 245.29, 249.00, 244.85, 248.82, 857615
10/01/24, 248.71, 249.31, 243.10, 246.08, 1382540
09/30/24, 252.05, 253.95, 246.46, 248.60, 1646374
09/27/24, 252.81, 254.43, 251.67, 253.04, 1238389
09/26/24, 248.17, 251.00, 246.22, 250.71, 1431803
09/25/24, 247.47, 247.62, 244.63, 245.50, 951362
09/24/24, 243.02, 247.46, 242.85, 247.38, 1225328
09/23/24, 244.85, 245.125, 241.36, 241.67, 1393435
09/20/24, 243.90, 244.74, 240.90, 244.39, 3663555
09/19/24, 242.97, 246.02, 242.04, 244.46, 1676231
09/18/24, 238.90, 241.73, 236.80, 238.74, 1539802
09/17/24, 233.73, 236.23, 232.76, 235.61, 1005287
09/16/24, 233.07, 235.75, 231.90, 232.46, 993122
09/13/24, 231.55, 232.56, 229.67, 231.74, 1034102
09/12/24, 228.80, 230.82, 227.59, 230.70, 1044702
09/11/24, 225.67, 227.7795, 221.84, 227.33, 1330936
09/10/24, 227.68, 229.00, 221.95, 225.67, 1755184
09/09/24, 228.93, 230.95, 226.535, 228.59, 1876853
09/06/24, 229.47, 232.90, 227.16, 227.60, 3355319
09/05/24, 229.73, 230.5499, 226.86, 229.06, 1808762
09/04/24, 230.00, 230.655, 228.11, 229.46, 1412173
09/03/24, 234.20, 234.695, 229.74, 230.72, 1802660
08/30/24, 232.56, 235.43, 231.045, 234.69, 2218129
08/29/24, 229.75, 233.61, 228.881, 231.37, 1954464
08/28/24, 226.42, 228.18, 226.18, 227.32, 1026185
08/27/24, 224.40, 228.18, 223.80, 227.62, 1017819
08/26/24, 226.57, 228.13, 224.15, 224.67, 1105008
08/23/24, 225.98, 227.65, 224.95, 225.26, 958335
08/22/24, 223.81, 225.90, 223.13, 224.12, 991214
08/21/24, 224.07, 225.14, 223.06, 224.51, 710527
08/20/24, 224.50, 225.48, 222.87, 223.13, 1069762
08/19/24, 221.30, 226.00, 221.055, 225.15, 1068580
08/16/24, 221.61, 221.67, 219.725, 220.56, 1005775
08/15/24, 219.68, 222.95, 218.93, 221.90, 1726691
08/14/24, 217.00, 217.709, 215.54, 217.10, 847405
08/13/24, 215.26, 216.85, 213.2706, 216.43, 1081200
08/12/24, 217.95, 217.95, 214.41, 214.68, 1075264
08/09/24, 215.50, 219.00, 214.05, 217.97, 1214086
08/08/24, 215.445, 217.81, 214.78, 215.80, 1369788
08/07/24, 215.94, 217.64, 213.78, 214.77, 2854397
08/06/24, 212.50, 218.4099, 211.19, 215.25, 1911718
08/05/24, 209.07, 212.34, 204.55, 211.35, 4057455
08/02/24, 215.12, 216.64, 210.02, 213.67, 3679065
08/01/24, 226.15, 226.49, 215.605, 218.78, 3067875
07/31/24, 230.00, 236.22, 222.93, 227.30, 4316714
07/30/24, 239.00, 241.54, 238.05, 238.77, 1752791
07/29/24, 237.94, 239.52, 235.70, 238.45, 1335718
07/26/24, 235.60, 237.74, 234.00, 236.60, 929373
07/25/24, 235.00, 237.51, 232.325, 233.75, 1380149
07/24/24, 241.24, 241.61, 234.90, 235.04, 1762579
07/23/24, 242.66, 245.60, 241.97, 242.31, 730968
07/22/24, 243.61, 244.00, 241.15, 242.94, 1212752
07/19/24, 245.00, 245.719, 242.65, 243.91, 1342586
07/18/24, 244.77, 248.50, 244.05, 244.09, 1399758
07/17/24, 253.25, 255.325, 247.49, 247.55, 1753015
07/16/24, 247.94, 255.19, 247.6912, 255.11, 1562526
07/15/24, 242.80, 246.845, 241.99, 246.67, 1062332
07/12/24, 241.17, 245.44, 240.16, 242.79, 1699285
07/11/24, 242.94, 242.94, 239.25, 239.78, 1765451
07/10/24, 237.96, 242.74, 237.16, 242.52, 1376220
07/09/24, 240.86, 240.86, 237.39, 237.52, 1254901
07/08/24, 242.09, 243.06, 239.174, 239.86, 1040260
07/05/24, 240.50, 241.38, 238.45, 240.98, 851934
07/03/24, 239.63, 241.67, 238.48, 240.17, 866747
07/02/24, 239.81, 240.12, 236.68, 239.98, 1417325
07/01/24, 242.19, 243.36, 237.45, 239.51, 1475150
06/28/24, 242.40, 246.79, 241.02, 241.77, 6788860
06/27/24, 242.95, 242.95, 240.20, 242.25, 1153713
06/26/24, 242.67, 243.26, 239.67, 241.51, 1592636
06/25/24, 246.53, 246.87, 243.78, 244.83, 1283805
06/24/24, 243.23, 246.27, 243.23, 245.66, 1058551
06/21/24, 245.69, 245.94, 242.75, 243.53, 3299600
06/20/24, 242.68, 244.40, 242.66, 243.98, 1154434
06/18/24, 245.28, 247.20, 242.13, 243.05, 1320126
06/17/24, 238.55, 245.045, 237.60, 244.70, 1406883
06/14/24, 239.33, 239.75, 235.14, 239.45, 1566397
06/13/24, 235.22, 240.77, 234.66, 240.47, 1188728
06/12/24, 234.02, 237.13, 234.02, 236.56, 1477791
06/11/24, 231.78, 233.235, 229.93, 232.64, 1285070
06/10/24, 230.00, 233.41, 229.98, 232.76, 1219818
06/07/24, 231.52, 232.90, 230.13, 231.10, 2723430
06/06/24, 232.87, 235.45, 231.37, 232.03, 1028049
06/05/24, 231.18, 233.23, 229.50, 232.77, 987840
06/04/24, 226.60, 231.695, 226.44, 230.51, 1100568
06/03/24, 231.73, 231.995, 226.03, 228.38, 1644005
05/31/24, 229.52, 231.39, 227.44, 231.17, 1660301
05/30/24, 228.79, 229.60, 226.70, 228.96, 934548
05/29/24, 231.86, 232.44, 227.825, 228.46, 1161711
05/28/24, 234.82, 237.608, 232.98, 234.14, 993794
05/24/24, 233.83, 236.72, 233.285, 236.59, 909514
05/23/24, 236.50, 236.50, 231.84, 232.06, 1650396
05/22/24, 237.24, 239.40, 235.50, 236.16, 1091592
05/21/24, 241.22, 241.22, 237.125, 238.28, 839678
05/20/24, 237.85, 240.515, 237.43, 240.33, 954160
05/17/24, 238.96, 239.58, 236.32, 237.73, 1217046
05/16/24, 235.64, 239.49, 235.64, 238.96, 1280881
05/15/24, 236.75, 237.4699, 235.56, 236.00, 1569035
05/14/24, 237.97, 238.58, 235.69, 235.87, 2105279
05/13/24, 241.25, 241.70, 236.21, 237.50, 1288816
05/10/24, 238.00, 240.67, 237.50, 240.46, 1145266
05/09/24, 232.67, 237.74, 230.845, 237.54, 1229719
05/08/24, 235.55, 236.28, 234.47, 235.35, 1194614
05/07/24, 236.815, 238.27, 235.66, 235.99, 898005
05/06/24, 235.41, 237.36, 235.39, 236.82, 1068009
05/03/24, 237.38, 238.76, 234.30, 234.59, 1572856
05/02/24, 236.35, 236.70, 232.63, 235.56, 1413317
05/01/24, 233.75, 237.24, 230.81, 233.86, 2157183
04/30/24, 240.95, 241.92, 235.50, 236.13, 1862918
04/29/24, 241.47, 244.24, 239.59, 240.49, 1209117
04/26/24, 240.77, 244.115, 240.74, 240.84, 1065547
04/25/24, 242.07, 243.12, 240.23, 241.94, 1207368
04/24/24, 244.17, 249.62, 243.31, 244.06, 2301316
04/23/24, 237.41, 239.98, 237.41, 239.69, 1196185
04/22/24, 238.56, 239.09, 235.51, 237.41, 1046353
04/19/24, 237.38, 239.30, 234.55, 236.00, 1842310
04/18/24, 240.65, 241.24, 236.08, 236.30, 1841224
04/17/24, 244.07, 245.33, 237.54, 238.46, 2684061
04/16/24, 248.21, 248.735, 244.74, 245.62, 1088930
04/15/24, 255.07, 257.01, 248.21, 248.41, 1433293
