Date, Open, High, Low, Close, Volume
12/31/24, 290.08, 291.24, 288.58, 289.89, 1915847
12/30/24, 291.47, 291.47, 289.00, 289.60, 1936678
12/27/24, 293.34, 296.4795, 292.74, 293.62, 1617399
12/26/24, 293.00, 295.435, 292.60, 294.80, 1434337
12/24/24, 291.28, 294.27, 290.791, 293.99, 1460985
12/23/24, 292.255, 293.10, 289.73, 291.29, 2492226
12/20/24, 289.52, 296.10, 289.3001, 292.68, 7677952
12/19/24, 290.88, 292.86, 288.847, 290.23, 3438533
12/18/24, 295.02, 298.9761, 290.67, 290.88, 3800945
12/17/24, 297.62, 300.00, 294.82, 296.08, 3295881
12/16/24, 297.18, 302.12, 297.17, 297.71, 3180071
12/13/24, 296.29, 299.20, 295.43, 296.60, 2547703
12/12/24, 296.20, 298.55, 295.09, 296.63, 2040653
12/11/24, 301.34, 301.90, 295.97, 296.10, 3037616
12/10/24, 300.13, 302.82, 295.84, 300.71, 3522974
12/09/24, 297.585, 302.6178, 297.09, 301.37, 2391898
12/06/24, 300.56, 303.7971, 298.605, 298.98, 4158690
12/05/24, 295.54, 299.74, 294.9331, 299.47, 2594816
12/04/24, 292.28, 296.04, 291.82, 295.09, 3742938
12/03/24, 292.32, 294.85, 290.29, 294.50, 3030992
12/02/24, 293.50, 294.23, 290.94, 292.44, 3150151
11/29/24, 294.16, 297.05, 294.018, 296.01, 1655907
11/27/24, 297.00, 299.50, 294.98, 295.08, 2240280
11/26/24, 297.00, 297.28, 294.83, 296.33, 2254326
11/25/24, 291.765, 296.61, 291.765, 296.19, 5021843
11/22/24, 288.47, 290.60, 288.14, 290.28, 2879063
11/21/24, 285.00, 288.60, 283.46, 288.47, 4475662
11/20/24, 290.62, 291.3199, 288.255, 290.91, 2525012
11/19/24, 290.00, 292.072, 287.60, 290.73, 2353251
11/18/24, 293.01, 295.44, 290.7886, 291.10, 2866132
11/15/24, 297.72, 299.495, 289.72, 292.63, 4039432
11/14/24, 298.00, 300.11, 296.5901, 298.56, 1932557
11/13/24, 298.90, 299.13, 295.2172, 297.35, 2327101
11/12/24, 300.14, 301.405, 297.52, 298.65, 2453194
11/11/24, 300.49, 303.81, 300.02, 301.53, 2872440
11/08/24, 295.60, 301.8321, 295.25, 298.97, 3279284
11/07/24, 294.84, 296.54, 293.81, 294.66, 3357377
11/06/24, 300.28, 300.33, 292.72, 294.00, 4646422
11/05/24, 293.75, 297.38, 292.56, 297.32, 3032122
