Date, Open, High, Low, Close, Volume
12/31/24, 57.355, 58.11, 56.57, 57.35, 5711760
12/30/24, 57.62, 57.705, 56.74, 57.12, 7182210
12/27/24, 58.25, 58.52, 57.74, 58.34, 9024164
12/26/24, 57.85, 59.035, 57.80, 58.47, 4143374
12/24/24, 57.81, 58.61, 57.25, 58.56, 3201143
12/23/24, 55.93, 58.00, 55.80, 57.87, 8832365
12/20/24, 55.87, 57.07, 55.27, 55.51, 27171189
12/19/24, 56.26, 57.71, 55.90, 55.99, 7435069
12/18/24, 58.79, 59.76, 55.91, 56.14, 10205870
12/17/24, 58.93, 59.75, 58.04, 58.29, 9621990
12/16/24, 57.94, 59.57, 57.94, 59.08, 11748890
12/13/24, 61.00, 61.34, 59.745, 59.93, 9040132
12/12/24, 61.03, 62.04, 60.681, 61.50, 4738719
12/11/24, 62.50, 62.70, 61.01, 61.52, 5698233
12/10/24, 61.49, 62.015, 60.44, 61.92, 9191857
12/09/24, 59.50, 62.70, 59.10, 61.87, 8594745
12/06/24, 58.72, 59.58, 58.30, 59.29, 8677484
12/05/24, 61.49, 61.70, 57.96, 58.25, 14289380
12/04/24, 66.23, 66.23, 61.07, 61.64, 13749530
12/03/24, 69.26, 69.71, 65.24, 65.39, 10712820
12/02/24, 67.99, 71.04, 67.99, 70.31, 7029969
11/29/24, 68.64, 69.55, 68.08, 68.17, 5221091
11/27/24, 68.38, 68.975, 66.60, 67.87, 5524030
11/26/24, 70.75, 70.92, 67.7302, 68.41, 8778240
11/25/24, 67.75, 71.10, 67.26, 69.85, 11092850
11/22/24, 65.68, 66.89, 65.26, 66.69, 5378239
11/21/24, 65.91, 66.835, 65.23, 66.51, 7146743
11/20/24, 64.11, 65.15, 63.665, 65.12, 8669520
11/19/24, 64.69, 65.24, 63.665, 64.88, 9720291
11/18/24, 63.18, 65.32, 62.96, 65.25, 8006029
11/15/24, 64.91, 65.07, 62.625, 62.86, 9280916
11/14/24, 67.03, 67.49, 65.48, 65.60, 6115152
11/13/24, 66.36, 67.07, 65.56, 66.59, 6997531
11/12/24, 68.95, 69.62, 66.08, 67.30, 9799750
11/11/24, 72.32, 72.49, 68.995, 69.88, 6591232
11/08/24, 73.23, 73.53, 72.08, 72.87, 6290308
11/07/24, 74.34, 75.23, 73.62, 74.34, 7232268
11/06/24, 76.30, 77.20, 72.26, 73.75, 11382190
11/05/24, 73.66, 75.26, 73.00, 75.09, 8185748
11/04/24, 74.10, 75.61, 73.80, 74.47, 4223410
11/01/24, 73.59, 75.27, 73.41, 74.81, 5472977
10/31/24, 75.65, 75.68, 72.67, 73.37, 9069525
10/30/24, 77.09, 78.125, 75.49, 75.58, 5706784
10/29/24, 76.97, 79.44, 76.69, 79.05, 5456227
10/28/24, 75.80, 77.57, 75.35, 77.20, 3654697
10/25/24, 76.65, 77.55, 76.25, 76.29, 3940337
10/24/24, 76.32, 76.38, 74.82, 75.86, 3920075
10/23/24, 75.79, 76.75, 74.07, 75.27, 4102703
10/22/24, 74.60, 75.66, 74.40, 75.43, 4572979
10/21/24, 76.66, 77.065, 74.548, 75.18, 4738086
10/18/24, 77.33, 77.65, 76.7003, 77.34, 3542186
10/17/24, 77.63, 77.90, 76.435, 76.58, 4849036
10/16/24, 76.65, 77.68, 75.70, 75.89, 4499277
10/15/24, 78.64, 79.18, 74.67, 75.23, 7695196
10/14/24, 78.60, 79.22, 77.82, 78.99, 3852859
10/11/24, 77.11, 78.70, 77.00, 77.98, 3811941
10/10/24, 76.82, 77.72, 76.44, 77.34, 3832806
10/09/24, 77.00, 78.34, 76.835, 78.19, 4724844
10/08/24, 76.10, 77.64, 75.41, 77.31, 4913235
10/07/24, 76.83, 77.21, 75.69, 76.45, 5306347
10/04/24, 79.47, 79.53, 76.81, 77.68, 4228462
10/03/24, 77.38, 78.03, 76.52, 77.33, 4483667
10/02/24, 77.75, 78.99, 76.89, 78.22, 5632161
10/01/24, 79.99, 80.33, 76.78, 77.49, 6934360
09/30/24, 79.05, 80.42, 78.91, 80.29, 5612587
09/27/24, 80.86, 81.64, 80.25, 80.59, 6496167
09/26/24, 78.84, 80.76, 77.28, 80.31, 8061407
09/25/24, 76.67, 77.17, 75.87, 76.11, 6082263
09/24/24, 78.09, 78.93, 77.27, 77.50, 4434274
09/23/24, 76.52, 77.33, 76.32, 77.06, 4909249
09/20/24, 77.26, 77.58, 75.805, 77.01, 14159500
09/19/24, 79.48, 80.65, 77.885, 78.83, 12211850
09/18/24, 77.64, 78.35, 76.12, 76.36, 9379108
09/17/24, 78.25, 78.85, 76.32, 77.00, 4735840
09/16/24, 76.81, 77.48, 75.89, 77.00, 3831805
09/13/24, 76.89, 78.00, 76.75, 77.62, 3444754
09/12/24, 77.30, 77.30, 75.42, 76.08, 3351556
09/11/24, 75.19, 77.64, 73.60, 77.45, 6678877
09/10/24, 75.12, 75.32, 73.15, 75.19, 4748196
09/09/24, 74.95, 75.70, 74.21, 75.41, 5323685
09/06/24, 76.75, 76.83, 73.69, 74.09, 9621573
09/05/24, 75.81, 77.44, 75.43, 76.75, 4137167
09/04/24, 75.39, 77.62, 75.115, 76.89, 5875771
09/03/24, 80.27, 80.42, 76.14, 76.40, 9557160
08/30/24, 82.49, 82.59, 81.09, 82.16, 4872835
08/29/24, 80.21, 82.65, 80.00, 80.98, 4421920
08/28/24, 81.01, 81.30, 78.80, 79.40, 4785517
08/27/24, 80.12, 80.99, 79.03, 80.94, 3369813
08/26/24, 81.48, 81.865, 79.98, 80.30, 5543278
08/23/24, 81.50, 82.56, 80.455, 81.79, 4242619
08/22/24, 82.27, 82.27, 79.49, 79.78, 8336683
08/21/24, 80.90, 82.87, 80.795, 82.81, 5765841
08/20/24, 81.12, 81.57, 79.75, 80.28, 4826078
08/19/24, 80.545, 82.125, 79.85, 82.03, 5535433
08/16/24, 81.24, 81.83, 80.50, 80.85, 4192121
08/15/24, 80.00, 81.565, 79.25, 81.30, 9511324
08/14/24, 79.12, 79.22, 76.72, 78.10, 5321359
08/13/24, 76.93, 79.44, 76.16, 79.14, 7585603
08/12/24, 76.335, 76.90, 74.96, 76.42, 5303958
08/09/24, 75.93, 76.95, 74.98, 76.09, 5374828
08/08/24, 74.35, 77.43, 73.53, 77.28, 8582155
08/07/24, 76.87, 76.9099, 71.765, 72.00, 8311927
08/06/24, 74.68, 76.89, 73.73, 74.67, 9488568
08/05/24, 75.30, 77.25, 73.19, 73.86, 10756420
08/02/24, 79.45, 79.64, 74.60, 75.43, 17482869
08/01/24, 87.50, 89.59, 83.035, 84.37, 14052960
07/31/24, 87.96, 89.11, 87.15, 88.78, 10036110
07/30/24, 88.59, 89.14, 86.31, 86.54, 6957336
07/29/24, 87.76, 89.30, 87.15, 87.96, 4556133
07/26/24, 86.97, 87.71, 85.38, 86.83, 5590310
07/25/24, 84.64, 87.94, 82.94, 85.03, 10269410
07/24/24, 89.72, 89.90, 86.445, 86.57, 7969558
07/23/24, 91.77, 91.77, 89.60, 89.71, 6748342
07/22/24, 91.17, 93.23, 89.82, 93.12, 6739855
07/19/24, 91.65, 91.775, 88.68, 88.77, 5818946
07/18/24, 92.61, 93.31, 90.275, 91.52, 5882997
07/17/24, 94.07, 96.98, 91.40, 91.52, 9193820
07/16/24, 92.71, 94.87, 92.13, 94.81, 3601908
07/15/24, 92.49, 93.315, 91.73, 92.09, 4251452
07/12/24, 92.93, 94.44, 92.2834, 92.61, 4775067
07/11/24, 95.25, 95.70, 92.03, 92.09, 6610869
07/10/24, 93.28, 96.21, 92.79, 95.98, 6386783
07/09/24, 93.50, 93.84, 91.86, 92.34, 3226934
07/08/24, 92.28, 93.72, 92.145, 93.26, 4798199
07/05/24, 93.84, 93.915, 92.11, 92.14, 2740630
07/03/24, 92.28, 93.83, 91.77, 93.58, 2438229
07/02/24, 91.12, 92.72, 91.01, 92.06, 3377975
07/01/24, 91.50, 91.70, 90.16, 91.59, 8328388
06/28/24, 90.47, 92.375, 90.04, 91.50, 13568640
06/27/24, 89.65, 90.05, 88.30, 89.43, 5688070
06/26/24, 88.96, 90.33, 88.70, 90.05, 4596436
06/25/24, 89.61, 89.80, 88.1684, 89.15, 4615103
06/24/24, 90.83, 91.46, 89.00, 89.18, 4773750
06/21/24, 89.61, 92.03, 88.75, 91.58, 9784321
06/20/24, 92.50, 92.77, 88.36, 89.02, 8707064
06/18/24, 90.80, 93.69, 90.20, 93.45, 4951723
06/17/24, 91.40, 91.40, 89.89, 91.02, 5087319
06/14/24, 91.42, 92.51, 90.62, 91.35, 3857458
06/13/24, 91.88, 93.52, 91.76, 92.81, 3807923
06/12/24, 95.00, 96.2369, 93.23, 94.52, 5878389
06/11/24, 93.54, 93.93, 92.57, 93.53, 3535727
06/10/24, 92.16, 94.86, 91.93, 94.30, 4991149
06/07/24, 93.07, 93.79, 92.33, 92.85, 4605446
06/06/24, 93.38, 93.6782, 92.64, 93.36, 12712330
06/05/24, 94.50, 94.985, 93.72, 94.30, 16758250
06/04/24, 95.14, 95.62, 93.70, 94.00, 8083444
