Date, Open, High, Low, Close, Volume
12/31/24, 52.75, 52.94, 52.31, 52.56, 3811018
12/30/24, 52.30, 52.885, 51.85, 52.53, 3813625
12/27/24, 52.53, 52.885, 52.295, 52.55, 3231268
12/26/24, 52.31, 52.98, 52.18, 52.67, 2921250
12/24/24, 51.71, 52.63, 51.69, 52.51, 2027321
12/23/24, 51.84, 51.98, 51.29, 51.86, 3850760
12/20/24, 50.73, 51.895, 50.615, 51.72, 11411340
12/19/24, 51.30, 51.44, 50.4806, 50.90, 7188484
12/18/24, 51.69, 52.44, 51.47, 51.54, 4803024
12/17/24, 52.16, 52.70, 51.65, 51.95, 4643757
12/16/24, 52.71, 53.58, 52.096, 52.25, 4377764
12/13/24, 52.30, 52.85, 52.18, 52.76, 4695371
12/12/24, 52.35, 52.97, 52.32, 52.92, 4274394
12/11/24, 53.07, 53.52, 52.06, 52.10, 3438828
12/10/24, 52.91, 53.635, 52.34, 53.01, 4243591
12/09/24, 52.53, 53.56, 52.01, 53.21, 5994504
12/06/24, 53.32, 53.73, 52.235, 52.27, 3937407
12/05/24, 54.07, 54.07, 53.07, 53.10, 4677582
12/04/24, 54.07, 54.33, 53.64, 53.75, 4035760
12/03/24, 54.60, 54.90, 54.07, 54.19, 5378295
12/02/24, 55.37, 56.02, 54.95, 54.98, 5682863
11/29/24, 55.09, 55.50, 54.91, 55.13, 3431094
11/27/24, 54.94, 55.395, 54.84, 55.14, 3121012
11/26/24, 54.98, 55.145, 54.46, 54.83, 4411562
11/25/24, 54.63, 55.51, 54.41, 54.98, 6711999
11/22/24, 54.00, 54.40, 53.875, 54.06, 2761627
11/21/24, 53.60, 54.02, 53.00, 53.98, 4846508
11/20/24, 53.06, 53.78, 52.89, 53.70, 3833881
11/19/24, 52.955, 53.85, 52.66, 53.73, 3461045
11/18/24, 51.92, 53.52, 51.715, 53.27, 7255742
11/15/24, 55.44, 55.50, 51.98, 52.00, 10606120
11/14/24, 55.95, 56.70, 55.85, 55.96, 8941240
11/13/24, 55.61, 56.56, 55.38, 56.38, 4526871
11/12/24, 55.65, 56.39, 55.56, 56.02, 7457270
11/11/24, 54.43, 56.47, 54.40, 55.74, 7435487
11/08/24, 53.21, 55.65, 53.18, 54.14, 10426260
11/07/24, 54.50, 55.345, 54.50, 54.73, 11702670
11/06/24, 54.71, 54.99, 53.675, 54.44, 6931144
11/05/24, 53.98, 54.54, 53.76, 54.11, 4650475
11/04/24, 52.27, 54.18, 52.14, 54.06, 8702997
11/01/24, 52.50, 53.065, 52.08, 52.30, 6325111
10/31/24, 52.65, 53.18, 52.4806, 52.68, 4625426
10/30/24, 52.25, 53.1325, 52.06, 52.60, 6892139
10/29/24, 52.70, 53.5085, 52.05, 52.48, 6924235
10/28/24, 53.44, 53.63, 52.88, 53.10, 3208657
10/25/24, 53.76, 53.93, 53.29, 53.37, 3613463
10/24/24, 53.43, 53.575, 52.54, 53.44, 3872689
10/23/24, 53.47, 53.79, 53.10, 53.56, 2549423
10/22/24, 53.73, 53.84, 53.25, 53.60, 2317260
10/21/24, 54.06, 54.54, 53.70, 53.77, 4279818
10/18/24, 53.44, 54.205, 53.20, 54.05, 8917610
10/17/24, 53.70, 53.74, 53.115, 53.44, 5872608
10/16/24, 52.48, 53.645, 52.23, 53.58, 6386042
10/15/24, 51.57, 52.71, 51.36, 52.62, 7999719
10/14/24, 51.59, 51.74, 51.12, 51.68, 5564275
10/11/24, 50.82, 51.98, 50.67, 51.31, 6945656
10/10/24, 50.00, 50.80, 49.77, 50.77, 3906574
10/09/24, 49.62, 50.075, 49.37, 49.77, 3122845
10/08/24, 49.24, 49.675, 49.09, 49.49, 3526191
10/07/24, 50.63, 50.63, 48.88, 49.24, 7559117
10/04/24, 50.31, 51.01, 50.04, 50.95, 5015095
10/03/24, 50.57, 50.68, 49.985, 50.31, 4155993
10/02/24, 51.53, 51.53, 50.74, 50.94, 6588935
10/01/24, 52.17, 52.31, 51.36, 51.59, 6838735
09/30/24, 52.78, 52.94, 52.01, 52.17, 5971274
09/27/24, 52.49, 52.885, 52.29, 52.46, 4434576
09/26/24, 51.82, 52.10, 51.255, 52.01, 7817553
09/25/24, 52.57, 52.74, 51.635, 51.67, 4151330
09/24/24, 52.12, 52.785, 51.86, 52.45, 5625290
09/23/24, 51.19, 52.435, 51.00, 52.33, 5556239
09/20/24, 51.70, 51.70, 50.99, 51.18, 15195590
09/19/24, 52.71, 52.76, 51.70, 51.83, 6642671
09/18/24, 51.22, 52.51, 51.08, 52.35, 7016766
09/17/24, 50.73, 51.12, 50.38, 51.07, 7146981
09/16/24, 51.13, 51.31, 50.46, 50.75, 4106946
09/13/24, 49.97, 50.895, 49.73, 50.83, 3816007
09/12/24, 49.61, 49.96, 48.645, 49.91, 4102366
09/11/24, 50.36, 50.41, 49.17, 49.65, 5225753
09/10/24, 50.83, 50.83, 49.995, 50.33, 5372815
09/09/24, 48.66, 51.02, 48.62, 50.74, 9188021
09/06/24, 48.06, 48.85, 48.06, 48.65, 5847890
09/05/24, 48.27, 48.54, 47.77, 48.22, 3838822
09/04/24, 48.22, 48.735, 48.04, 48.38, 4784009
09/03/24, 46.94, 48.385, 46.85, 48.30, 7421510
08/30/24, 47.12, 47.20, 46.59, 47.13, 5420830
08/29/24, 47.36, 47.50, 46.91, 47.00, 6752133
08/28/24, 47.61, 47.70, 46.80, 47.05, 4447412
08/27/24, 47.28, 47.64, 47.04, 47.59, 3836856
08/26/24, 47.00, 47.68, 46.78, 47.28, 3868610
08/23/24, 46.60, 46.84, 46.40, 46.65, 4507863
08/22/24, 47.23, 47.23, 46.385, 46.48, 3309180
08/21/24, 47.01, 47.23, 46.62, 47.01, 5239227
08/20/24, 46.92, 47.12, 46.195, 46.71, 7071063
08/19/24, 46.79, 46.94, 46.34, 46.60, 5206308
