Date, Open, High, Low, Close, Volume
12/31/24, 901.80, 902.68, 889.47, 891.32, 1875897
12/30/24, 894.51, 908.2299, 889.71, 900.43, 2202970
12/27/24, 916.01, 918.13, 894.50, 907.55, 3226158
12/26/24, 928.40, 930.49, 915.30, 924.14, 2342418
12/24/24, 915.00, 935.85, 911.70, 932.12, 2320293
12/23/24, 913.42, 915.00, 899.1001, 911.45, 2339375
12/20/24, 893.21, 919.9238, 890.4872, 909.05, 4530519
12/19/24, 908.18, 912.6215, 899.00, 902.04, 2815512
12/18/24, 919.13, 922.44, 886.56, 889.55, 2938194
12/17/24, 921.54, 928.45, 916.42, 919.13, 2459456
12/16/24, 923.94, 928.94, 919.50, 921.08, 2674892
12/13/24, 916.81, 925.55, 909.61, 918.87, 2485829
12/12/24, 933.35, 934.0886, 922.60, 925.55, 2486197
12/11/24, 924.71, 941.75, 923.08, 936.56, 3501691
12/10/24, 913.76, 922.88, 909.58, 913.35, 2388575
12/09/24, 928.00, 930.2999, 902.59, 913.69, 3350082
12/06/24, 915.23, 935.27, 912.71, 934.74, 2955383
12/05/24, 917.85, 927.00, 911.1075, 917.87, 2835307
12/04/24, 898.05, 915.9699, 898.05, 911.06, 2689629
12/03/24, 894.36, 902.69, 888.025, 902.17, 2401634
12/02/24, 887.51, 902.34, 884.12, 897.74, 2388966
11/29/24, 882.17, 892.41, 876.68, 886.81, 2027237
11/27/24, 872.06, 880.95, 858.91, 877.34, 2578222
11/26/24, 867.49, 886.36, 867.2501, 872.60, 3138259
11/25/24, 902.05, 902.05, 864.22, 865.59, 6014203
11/22/24, 896.00, 906.00, 893.00, 897.79, 3214020
11/21/24, 883.93, 908.00, 877.24, 897.48, 4511263
11/20/24, 879.98, 890.60, 868.40, 883.85, 4093843
11/19/24, 839.75, 874.49, 839.16, 871.32, 3814227
11/18/24, 815.50, 848.45, 809.3301, 847.05, 4084081
11/15/24, 832.04, 832.04, 816.49, 823.96, 3673720
11/14/24, 833.67, 840.9997, 830.02, 837.26, 3038231
11/13/24, 822.615, 836.9899, 820.5368, 830.47, 2767772
11/12/24, 807.50, 820.3697, 803.75, 819.50, 2814064
11/11/24, 795.90, 806.823, 795.565, 805.44, 2399150
11/08/24, 797.36, 799.06, 788.65, 795.04, 1910626
11/07/24, 781.37, 798.22, 779.94, 796.54, 3295074
11/06/24, 771.50, 781.49, 757.38, 780.21, 3690817
11/05/24, 757.35, 767.5299, 756.27, 763.91, 2200645
11/04/24, 753.14, 762.48, 749.69, 755.51, 1902194
11/01/24, 753.48, 763.7999, 747.77, 756.10, 2996829
10/31/24, 753.93, 760.7899, 752.23, 756.03, 3057709
10/30/24, 758.08, 759.79, 752.2775, 753.74, 1722002
10/29/24, 751.13, 763.88, 748.01, 759.44, 3660433
10/28/24, 758.68, 758.68, 747.88, 749.12, 2862405
10/25/24, 756.17, 768.50, 753.53, 754.68, 2819473
10/24/24, 751.97, 755.82, 746.25, 754.55, 2642962
10/23/24, 762.83, 763.7899, 744.26, 749.29, 3749007
10/22/24, 765.27, 769.70, 761.12, 764.24, 2987252
10/21/24, 765.76, 773.00, 756.60, 772.07, 6057093
10/18/24, 737.64, 766.281, 736.23, 763.89, 15974120
10/17/24, 704.35, 704.4124, 677.88, 687.65, 8926672
10/16/24, 703.43, 705.59, 697.82, 702.00, 2494276
10/15/24, 712.51, 713.40, 699.7806, 705.98, 2932752
10/14/24, 725.00, 726.6196, 711.3109, 713.00, 2797071
10/11/24, 734.90, 736.00, 721.22, 722.79, 2299525
10/10/24, 723.29, 733.85, 722.50, 730.29, 2767862
10/09/24, 719.25, 728.59, 718.87, 727.43, 1981070
10/08/24, 703.88, 725.06, 703.5457, 721.76, 3187402
10/07/24, 714.755, 715.88, 696.43, 701.92, 3360520
10/04/24, 713.32, 721.01, 708.82, 719.70, 2230139
10/03/24, 704.26, 708.81, 700.00, 706.80, 2256449
10/02/24, 706.13, 716.21, 704.6878, 711.09, 1758167
10/01/24, 713.64, 717.76, 698.59, 706.13, 2813482
09/30/24, 707.00, 711.21, 702.8192, 709.27, 1711508
09/27/24, 708.36, 710.71, 701.2509, 707.35, 2395613
09/26/24, 724.73, 725.26, 701.72, 711.43, 2832962
09/25/24, 721.00, 725.12, 716.21, 721.56, 2259775
09/24/24, 706.625, 722.44, 704.45, 722.26, 3565731
09/23/24, 702.39, 712.2499, 699.16, 705.37, 3224344
09/20/24, 705.55, 706.6732, 696.31, 701.03, 3998062
09/19/24, 705.00, 715.66, 695.37, 704.32, 4228480
09/18/24, 707.55, 707.55, 688.00, 690.47, 2984411
09/17/24, 700.82, 707.63, 698.37, 706.91, 2298630
09/16/24, 700.00, 703.02, 688.6316, 696.50, 1843745
09/13/24, 680.01, 699.64, 680.00, 697.06, 2276482
09/12/24, 684.92, 694.88, 682.20, 686.80, 2588437
09/11/24, 677.46, 682.97, 660.80, 681.47, 2391924
09/10/24, 676.87, 680.5899, 665.805, 673.62, 2079182
09/09/24, 674.00, 683.50, 672.14, 675.42, 2683111
09/06/24, 681.86, 683.1518, 662.34, 665.77, 2991265
09/05/24, 673.14, 687.31, 671.86, 683.62, 1810072
09/04/24, 673.31, 684.65, 673.06, 679.68, 1785337
09/03/24, 700.10, 703.86, 671.01, 675.32, 3158690
08/30/24, 700.36, 701.86, 688.16, 701.35, 3266723
08/29/24, 690.00, 699.80, 686.07, 692.48, 2186974
08/28/24, 695.83, 696.67, 677.10, 683.84, 2430583
08/27/24, 688.53, 707.89, 686.92, 695.72, 3164878
08/26/24, 687.26, 690.59, 681.6376, 688.44, 1354154
08/23/24, 694.13, 696.07, 678.63, 686.73, 2354450
08/22/24, 691.00, 701.50, 686.24, 688.96, 2729389
08/21/24, 697.00, 701.00, 691.38, 697.12, 2235343
08/20/24, 688.86, 711.33, 688.245, 698.54, 4813118
08/19/24, 674.07, 688.84, 672.91, 688.53, 3016227
08/16/24, 669.43, 680.23, 665.36, 674.07, 3511014
08/15/24, 668.49, 673.19, 659.80, 663.22, 3210173
08/14/24, 648.70, 663.57, 648.70, 661.68, 4014344
08/13/24, 638.56, 650.97, 635.50, 648.02, 2639571
08/12/24, 631.00, 639.00, 627.07, 633.14, 2331712
08/09/24, 622.99, 636.62, 622.99, 633.94, 1980836
08/08/24, 621.99, 632.29, 616.02, 630.35, 3283542
08/07/24, 616.065, 632.00, 610.64, 611.48, 3187791
08/06/24, 600.62, 622.45, 600.62, 609.57, 4319057
08/05/24, 587.04, 604.5627, 587.04, 598.55, 4044235
08/02/24, 620.98, 625.27, 608.35, 613.64, 3523003
08/01/24, 629.25, 646.7099, 617.61, 624.85, 3720573
07/31/24, 626.57, 633.5999, 622.58, 628.35, 3134877
07/30/24, 630.17, 634.69, 617.0001, 622.58, 3496609
07/29/24, 634.61, 634.61, 623.93, 626.96, 2400537
07/26/24, 645.00, 646.9899, 629.77, 631.37, 3120659
07/25/24, 641.00, 649.98, 621.7001, 634.09, 4554539
07/24/24, 635.74, 652.42, 632.6744, 635.99, 4888163
07/23/24, 647.50, 649.91, 641.0001, 642.76, 2463579
07/22/24, 639.50, 656.29, 632.60, 647.50, 5219077
07/19/24, 660.64, 678.97, 629.1201, 633.34, 9815631
07/18/24, 656.60, 657.0395, 639.165, 643.04, 7575763
07/17/24, 650.00, 650.45, 639.47, 647.46, 4017277
07/16/24, 661.80, 663.675, 649.13, 656.32, 2685706
07/15/24, 647.50, 667.54, 646.63, 656.45, 3208763
07/12/24, 652.75, 655.92, 643.7075, 647.60, 3355197
07/11/24, 672.485, 672.485, 647.44, 652.75, 5111928
07/10/24, 685.02, 687.22, 673.16, 677.65, 2651928
07/09/24, 690.00, 695.27, 684.72, 685.74, 2599474
07/08/24, 687.00, 688.86, 681.485, 685.74, 1930786
07/05/24, 682.51, 697.49, 677.23, 690.65, 2659065
07/03/24, 677.48, 683.7499, 675.50, 682.51, 1403545
07/02/24, 673.54, 681.74, 670.07, 679.58, 2411426
07/01/24, 674.89, 675.02, 663.78, 673.61, 2212826
06/28/24, 679.00, 687.00, 673.08, 674.88, 3412391
06/27/24, 679.35, 688.57, 678.14, 684.34, 2404849
06/26/24, 672.41, 682.96, 670.02, 677.69, 3545815
06/25/24, 673.44, 673.665, 662.30, 672.41, 2278768
06/24/24, 685.00, 685.50, 664.50, 669.02, 3916335
06/21/24, 683.26, 686.90, 678.10, 686.12, 4557086
06/20/24, 681.80, 689.88, 673.7203, 679.03, 2585089
06/18/24, 675.63, 687.06, 674.64, 685.67, 2943775
06/17/24, 669.11, 682.7099, 665.1101, 675.83, 3631184
06/14/24, 655.05, 675.58, 652.64, 669.38, 4447116
06/13/24, 644.00, 655.25, 642.35, 653.26, 1863587
06/12/24, 652.21, 655.78, 643.11, 650.06, 2094381
06/11/24, 640.72, 650.19, 640.52, 648.55, 2167417
06/10/24, 641.01, 644.79, 635.59, 644.50, 2066759
06/07/24, 649.38, 650.40, 640.2401, 641.47, 1876631
06/06/24, 644.89, 657.99, 644.2368, 648.52, 2466664
06/05/24, 634.02, 651.25, 628.25, 650.27, 2682614
06/04/24, 633.78, 635.2299, 626.44, 631.62, 3008151
06/03/24, 645.215, 646.78, 627.27, 633.79, 2323506
05/31/24, 644.01, 648.58, 628.30, 641.62, 4071023
05/30/24, 653.52, 656.4899, 644.73, 647.66, 2393354
05/29/24, 644.13, 664.25, 643.89, 654.62, 3695935
05/28/24, 647.05, 649.75, 643.03, 649.00, 2609451
05/24/24, 639.40, 652.00, 637.60, 646.75, 2615260
05/23/24, 642.34, 642.71, 630.00, 635.67, 2313939
05/22/24, 647.14, 649.25, 638.12, 640.47, 2176174
05/21/24, 636.76, 650.88, 634.22, 650.61, 2920155
05/20/24, 620.40, 644.37, 619.52, 640.82, 3857853
05/17/24, 617.00, 625.79, 614.7141, 621.10, 3782708
05/16/24, 615.75, 618.34, 609.09, 610.52, 3056350
05/15/24, 618.57, 624.10, 609.10, 613.52, 5670607
05/14/24, 615.17, 621.48, 608.40, 613.66, 2792358
05/13/24, 614.30, 618.219, 606.83, 616.59, 2086197
05/10/24, 619.00, 623.98, 605.06, 610.87, 2653586
05/09/24, 614.40, 615.72, 605.75, 612.09, 2065375
05/08/24, 601.63, 618.22, 601.63, 609.47, 3093904
05/07/24, 596.28, 606.05, 591.32, 606.00, 3614092
