Date, Open, High, Low, Close, Volume
12/31/24, 117.04, 117.57, 114.66, 116.08, 1378127
12/30/24, 115.13, 116.83, 114.53, 116.49, 2225429
12/27/24, 117.07, 117.75, 115.63, 116.96, 995029
12/26/24, 118.50, 119.245, 117.44, 118.35, 733840
12/24/24, 118.00, 118.86, 117.55, 118.84, 441295
12/23/24, 118.26, 118.70, 117.04, 118.08, 1456951
12/20/24, 115.94, 119.82, 115.10, 118.45, 3813574
12/19/24, 118.00, 119.49, 116.23, 116.58, 1620706
12/18/24, 122.90, 123.545, 117.94, 118.34, 1873759
12/17/24, 124.97, 125.36, 121.82, 122.49, 1608840
12/16/24, 124.84, 127.20, 122.68, 126.10, 2130971
12/13/24, 123.74, 124.33, 121.52, 121.95, 885923
12/12/24, 122.11, 124.29, 121.81, 123.51, 1207553
12/11/24, 122.31, 124.96, 121.32, 122.66, 2043962
12/10/24, 127.41, 128.53, 120.62, 121.22, 2393142
12/09/24, 130.98, 131.00, 127.45, 127.60, 1656817
12/06/24, 128.86, 131.30, 128.78, 131.11, 2100372
12/05/24, 129.00, 130.24, 128.505, 128.79, 1864256
12/04/24, 126.20, 129.75, 125.001, 129.05, 2445635
12/03/24, 123.48, 124.86, 122.09, 124.67, 1764762
12/02/24, 122.33, 123.98, 121.9085, 123.29, 1799189
11/29/24, 122.94, 124.20, 122.58, 122.64, 935179
11/27/24, 128.92, 129.08, 122.12, 122.43, 1779587
11/26/24, 126.41, 129.96, 126.35, 129.60, 2670103
11/25/24, 123.70, 126.30, 123.20, 126.18, 4724714
11/22/24, 135.10, 135.4462, 120.61, 122.34, 5663687
11/21/24, 125.00, 128.04, 123.56, 126.68, 4469427
11/20/24, 122.40, 123.52, 121.265, 123.45, 2421633
11/19/24, 118.76, 122.29, 118.70, 122.20, 2545308
11/18/24, 117.44, 119.86, 117.09, 119.34, 1651910
11/15/24, 116.80, 118.24, 116.68, 117.21, 1973045
11/14/24, 116.99, 119.105, 116.07, 118.07, 1466748
11/13/24, 120.51, 122.025, 119.51, 119.68, 1422933
11/12/24, 121.36, 122.55, 120.38, 120.92, 1369366
11/11/24, 123.63, 124.29, 121.62, 121.93, 1040519
11/08/24, 123.00, 125.015, 123.00, 124.01, 1367649
11/07/24, 121.50, 123.06, 120.5343, 122.83, 1619470
