Date, Open, High, Low, Close, Volume
12/31/24, 167.20, 167.30, 165.84, 166.64, 4307524
12/30/24, 166.51, 167.91, 164.55, 166.91, 5254833
12/27/24, 170.38, 171.15, 167.20, 168.96, 4344287
12/26/24, 170.50, 172.55, 170.50, 171.68, 4103882
12/24/24, 169.70, 171.77, 169.03, 171.41, 2451547
12/23/24, 169.59, 169.62, 167.1683, 169.14, 6518229
12/20/24, 167.73, 171.26, 165.63, 169.66, 13810530
12/19/24, 167.55, 171.00, 167.40, 168.79, 8386394
12/18/24, 169.41, 171.23, 165.36, 165.41, 8817934
12/17/24, 170.75, 172.99, 169.27, 169.71, 8940204
12/16/24, 173.84, 174.27, 170.93, 171.23, 9571955
12/13/24, 175.00, 176.14, 171.64, 173.39, 8351106
12/12/24, 178.00, 178.1699, 174.81, 175.32, 8154218
12/11/24, 178.00, 181.38, 174.8301, 178.58, 13188710
12/10/24, 173.46, 177.80, 171.0592, 177.74, 26502020
12/09/24, 196.30, 198.3099, 188.93, 190.45, 20157961
12/06/24, 187.00, 192.63, 186.38, 191.69, 10503380
12/05/24, 189.02, 189.02, 185.85, 186.24, 6398073
12/04/24, 188.00, 189.79, 185.90, 188.19, 8906283
12/03/24, 181.18, 183.04, 179.11, 182.89, 8917062
12/02/24, 185.29, 185.29, 181.00, 181.41, 8859696
11/29/24, 184.01, 185.93, 184.00, 184.84, 4628044
11/27/24, 188.955, 188.955, 182.22, 182.70, 8368797
11/26/24, 188.32, 192.40, 188.32, 190.37, 6427210
11/25/24, 194.50, 194.75, 187.99, 187.99, 15138470
11/22/24, 193.00, 194.20, 191.06, 192.29, 6879447
11/21/24, 191.94, 196.04, 191.6401, 192.43, 11394260
11/20/24, 190.90, 190.97, 187.82, 190.75, 4860222
11/19/24, 184.89, 189.32, 184.32, 188.90, 8116958
11/18/24, 184.30, 186.18, 182.88, 185.73, 6291406
11/15/24, 184.52, 185.80, 182.33, 183.74, 8986276
11/14/24, 188.66, 189.59, 186.71, 187.05, 7804318
11/13/24, 189.00, 191.77, 188.7895, 189.63, 5695426
11/12/24, 188.54, 190.61, 187.20, 189.58, 6629891
11/11/24, 191.05, 191.50, 187.84, 189.13, 5973638
11/08/24, 186.26, 190.16, 186.26, 189.25, 8520419
11/07/24, 181.08, 186.67, 180.54, 186.37, 7759399
11/06/24, 178.52, 182.10, 177.4153, 181.24, 11084990
11/05/24, 170.47, 171.89, 170.32, 171.78, 5456754
11/04/24, 170.31, 170.48, 168.73, 169.59, 4804405
11/01/24, 170.15, 172.27, 169.10, 170.02, 5680595
10/31/24, 170.52, 170.88, 167.3975, 167.84, 9477476
10/30/24, 173.98, 176.16, 172.79, 174.56, 5822451
10/29/24, 172.29, 174.0231, 172.29, 173.43, 4122913
10/28/24, 174.045, 174.17, 172.135, 172.42, 4329971
10/25/24, 174.78, 176.29, 173.10, 173.52, 3674717
10/24/24, 173.315, 174.9542, 172.91, 174.38, 3488036
10/23/24, 174.50, 176.07, 173.01, 173.10, 4830414
10/22/24, 175.45, 175.85, 174.28, 175.31, 5510114
10/21/24, 174.45, 175.15, 173.16, 173.76, 4198362
10/18/24, 176.80, 176.97, 174.58, 174.69, 5001257
10/17/24, 177.50, 177.75, 175.14, 175.68, 5473951
10/16/24, 173.50, 174.912, 171.64, 174.77, 6383034
10/15/24, 176.94, 178.2199, 173.75, 174.09, 5848630
10/14/24, 176.55, 177.22, 175.50, 176.12, 4688662
10/11/24, 175.495, 177.00, 174.40, 175.77, 5869413
10/10/24, 177.65, 178.30, 174.1801, 175.41, 7115887
10/09/24, 174.56, 178.61, 173.81, 178.29, 8120894
10/08/24, 170.60, 174.64, 170.442, 174.37, 7845377
10/07/24, 170.42, 172.33, 169.55, 169.97, 6790956
10/04/24, 168.71, 170.90, 168.165, 170.86, 6389504
10/03/24, 166.89, 167.86, 166.24, 166.86, 4735708
10/02/24, 167.60, 169.18, 167.27, 167.71, 7073025
10/01/24, 170.22, 170.51, 165.97, 167.16, 7595053
09/30/24, 169.50, 170.52, 166.45, 170.40, 10218970
09/27/24, 168.09, 169.1098, 166.51, 168.74, 8974377
09/26/24, 167.65, 168.36, 166.48, 168.10, 7096842
09/25/24, 167.69, 168.75, 165.66, 166.28, 7142437
09/24/24, 165.74, 166.10, 163.92, 165.80, 6155076
09/23/24, 167.225, 167.33, 164.26, 165.95, 7916081
09/20/24, 167.13, 168.83, 166.60, 168.00, 12187740
09/19/24, 167.25, 168.16, 164.51, 167.59, 10075880
09/18/24, 167.62, 167.62, 163.73, 164.53, 12274410
09/17/24, 170.28, 170.64, 166.77, 167.47, 12580110
09/16/24, 164.99, 173.99, 164.51, 170.33, 27384369
09/13/24, 173.70, 173.935, 161.00, 162.03, 25727811
09/12/24, 159.04, 162.34, 157.90, 161.38, 16352050
09/11/24, 156.78, 159.44, 154.8401, 157.18, 12630120
09/10/24, 154.23, 160.52, 153.12, 155.89, 37374207
09/09/24, 142.49, 143.30, 139.51, 139.89, 20233430
09/06/24, 143.79, 143.94, 139.40, 141.81, 11154800
09/05/24, 141.40, 143.28, 140.305, 142.61, 8733246
09/04/24, 138.44, 141.1009, 137.95, 140.75, 6243325
09/03/24, 140.45, 142.20, 138.83, 139.50, 6830380
08/30/24, 140.33, 141.72, 140.095, 141.29, 7980679
08/29/24, 139.14, 141.16, 138.85, 139.42, 4588361
08/28/24, 138.83, 138.95, 136.91, 137.88, 3022639
08/27/24, 137.85, 139.50, 137.74, 138.48, 3872342
08/26/24, 139.39, 139.40, 138.19, 138.90, 2729605
08/23/24, 138.73, 139.79, 137.26, 139.19, 4544571
08/22/24, 140.70, 141.08, 137.65, 138.08, 5162189
08/21/24, 138.80, 140.30, 138.55, 140.20, 3776768
08/20/24, 137.82, 139.79, 137.82, 139.17, 3738261
08/19/24, 137.53, 137.95, 136.455, 137.92, 3641585
08/16/24, 136.79, 137.82, 136.39, 137.47, 4893787
08/15/24, 136.93, 137.25, 135.72, 136.93, 4698128
08/14/24, 134.04, 135.97, 134.01, 135.60, 4044630
08/13/24, 132.97, 134.54, 132.81, 134.26, 4324038
08/12/24, 132.25, 132.71, 131.21, 132.58, 5600826
08/09/24, 128.40, 132.37, 128.34, 132.06, 5597278
08/08/24, 128.00, 129.82, 127.65, 128.96, 6243219
08/07/24, 128.92, 130.30, 125.75, 125.90, 8617652
08/06/24, 130.54, 131.0375, 128.08, 128.21, 8373891
