Date, Open, High, Low, Close, Volume
12/31/24, 20.14, 20.2799, 20.02, 20.18, 15957920
12/30/24, 20.07, 20.165, 19.95, 20.13, 9078270
12/27/24, 20.10, 20.27, 20.01, 20.14, 10354220
12/26/24, 20.17, 20.22, 20.045, 20.21, 4470070
12/24/24, 19.93, 20.22, 19.89, 20.22, 4614466
12/23/24, 19.78, 20.005, 19.59, 19.99, 14179220
12/20/24, 19.41, 19.90, 19.36, 19.82, 33683609
12/19/24, 19.35, 19.71, 19.29, 19.42, 17671211
12/18/24, 19.67, 19.77, 19.19, 19.20, 10701770
12/17/24, 19.65, 19.89, 19.39, 19.71, 14220200
12/16/24, 19.77, 19.90, 19.59, 19.60, 9303225
12/13/24, 19.86, 19.94, 19.705, 19.75, 11466930
12/12/24, 19.88, 19.95, 19.69, 19.92, 13677210
12/11/24, 19.96, 20.03, 19.67, 19.81, 11210450
12/10/24, 20.19, 20.195, 19.79, 19.88, 15092540
12/09/24, 20.20, 20.43, 20.06, 20.21, 14476320
12/06/24, 20.50, 20.63, 20.09, 20.33, 18683061
12/05/24, 20.72, 20.805, 20.25, 20.39, 22751840
12/04/24, 20.89, 21.00, 20.42, 20.52, 36348770
12/03/24, 20.95, 21.20, 20.74, 20.85, 75175586
12/02/24, 20.70, 20.86, 20.085, 20.55, 53349801
11/29/24, 21.62, 21.72, 21.57, 21.63, 5207803
11/27/24, 21.55, 21.72, 21.47, 21.63, 8786392
11/26/24, 21.29, 21.56, 21.18, 21.51, 11835700
11/25/24, 21.43, 21.50, 21.035, 21.19, 18307930
11/22/24, 21.33, 21.45, 21.16, 21.37, 12130800
11/21/24, 21.17, 21.365, 21.025, 21.23, 21879240
11/20/24, 20.97, 21.29, 20.96, 21.10, 11603920
11/19/24, 20.95, 21.13, 20.90, 21.00, 15400800
11/18/24, 20.94, 21.19, 20.8948, 21.04, 12480060
11/15/24, 20.86, 21.12, 20.825, 21.04, 21825311
11/14/24, 21.24, 21.375, 20.88, 20.99, 10097490
11/13/24, 21.26, 21.51, 21.13, 21.28, 15355150
11/12/24, 21.09, 21.30, 21.025, 21.19, 10098230
11/11/24, 20.64, 21.15, 20.58, 21.09, 11791590
11/08/24, 20.34, 20.71, 20.21, 20.60, 15107800
11/07/24, 20.33, 20.53, 19.90, 20.36, 14359130
11/06/24, 20.27, 20.47, 20.1025, 20.25, 18255270
11/05/24, 19.98, 20.27, 19.79, 20.24, 7844705
11/04/24, 20.04, 20.18, 19.81, 19.95, 8378549
11/01/24, 20.22, 20.38, 19.99, 20.04, 10117830
10/31/24, 20.15, 20.43, 20.14, 20.22, 11326050
10/30/24, 20.17, 20.32, 20.14, 20.19, 7558589
10/29/24, 20.40, 20.43, 20.06, 20.12, 6493336
10/28/24, 20.44, 20.60, 20.40, 20.51, 5623756
10/25/24, 20.93, 20.93, 20.33, 20.36, 7312496
10/24/24, 20.64, 20.81, 20.52, 20.68, 9237809
10/23/24, 20.49, 20.595, 20.325, 20.58, 8298575
10/22/24, 20.26, 20.67, 20.242, 20.57, 7721308
10/21/24, 20.48, 20.65, 20.28, 20.35, 9272591
10/18/24, 20.34, 20.39, 20.17, 20.38, 6607341
10/17/24, 20.59, 20.608, 20.16, 20.28, 9374998
10/16/24, 20.40, 20.54, 20.18, 20.51, 9738948
10/15/24, 20.39, 20.549, 20.21, 20.41, 12975840
10/14/24, 19.82, 20.31, 19.76, 20.24, 11335190
10/11/24, 19.55, 19.71, 19.52, 19.63, 5997103
10/10/24, 19.61, 19.775, 19.45, 19.55, 7049704
10/09/24, 19.665, 19.69, 19.535, 19.56, 14885550
10/08/24, 19.83, 19.83, 19.595, 19.65, 6727606
10/07/24, 19.60, 19.92, 19.60, 19.71, 14538580
10/04/24, 19.35, 19.74, 19.31, 19.71, 11552210
10/03/24, 19.98, 19.99, 19.44, 19.49, 11368030
10/02/24, 19.67, 19.95, 19.67, 19.91, 13532900
10/01/24, 19.77, 19.90, 19.685, 19.83, 7113897
09/30/24, 19.92, 19.93, 19.65, 19.77, 10093110
09/27/24, 19.84, 19.885, 19.72, 19.82, 5893438
09/26/24, 19.86, 19.945, 19.67, 19.76, 6974464
09/25/24, 19.91, 19.955, 19.73, 19.89, 11508950
09/24/24, 19.82, 20.125, 19.80, 19.82, 23404510
09/23/24, 20.09, 20.15, 19.92, 20.03, 25171119
09/20/24, 19.71, 20.115, 19.66, 20.08, 34966406
09/19/24, 19.45, 19.735, 19.42, 19.60, 25062039
09/18/24, 19.89, 19.89, 19.38, 19.51, 23421260
09/17/24, 20.05, 20.0699, 19.84, 19.86, 8152968
09/16/24, 19.90, 20.17, 19.77, 20.01, 12212000
09/13/24, 19.70, 19.82, 19.615, 19.77, 14901300
09/12/24, 19.76, 19.825, 19.615, 19.67, 20863660
09/11/24, 19.65, 19.70, 19.39, 19.65, 11584000
09/10/24, 19.85, 20.03, 19.26, 19.65, 23546039
09/09/24, 20.06, 20.12, 19.62, 19.81, 20795359
09/06/24, 20.62, 20.64, 20.07, 20.08, 22665109
09/05/24, 20.64, 20.645, 20.40, 20.60, 19309570
09/04/24, 20.00, 20.53, 19.95, 20.43, 25541301
09/03/24, 19.70, 20.055, 19.645, 19.94, 13670100
08/30/24, 19.63, 19.735, 19.49, 19.70, 16696039
08/29/24, 18.98, 19.845, 18.96, 19.60, 28288301
08/28/24, 18.93, 19.02, 18.85, 18.92, 6331016
08/27/24, 18.97, 19.08, 18.85, 18.90, 7162089
08/26/24, 18.87, 19.11, 18.83, 19.04, 12367740
08/23/24, 18.75, 18.85, 18.64, 18.80, 13276740
08/22/24, 18.72, 18.735, 18.50, 18.64, 15705280
08/21/24, 18.64, 18.68, 18.56, 18.68, 6555364
08/20/24, 18.62, 18.75, 18.595, 18.63, 9761867
08/19/24, 18.47, 18.60, 18.39, 18.57, 8185562
08/16/24, 18.50, 18.51, 18.39, 18.41, 11230390
08/15/24, 18.30, 18.49, 18.27, 18.41, 9726853
08/14/24, 18.29, 18.485, 18.235, 18.39, 8690302
08/13/24, 18.32, 18.355, 18.23, 18.32, 7892517
08/12/24, 18.21, 18.245, 18.065, 18.23, 9293989
08/09/24, 18.15, 18.23, 18.01, 18.20, 9848274
08/08/24, 18.01, 18.29, 17.96, 18.12, 13086680
08/07/24, 17.95, 18.14, 17.86, 18.04, 7722474
08/06/24, 17.79, 18.055, 17.79, 17.81, 9274588
08/05/24, 18.41, 18.49, 17.77, 17.81, 18526119
08/02/24, 18.54, 18.61, 18.2234, 18.41, 10287390
08/01/24, 18.34, 18.53, 18.26, 18.44, 12996440
07/31/24, 18.36, 18.425, 18.23, 18.25, 12037570
07/30/24, 18.30, 18.42, 18.245, 18.33, 9809473
07/29/24, 18.13, 18.42, 18.024, 18.28, 11959250
07/26/24, 18.13, 18.21, 18.00, 18.03, 10979020
07/25/24, 18.26, 18.43, 17.97, 18.02, 20294160
07/24/24, 18.34, 18.40, 18.22, 18.25, 10874800
07/23/24, 18.21, 18.25, 18.02, 18.16, 5744956
07/22/24, 18.09, 18.29, 18.065, 18.25, 8842538
07/19/24, 17.95, 18.04, 17.80, 18.00, 9903249
07/18/24, 17.87, 18.0652, 17.825, 17.85, 8012349
07/17/24, 17.79, 18.035, 17.765, 17.94, 15197420
07/16/24, 17.76, 17.79, 17.67, 17.72, 10403000
07/15/24, 18.00, 18.012, 17.67, 17.67, 11617860
07/12/24, 18.01, 18.195, 17.955, 18.12, 14169940
07/11/24, 17.74, 18.02, 17.72, 17.96, 11066480
07/10/24, 17.45, 17.66, 17.38, 17.64, 10832640
07/09/24, 17.19, 17.5399, 17.16, 17.34, 17886010
07/08/24, 17.21, 17.36, 17.14, 17.18, 9715882
07/05/24, 17.19, 17.36, 17.07, 17.23, 10353580
07/03/24, 17.16, 17.34, 17.08, 17.22, 7981804
07/02/24, 17.20, 17.275, 17.05, 17.08, 18655881
07/01/24, 17.58, 17.60, 17.08, 17.17, 12537490
06/28/24, 17.51, 17.545, 17.35, 17.46, 24117641
06/27/24, 17.58, 17.58, 17.47, 17.48, 11507040
06/26/24, 17.53, 17.61, 17.426, 17.58, 11333970
06/25/24, 17.69, 17.76, 17.44, 17.60, 14956170
06/24/24, 17.63, 17.855, 17.545, 17.71, 19466840
06/21/24, 17.90, 17.95, 17.56, 17.66, 22376801
06/20/24, 17.76, 17.86, 17.65, 17.83, 17555449
06/18/24, 17.72, 17.85, 17.62, 17.78, 19295641
06/17/24, 18.06, 18.145, 17.77, 17.78, 11231010
06/14/24, 18.30, 18.34, 18.17, 18.25, 7704734
06/13/24, 18.16, 18.425, 18.125, 18.37, 15297440
06/12/24, 18.48, 18.48, 18.02, 18.14, 8831044
06/11/24, 18.25, 18.43, 18.2095, 18.31, 13598980
06/10/24, 18.30, 18.485, 18.16, 18.44, 19469811
06/07/24, 18.08, 18.22, 18.04, 18.05, 7802134
06/06/24, 18.22, 18.40, 18.16, 18.21, 9549870
06/05/24, 18.26, 18.37, 18.21, 18.22, 9094921
06/04/24, 18.13, 18.40, 18.11, 18.32, 9108061
06/03/24, 18.53, 18.55, 18.20, 18.24, 12104220
05/31/24, 18.34, 18.57, 18.29, 18.54, 21054840
05/30/24, 18.17, 18.32, 18.15, 18.28, 11405020
05/29/24, 18.10, 18.18, 17.945, 18.10, 10094720
05/28/24, 18.39, 18.51, 18.22, 18.22, 9767107
05/24/24, 18.41, 18.605, 18.40, 18.46, 11188930
05/23/24, 18.65, 18.68, 18.37, 18.38, 14046320
05/22/24, 18.85, 18.95, 18.71, 18.73, 13487340
05/21/24, 18.65, 18.92, 18.63, 18.92, 14313440
05/20/24, 18.60, 18.88, 18.60, 18.65, 12102300
05/17/24, 18.59, 18.60, 18.4701, 18.60, 12617250
05/16/24, 18.35, 18.62, 18.35, 18.45, 14945250
05/15/24, 18.14, 18.31, 18.115, 18.31, 14453520
05/14/24, 17.97, 18.04, 17.82, 18.01, 17826330
05/13/24, 17.88, 17.98, 17.74, 17.87, 13072970
05/10/24, 18.00, 18.07, 17.78, 17.83, 12582300
05/09/24, 17.74, 18.00, 17.74, 17.90, 12257540
05/08/24, 17.74, 17.92, 17.68, 17.84, 11404430
05/07/24, 17.76, 17.765, 17.60, 17.73, 9963604
05/06/24, 17.67, 17.74, 17.51, 17.67, 11972580
05/03/24, 17.74, 17.85, 17.425, 17.57, 12813180
05/02/24, 17.40, 17.65, 17.29, 17.53, 9537217
05/01/24, 17.11, 17.49, 17.10, 17.41, 15263270
04/30/24, 17.13, 17.24, 16.995, 17.11, 10620120
04/29/24, 17.10, 17.265, 17.10, 17.26, 10715080
