Date, Open, High, Low, Close, Volume
12/31/24, 109.77, 110.69, 109.40, 110.12, 574161
12/30/24, 110.26, 110.50, 109.00, 109.88, 775937
12/27/24, 110.12, 111.64, 110.12, 110.62, 513727
12/26/24, 111.00, 112.02, 110.64, 110.92, 705203
12/24/24, 110.96, 111.82, 110.26, 111.53, 370643
12/23/24, 109.33, 111.38, 109.33, 111.20, 1066806
12/20/24, 108.55, 110.53, 108.55, 109.89, 1989452
12/19/24, 109.47, 110.616, 108.56, 108.97, 1111377
12/18/24, 112.97, 113.607, 110.15, 110.23, 1212750
12/17/24, 112.00, 115.01, 111.83, 114.56, 1517029
12/16/24, 113.54, 114.75, 112.77, 112.78, 1773900
12/13/24, 114.02, 114.57, 113.175, 113.53, 1083608
12/12/24, 113.57, 114.655, 112.765, 113.52, 1260572
12/11/24, 114.58, 115.09, 113.20, 113.25, 1449072
12/10/24, 118.33, 118.33, 114.815, 115.00, 1193591
12/09/24, 116.45, 119.49, 116.45, 117.83, 1428029
12/06/24, 116.80, 117.18, 116.21, 116.46, 1103569
12/05/24, 115.25, 116.8443, 115.25, 116.67, 853353
12/04/24, 116.50, 117.46, 113.90, 115.44, 1439291
12/03/24, 119.61, 119.64, 116.84, 117.29, 1279521
12/02/24, 117.91, 120.48, 117.33, 119.58, 1364556
11/29/24, 118.03, 118.65, 117.62, 117.79, 1000903
11/27/24, 120.30, 120.76, 117.68, 118.00, 1710750
11/26/24, 120.00, 125.415, 118.56, 120.09, 3914188
11/25/24, 114.21, 114.825, 112.88, 113.62, 3044289
11/22/24, 113.95, 114.53, 112.77, 113.30, 1263063
11/21/24, 112.06, 113.95, 110.85, 113.89, 1050199
11/20/24, 111.81, 113.275, 111.34, 112.08, 888332
11/19/24, 110.60, 112.41, 109.785, 111.91, 1092134
11/18/24, 107.22, 110.85, 107.22, 110.47, 1572439
11/15/24, 109.53, 109.865, 106.19, 106.92, 1901303
11/14/24, 111.37, 112.77, 110.68, 110.75, 1131888
11/13/24, 112.00, 112.23, 109.94, 111.02, 1833738
11/12/24, 114.10, 114.58, 111.80, 111.98, 1115262
11/11/24, 115.67, 116.23, 113.19, 113.65, 1145091
11/08/24, 115.50, 115.69, 114.38, 115.45, 894336
11/07/24, 115.38, 116.25, 114.3401, 115.26, 995249
11/06/24, 117.57, 118.10, 115.51, 115.62, 1314454
11/05/24, 113.50, 116.40, 113.50, 116.39, 955317
11/04/24, 112.93, 114.96, 112.76, 113.69, 1012017
11/01/24, 114.15, 114.15, 112.50, 112.92, 767001
10/31/24, 113.99, 115.14, 113.2125, 113.51, 1286470
10/30/24, 113.45, 114.03, 112.755, 113.92, 875173
10/29/24, 114.73, 115.945, 113.75, 113.79, 738544
10/28/24, 116.88, 117.55, 115.37, 115.46, 643160
10/25/24, 116.50, 117.40, 116.03, 116.07, 418527
10/24/24, 118.03, 118.8168, 117.00, 117.04, 577145
10/23/24, 117.02, 117.97, 116.25, 117.70, 471193
10/22/24, 120.00, 120.00, 116.40, 117.70, 958754
10/21/24, 121.69, 121.80, 119.83, 119.93, 595539
10/18/24, 121.25, 121.94, 120.36, 121.73, 920624
10/17/24, 121.23, 121.39, 120.08, 121.25, 695232
10/16/24, 119.86, 121.81, 119.54, 121.61, 693624
10/15/24, 118.80, 122.08, 118.38, 120.54, 797614
10/14/24, 117.10, 118.51, 116.62, 118.21, 571901
10/11/24, 117.38, 117.82, 116.56, 116.82, 606588
10/10/24, 117.68, 118.00, 116.39, 117.02, 495950
10/09/24, 117.17, 117.87, 116.3248, 117.21, 404174
10/08/24, 116.25, 117.03, 115.35, 116.78, 733685
10/07/24, 117.22, 117.62, 115.985, 116.18, 805843
10/04/24, 116.65, 117.49, 115.94, 117.39, 733326
10/03/24, 118.40, 118.74, 116.22, 117.28, 741153
10/02/24, 120.40, 120.60, 118.58, 119.13, 633960
10/01/24, 121.17, 121.7421, 120.01, 121.21, 769516
09/30/24, 122.05, 122.155, 120.02, 121.10, 773070
09/27/24, 120.34, 122.64, 119.46, 121.15, 772735
09/26/24, 117.84, 120.3399, 117.84, 119.87, 625426
09/25/24, 118.26, 119.32, 118.04, 118.24, 746140
