Date, Open, High, Low, Close, Volume
12/31/24, 135.50, 136.59, 134.29, 135.18, 2830498
12/30/24, 134.40, 136.44, 133.8301, 135.05, 3945601
12/27/24, 135.13, 137.09, 135.00, 135.50, 3089050
12/26/24, 132.46, 136.94, 132.44, 136.39, 5042669
12/24/24, 131.87, 132.67, 131.18, 132.40, 1647679
12/23/24, 130.80, 132.11, 129.20, 131.92, 4097814
12/20/24, 129.73, 132.31, 129.35, 131.48, 7189143
12/19/24, 131.00, 131.9999, 130.41, 130.43, 5262076
12/18/24, 131.31, 136.285, 130.61, 130.70, 6602398
12/17/24, 131.54, 132.01, 129.90, 131.60, 5792995
12/16/24, 133.55, 134.825, 131.76, 132.45, 5503836
12/13/24, 135.72, 136.025, 133.34, 134.52, 4261210
12/12/24, 137.07, 137.70, 135.22, 135.29, 3860187
12/11/24, 134.86, 137.745, 134.51, 135.98, 4811931
12/10/24, 135.79, 136.61, 133.30, 135.05, 5575526
12/09/24, 133.35, 138.11, 133.00, 135.29, 9619251
12/06/24, 130.00, 132.789, 130.00, 132.39, 7284123
12/05/24, 130.15, 130.50, 128.50, 129.17, 6858622
12/04/24, 130.77, 130.95, 129.04, 130.07, 6051297
12/03/24, 130.50, 131.77, 128.92, 131.45, 8163940
12/02/24, 130.73, 131.99, 127.87, 130.72, 14195580
11/29/24, 130.50, 132.85, 130.17, 132.31, 5023526
11/27/24, 127.99, 130.7499, 127.18, 130.09, 6745228
11/26/24, 129.30, 129.6223, 126.50, 126.55, 9888230
11/25/24, 128.07, 131.91, 127.51, 130.53, 15456460
11/22/24, 121.70, 125.75, 121.26, 125.01, 13730070
11/21/24, 122.09, 124.10, 120.59, 121.59, 19616660
11/20/24, 128.00, 129.06, 120.21, 121.72, 64557672
11/19/24, 156.20, 158.42, 154.01, 156.00, 9170486
11/18/24, 153.00, 157.03, 152.78, 156.56, 6508271
11/15/24, 153.83, 154.21, 151.92, 152.13, 3888688
11/14/24, 154.76, 155.92, 152.85, 153.47, 4075055
11/13/24, 155.50, 156.967, 154.75, 154.99, 3624515
11/12/24, 154.80, 157.06, 153.73, 155.65, 5082085
11/11/24, 150.00, 154.6999, 149.90, 153.28, 3541650
11/08/24, 151.51, 151.6001, 149.63, 149.78, 3323610
11/07/24, 147.80, 152.25, 147.60, 150.91, 4862354
11/06/24, 151.70, 151.70, 145.08, 147.29, 7506637
11/05/24, 150.01, 151.83, 149.5295, 150.99, 2692273
11/04/24, 150.46, 152.6844, 149.80, 149.99, 3289701
11/01/24, 151.38, 151.82, 150.11, 150.84, 2453210
10/31/24, 149.04, 150.72, 148.09, 150.04, 3229478
10/30/24, 148.00, 149.79, 147.69, 148.52, 2520491
10/29/24, 148.90, 150.22, 147.72, 147.93, 2881493
10/28/24, 152.65, 153.38, 149.28, 149.30, 2523740
10/25/24, 151.51, 153.08, 150.95, 151.16, 4082176
10/24/24, 149.21, 150.50, 148.62, 150.18, 3060349
10/23/24, 148.33, 149.39, 147.41, 148.05, 3961995
10/22/24, 150.04, 150.275, 148.65, 149.19, 2815030
10/21/24, 156.00, 156.06, 150.0567, 150.91, 4455218
10/18/24, 156.49, 157.07, 154.7144, 156.84, 2988748
10/17/24, 158.88, 158.9727, 155.51, 155.89, 2879828
10/16/24, 160.70, 160.785, 158.4518, 158.87, 3124548
10/15/24, 158.65, 161.50, 158.44, 160.69, 2988018
10/14/24, 158.20, 159.56, 156.55, 157.97, 2534419
10/11/24, 156.69, 158.83, 156.43, 158.46, 3594086
10/10/24, 154.33, 156.26, 152.325, 155.97, 3139067
10/09/24, 151.56, 154.44, 150.25, 154.33, 3514297
10/08/24, 148.99, 151.78, 148.81, 151.32, 3224142
10/07/24, 152.63, 152.63, 147.91, 149.00, 3301408
10/04/24, 151.92, 153.865, 151.32, 152.88, 3557483
10/03/24, 149.89, 150.00, 147.5401, 149.60, 4790132
10/02/24, 151.66, 152.445, 149.96, 150.40, 2794972
10/01/24, 155.25, 155.395, 151.37, 152.20, 3994414
09/30/24, 155.18, 156.355, 154.22, 155.86, 2935829
09/27/24, 156.50, 157.51, 154.78, 155.18, 3067262
09/26/24, 156.53, 157.74, 155.1239, 155.98, 2757937
09/25/24, 156.29, 156.92, 154.16, 155.07, 2319914
09/24/24, 155.90, 157.83, 155.50, 156.18, 3113986
09/23/24, 154.77, 155.74, 152.91, 155.29, 2927656
09/20/24, 156.90, 157.39, 153.94, 154.75, 7389826
09/19/24, 156.58, 157.39, 155.00, 156.49, 5098842
09/18/24, 152.49, 156.045, 152.40, 153.60, 3269539
09/17/24, 152.94, 153.69, 151.07, 151.96, 3162261
09/16/24, 151.95, 153.74, 150.71, 152.84, 3429165
09/13/24, 149.72, 152.62, 149.48, 151.36, 3592362
09/12/24, 147.35, 148.98, 146.61, 148.44, 3454594
09/11/24, 147.25, 147.97, 144.67, 147.29, 4089547
09/10/24, 150.59, 150.775, 147.35, 148.01, 4103181
09/09/24, 151.37, 152.92, 149.95, 150.59, 3735150
09/06/24, 151.61, 153.33, 150.72, 151.28, 4045069
09/05/24, 153.06, 153.55, 150.67, 151.90, 3358882
09/04/24, 152.65, 153.735, 148.87, 152.48, 3841041
09/03/24, 152.99, 154.96, 151.35, 151.80, 4070180
08/30/24, 153.69, 154.15, 152.19, 153.62, 3933162
08/29/24, 156.26, 156.26, 152.47, 153.42, 3879497
08/28/24, 157.75, 158.32, 155.69, 156.86, 2666472
08/27/24, 158.90, 159.77, 157.76, 158.68, 3252292
08/26/24, 159.31, 161.84, 157.97, 158.90, 3655215
08/23/24, 157.58, 159.6196, 156.74, 158.50, 3188295
08/22/24, 159.90, 160.12, 156.4214, 156.82, 7452356
08/21/24, 167.33, 167.40, 158.97, 159.25, 25572109
08/20/24, 144.50, 145.70, 142.88, 144.33, 6815076
08/19/24, 144.50, 148.64, 144.42, 144.63, 4426996
08/16/24, 141.12, 144.24, 140.89, 144.04, 3473906
08/15/24, 143.29, 143.88, 140.5601, 141.66, 4640641
08/14/24, 136.70, 136.91, 135.51, 135.76, 4837956
08/13/24, 135.68, 136.91, 133.67, 136.66, 3319751
08/12/24, 134.59, 136.545, 134.12, 135.02, 3695560
08/09/24, 133.61, 135.60, 132.75, 135.50, 3778303
08/08/24, 134.79, 135.99, 133.07, 133.97, 3894009
08/07/24, 136.18, 137.75, 133.34, 133.47, 3209671
08/06/24, 134.51, 135.91, 133.25, 133.85, 5005677
