Date, Open, High, Low, Close, Volume
12/31/24, 57.09, 57.67, 56.85, 57.44, 3708664
12/30/24, 57.75, 57.97, 56.92, 57.14, 1514814
12/27/24, 57.77, 58.36, 57.5919, 57.97, 1543424
12/26/24, 57.50, 58.24, 57.40, 58.08, 1821424
12/24/24, 57.65, 57.9699, 57.43, 57.74, 682824
12/23/24, 57.18, 57.995, 56.96, 57.83, 1823036
12/20/24, 58.34, 58.63, 57.76, 58.02, 5593741
12/19/24, 58.72, 58.97, 57.82, 58.20, 2321858
12/18/24, 58.81, 59.71, 58.74, 58.96, 1800548
12/17/24, 59.46, 60.11, 59.335, 59.40, 1745488
12/16/24, 60.58, 60.63, 59.645, 59.74, 1938049
12/13/24, 61.14, 61.26, 60.23, 60.48, 1625571
12/12/24, 62.18, 62.24, 61.17, 61.20, 2100924
12/11/24, 62.44, 62.80, 61.77, 61.92, 3045832
12/10/24, 62.79, 63.08, 61.55, 62.40, 2150581
12/09/24, 62.69, 63.325, 62.56, 62.64, 1880132
12/06/24, 63.70, 63.75, 62.5922, 62.64, 1376289
12/05/24, 63.60, 63.99, 63.3334, 63.70, 1760881
12/04/24, 63.67, 64.09, 63.00, 63.61, 1695274
12/03/24, 64.34, 64.56, 63.90, 64.19, 2187006
12/02/24, 64.24, 64.49, 63.71, 64.34, 1755608
11/29/24, 63.87, 64.72, 63.87, 64.50, 1131554
11/27/24, 64.16, 64.48, 64.00, 64.45, 1838365
11/26/24, 63.50, 63.845, 63.04, 63.81, 1669950
11/25/24, 64.14, 64.47, 63.52, 63.78, 3868386
11/22/24, 64.11, 64.58, 63.73, 63.77, 3870482
11/21/24, 63.24, 64.37, 63.0001, 63.77, 3172734
11/20/24, 62.97, 63.389, 62.97, 63.25, 2480379
11/19/24, 64.20, 64.28, 62.86, 62.92, 2070211
11/18/24, 65.23, 65.33, 64.35, 64.54, 2921811
11/15/24, 64.34, 64.99, 63.64, 64.32, 3430346
11/14/24, 63.41, 64.48, 63.38, 64.01, 3539133
11/13/24, 62.32, 63.32, 61.06, 63.30, 2709457
11/12/24, 62.62, 65.95, 62.16, 62.66, 7041753
11/11/24, 59.59, 60.10, 58.69, 58.81, 2693109
11/08/24, 58.66, 60.15, 58.62, 59.59, 2462218
11/07/24, 59.05, 59.39, 58.56, 58.71, 1925651
11/06/24, 59.90, 60.45, 59.05, 59.16, 1825647
11/05/24, 58.20, 59.27, 57.61, 59.26, 2413543
11/04/24, 58.49, 58.95, 58.23, 58.32, 1611121
11/01/24, 58.58, 58.89, 58.23, 58.36, 1890039
10/31/24, 58.96, 59.42, 58.58, 58.59, 2109196
10/30/24, 58.46, 58.92, 58.2701, 58.83, 2326905
10/29/24, 58.93, 59.04, 58.24, 58.37, 2934060
10/28/24, 58.94, 59.725, 58.855, 59.20, 1235117
10/25/24, 59.25, 59.43, 58.615, 58.67, 1809547
10/24/24, 59.15, 59.43, 58.46, 59.03, 1703396
10/23/24, 58.19, 59.545, 58.08, 58.88, 2684667
10/22/24, 59.19, 59.24, 58.71, 58.89, 1944559
10/21/24, 59.90, 60.09, 58.76, 59.18, 1149861
10/18/24, 59.99, 60.11, 59.16, 60.01, 1277402
10/17/24, 60.56, 60.715, 59.711, 59.79, 1297881
10/16/24, 59.90, 61.105, 59.90, 60.60, 1457616
10/15/24, 59.75, 60.83, 59.67, 59.87, 1720256
10/14/24, 59.00, 59.915, 59.00, 59.85, 1819030
10/11/24, 58.46, 59.06, 58.26, 58.83, 1434543
10/10/24, 58.43, 59.00, 58.12, 58.19, 2143617
10/09/24, 58.40, 58.51, 58.10, 58.28, 1551361
10/08/24, 57.97, 58.47, 57.5266, 58.29, 1393140
10/07/24, 58.47, 58.50, 57.90, 58.23, 1276346
10/04/24, 58.09, 58.71, 58.09, 58.55, 1040013
10/03/24, 58.93, 59.30, 57.82, 58.07, 1612430
10/02/24, 59.43, 59.95, 58.93, 59.21, 1754071
10/01/24, 59.34, 60.38, 59.26, 59.76, 1890647
09/30/24, 59.89, 60.00, 59.22, 59.56, 1582438
