Date, Open, High, Low, Close, Volume
12/31/24, 509.35, 511.00, 503.34, 505.86, 4214367
12/30/24, 506.86, 509.73, 500.66, 507.80, 5409047
12/27/24, 509.42, 513.18, 507.80, 509.99, 3471799
12/26/24, 505.65, 512.22, 504.73, 511.15, 3387986
12/24/24, 504.40, 506.10, 500.59, 506.10, 1824393
12/23/24, 500.76, 508.78, 499.05, 506.34, 4285978
12/20/24, 489.29, 502.64, 488.73, 500.13, 10956890
12/19/24, 500.14, 503.65, 486.24, 489.25, 7418073
12/18/24, 488.43, 506.535, 486.00, 499.72, 10147600
12/17/24, 487.00, 495.60, 475.82, 485.52, 14132660
12/16/24, 518.00, 521.70, 496.08, 498.50, 8879986
12/13/24, 515.64, 527.53, 510.72, 520.48, 8202905
12/12/24, 531.53, 534.00, 514.19, 515.76, 9403795
12/11/24, 555.655, 558.10, 532.67, 533.53, 10362990
12/10/24, 562.00, 567.7499, 557.0301, 565.19, 5360590
12/09/24, 552.00, 562.98, 544.6412, 560.62, 7684650
12/06/24, 582.105, 582.105, 544.1401, 549.62, 13003640
12/05/24, 605.64, 608.9899, 573.885, 578.97, 5943684
12/04/24, 611.02, 622.83, 606.97, 610.79, 4147575
12/03/24, 610.85, 615.75, 604.82, 605.23, 2329878
12/02/24, 614.00, 614.00, 600.77, 608.52, 3365099
11/29/24, 608.80, 615.78, 606.62, 610.20, 2010812
11/27/24, 611.03, 617.45, 606.70, 608.38, 2269792
11/26/24, 608.24, 608.47, 598.88, 606.79, 2693612
11/25/24, 597.58, 609.84, 595.01, 605.83, 5146485
11/22/24, 598.56, 601.26, 588.675, 590.87, 3198124
11/21/24, 600.00, 604.00, 596.73, 597.49, 2722929
11/20/24, 582.71, 602.6436, 581.55, 600.50, 3928765
11/19/24, 582.72, 586.835, 576.77, 577.00, 3198346
11/18/24, 589.44, 594.14, 585.32, 589.65, 2577124
11/15/24, 591.92, 598.93, 589.95, 592.23, 3423919
11/14/24, 603.48, 606.00, 588.99, 593.15, 3079199
11/13/24, 613.00, 613.005, 603.06, 605.87, 3409793
