Date, Open, High, Low, Close, Volume
12/31/24, 316.12, 317.66, 315.1901, 316.04, 3963824
12/30/24, 314.68, 317.11, 313.23, 315.31, 3478763
12/27/24, 319.27, 321.50, 317.56, 318.66, 3489200
12/26/24, 319.77, 321.45, 319.46, 320.91, 2856059
12/24/24, 318.17, 321.54, 317.28, 320.65, 2684103
12/23/24, 315.65, 317.97, 313.35, 317.22, 7984610
12/20/24, 313.57, 320.00, 312.28, 317.71, 24387020
12/19/24, 311.83, 316.87, 311.23, 314.88, 8317119
12/18/24, 318.50, 321.615, 309.56, 309.78, 10479180
12/17/24, 315.82, 318.84, 315.14, 318.30, 8844349
12/16/24, 314.74, 317.56, 314.10, 315.89, 6562510
12/13/24, 315.83, 316.95, 314.34, 314.74, 4682543
12/12/24, 314.82, 315.55, 313.43, 314.23, 3218540
12/11/24, 313.04, 315.55, 311.215, 313.79, 4321824
12/10/24, 307.36, 312.98, 306.64, 312.38, 4539827
12/09/24, 311.83, 313.01, 307.64, 308.30, 5785297
12/06/24, 308.87, 312.56, 308.80, 311.01, 4302851
12/05/24, 309.98, 311.09, 308.83, 309.08, 5200052
12/04/24, 312.42, 312.85, 308.80, 309.90, 5981759
12/03/24, 317.10, 317.32, 312.77, 313.01, 5009907
12/02/24, 316.90, 317.42, 313.71, 316.65, 5597635
11/29/24, 314.29, 316.25, 313.70, 315.08, 3853281
11/27/24, 310.77, 316.37, 309.49, 314.70, 5204318
11/26/24, 314.20, 314.50, 311.54, 311.82, 7071592
11/25/24, 311.86, 313.66, 309.86, 313.19, 14189300
11/22/24, 307.97, 311.59, 307.90, 309.92, 5919518
11/21/24, 307.30, 310.92, 306.65, 309.90, 5757406
11/20/24, 311.86, 312.29, 306.22, 307.39, 6350282
11/19/24, 310.00, 312.23, 308.51, 311.85, 4885860
11/18/24, 309.48, 312.41, 308.70, 312.16, 4585944
11/15/24, 307.56, 310.72, 306.66, 309.64, 5106284
11/14/24, 309.30, 311.29, 307.83, 308.25, 4415788
11/13/24, 309.49, 310.9485, 307.84, 309.48, 4046544
11/12/24, 309.04, 310.55, 308.11, 309.85, 4616616
11/11/24, 310.09, 312.44, 309.30, 310.92, 4674088
11/08/24, 306.89, 311.15, 305.69, 307.87, 6240616
11/07/24, 307.50, 307.63, 304.42, 305.80, 6237348
11/06/24, 306.32, 309.00, 302.8201, 307.40, 10320480
11/05/24, 291.71, 294.78, 291.58, 293.29, 3753721
11/04/24, 291.55, 293.15, 290.76, 291.85, 4281721
11/01/24, 288.49, 292.67, 287.19, 290.74, 5471088
10/31/24, 292.09, 296.34, 289.621, 289.85, 7950228
