Date, Open, High, Low, Close, Volume
12/31/24, 70.53, 70.9199, 70.06, 70.24, 7031615
12/30/24, 70.41, 70.795, 69.77, 70.41, 8443769
12/27/24, 71.18, 71.74, 70.63, 71.11, 7219740
12/26/24, 71.43, 71.84, 71.11, 71.76, 6964333
12/24/24, 70.67, 71.59, 70.54, 71.59, 4442654
12/23/24, 69.72, 70.69, 69.6176, 70.54, 11816970
12/20/24, 69.17, 71.035, 68.77, 70.34, 50113367
12/19/24, 69.40, 70.69, 68.67, 68.85, 16444619
12/18/24, 70.61, 71.50, 68.61, 68.76, 21201199
12/17/24, 71.047, 71.54, 70.38, 70.81, 15595910
12/16/24, 70.47, 72.29, 69.82, 71.98, 24602529
12/13/24, 70.853, 71.05, 70.02, 70.44, 16794529
12/12/24, 71.88, 72.06, 70.79, 70.80, 12446710
12/11/24, 72.59, 72.92, 71.45, 71.60, 11867430
12/10/24, 73.50, 73.50, 71.90, 72.05, 12277490
12/09/24, 74.305, 74.55, 72.42, 72.62, 15517500
12/06/24, 73.99, 74.72, 73.73, 74.33, 14798100
12/05/24, 73.40, 74.61, 73.10, 73.66, 17766740
12/04/24, 74.05, 74.25, 72.71, 73.06, 14301100
12/03/24, 75.81, 75.85, 74.02, 74.14, 15047860
12/02/24, 76.95, 76.95, 74.80, 75.28, 18274471
11/29/24, 77.69, 78.04, 76.14, 76.17, 9785038
11/27/24, 77.37, 77.79, 76.425, 77.21, 19793930
11/26/24, 77.50, 78.13, 76.36, 77.35, 19139090
11/25/24, 76.20, 77.305, 75.965, 76.90, 28636561
11/22/24, 74.565, 76.08, 74.55, 75.96, 14997400
11/21/24, 73.935, 76.04, 73.935, 74.83, 20068240
11/20/24, 73.67, 73.78, 72.425, 73.58, 14415360
11/19/24, 73.62, 74.16, 73.13, 73.43, 15412940
11/18/24, 74.50, 74.70, 73.72, 74.09, 18440131
11/15/24, 73.00, 74.41, 72.89, 74.34, 18836980
11/14/24, 72.85, 73.47, 72.5101, 72.80, 13654820
11/13/24, 72.75, 73.96, 72.655, 72.77, 18823340
11/12/24, 72.775, 73.37, 72.11, 72.60, 17848160
11/11/24, 71.02, 73.25, 71.02, 72.56, 17117840
11/08/24, 70.005, 70.13, 69.36, 70.04, 14270940
11/07/24, 71.64, 71.67, 69.735, 69.82, 18681170
11/06/24, 73.30, 74.27, 69.95, 72.47, 63689141
11/05/24, 64.00, 64.50, 63.62, 64.07, 13447220
11/04/24, 64.56, 64.65, 63.05, 63.70, 12607420
11/01/24, 65.22, 65.58, 64.62, 64.68, 13313940
10/31/24, 65.10, 65.75, 64.625, 64.92, 12963150
10/30/24, 65.13, 66.395, 65.13, 65.41, 16021700
10/29/24, 65.49, 66.00, 65.24, 65.30, 13205450
10/28/24, 64.995, 65.745, 64.81, 65.61, 16158900
10/25/24, 65.845, 65.95, 64.245, 64.53, 14855490
10/24/24, 64.615, 65.57, 64.325, 65.43, 18393320
10/23/24, 64.77, 65.05, 63.86, 64.56, 18380881
10/22/24, 64.02, 65.2075, 64.00, 64.81, 26164891
10/21/24, 64.48, 64.685, 63.92, 64.02, 15603360
10/18/24, 64.41, 64.78, 63.825, 64.36, 19234039
10/17/24, 64.49, 64.715, 63.50, 64.38, 15073500
10/16/24, 63.235, 64.08, 63.12, 63.89, 17412650
10/15/24, 62.91, 63.82, 62.225, 63.03, 24693400
10/14/24, 61.27, 63.35, 60.94, 62.16, 30758850
10/11/24, 59.955, 61.72, 59.92, 60.99, 37049238
10/10/24, 57.72, 58.39, 57.35, 57.75, 12743970
10/09/24, 57.32, 57.725, 57.07, 57.54, 12415300
10/08/24, 58.28, 58.28, 57.27, 57.30, 12073040
10/07/24, 57.225, 57.63, 56.80, 57.16, 11177800
10/04/24, 55.99, 57.125, 55.98, 56.96, 14594450
10/03/24, 55.08, 55.21, 54.405, 54.98, 8135347
10/02/24, 55.33, 55.814, 54.92, 55.30, 9007156
10/01/24, 56.00, 56.03, 55.20, 55.39, 11069400
09/30/24, 55.66, 56.515, 55.48, 56.49, 16286040
09/27/24, 56.62, 56.62, 55.80, 55.90, 13530440
09/26/24, 54.035, 57.11, 53.315, 56.39, 34463434
09/25/24, 54.28, 54.33, 53.41, 53.61, 10555710
09/24/24, 55.12, 55.19, 53.79, 54.16, 16365650
09/23/24, 56.26, 56.52, 54.90, 55.11, 14759260
09/20/24, 55.35, 56.29, 54.875, 56.29, 45276000
09/19/24, 55.01, 56.005, 54.65, 55.80, 21399029
09/18/24, 54.46, 55.19, 54.10, 54.26, 20108990
09/17/24, 53.97, 55.065, 53.97, 54.51, 15885200
09/16/24, 52.81, 53.93, 52.81, 53.79, 18066189
09/13/24, 51.86, 53.035, 51.75, 52.78, 24762029
09/12/24, 53.73, 54.34, 50.22, 51.57, 42605422
09/11/24, 53.72, 53.86, 52.425, 53.73, 17322039
09/10/24, 56.00, 56.10, 53.38, 53.95, 24649980
