Date, Open, High, Low, Close, Volume
12/31/24, 10.56, 10.77, 10.51, 10.57, 20427410
12/30/24, 10.52, 10.62, 10.315, 10.51, 17814801
12/27/24, 10.52, 10.65, 10.43, 10.61, 16494391
12/26/24, 10.47, 10.70, 10.36, 10.62, 13569740
12/24/24, 10.41, 10.60, 10.35, 10.55, 8487132
12/23/24, 10.64, 10.695, 10.39, 10.44, 17355430
12/20/24, 10.43, 10.79, 10.38, 10.69, 52771191
12/19/24, 10.70, 10.84, 10.42, 10.49, 30391980
12/18/24, 11.25, 11.35, 10.59, 10.63, 36163230
12/17/24, 11.44, 11.725, 11.215, 11.35, 33243621
12/16/24, 12.02, 12.167, 11.55, 11.60, 30406340
12/13/24, 12.315, 12.665, 11.99, 12.07, 36587809
12/12/24, 11.40, 12.70, 11.40, 12.49, 84908789
12/11/24, 10.91, 10.99, 10.72, 10.82, 24134490
12/10/24, 10.65, 11.05, 10.54, 10.89, 29115000
12/09/24, 10.80, 11.29, 10.52, 10.56, 46974922
12/06/24, 10.74, 10.82, 10.575, 10.66, 20606949
12/05/24, 10.63, 10.83, 10.6122, 10.68, 24541949
12/04/24, 10.51, 10.70, 10.44, 10.65, 24335350
12/03/24, 10.50, 10.5975, 10.37, 10.55, 21156689
12/02/24, 10.48, 10.61, 10.28, 10.56, 25625779
11/29/24, 10.40, 10.51, 10.305, 10.48, 11576770
11/27/24, 10.18, 10.47, 10.18, 10.38, 26060090
11/26/24, 10.35, 10.44, 10.07, 10.11, 27346619
11/25/24, 10.205, 10.46, 10.10, 10.40, 40833566
11/22/24, 10.23, 10.395, 10.085, 10.11, 27340500
11/21/24, 9.975, 10.30, 9.92, 10.23, 38932168
11/20/24, 9.51, 10.04, 9.455, 9.95, 43428434
11/19/24, 9.29, 9.59, 9.05, 9.50, 32289279
11/18/24, 9.445, 9.76, 9.36, 9.47, 32338061
11/15/24, 9.87, 9.875, 9.10, 9.22, 37874621
11/14/24, 9.74, 9.945, 9.71, 9.86, 33526941
11/13/24, 9.39, 9.89, 9.305, 9.72, 46976898
11/12/24, 9.26, 9.26, 9.08, 9.22, 35222441
11/11/24, 9.22, 9.545, 9.1516, 9.33, 39896820
11/08/24, 9.32, 9.33, 8.855, 9.18, 52663441
11/07/24, 9.02, 9.80, 8.83, 9.37, 72314844
11/06/24, 8.525, 8.59, 8.33, 8.38, 44114641
11/05/24, 8.15, 8.25, 8.03, 8.21, 22988070
11/04/24, 8.24, 8.408, 8.015, 8.17, 28957359
11/01/24, 8.03, 8.24, 7.98, 8.23, 26744980
10/31/24, 7.95, 8.35, 7.85, 8.13, 47646379
10/30/24, 7.52, 7.84, 7.50, 7.77, 25756199
10/29/24, 7.53, 7.705, 7.49, 7.55, 16873920
10/28/24, 7.675, 7.77, 7.575, 7.61, 17452811
10/25/24, 7.59, 7.785, 7.55, 7.60, 19081770
10/24/24, 7.35, 7.595, 7.35, 7.52, 18620699
10/23/24, 7.51, 7.545, 7.25, 7.33, 23369289
10/22/24, 7.55, 7.63, 7.52, 7.53, 18291180
10/21/24, 7.70, 7.873, 7.52, 7.55, 28057141
10/18/24, 7.78, 7.92, 7.7413, 7.82, 16790730
10/17/24, 7.95, 8.01, 7.65, 7.78, 27109029
10/16/24, 7.65, 8.03, 7.63, 8.00, 24057980
10/15/24, 7.53, 7.83, 7.515, 7.60, 25360740
10/14/24, 7.49, 7.57, 7.354, 7.54, 19693551
10/11/24, 7.58, 7.71, 7.51, 7.52, 19385650
10/10/24, 7.65, 7.70, 7.49, 7.54, 21086730
10/09/24, 7.68, 7.88, 7.64, 7.73, 15583690
10/08/24, 7.64, 7.77, 7.57, 7.72, 21516449
10/07/24, 7.70, 7.91, 7.63, 7.72, 20677551
10/04/24, 7.87, 7.99, 7.68, 7.78, 21051971
10/03/24, 7.85, 7.91, 7.624, 7.74, 30586811
10/02/24, 8.13, 8.24, 7.91, 7.97, 24302230
10/01/24, 8.24, 8.34, 8.12, 8.16, 25439301
09/30/24, 8.36, 8.392, 8.09, 8.25, 23954570
09/27/24, 8.38, 8.49, 8.2926, 8.38, 22614580
09/26/24, 8.24, 8.49, 8.15, 8.30, 19551949
09/25/24, 8.26, 8.34, 8.13, 8.19, 29708240
09/24/24, 8.17, 8.35, 8.11, 8.32, 31808471
09/23/24, 8.19, 8.22, 8.01, 8.16, 21694971
09/20/24, 8.30, 8.41, 8.19, 8.24, 47442199
09/19/24, 8.615, 8.745, 8.314, 8.40, 24456561
09/18/24, 8.49, 8.79, 8.40, 8.42, 30047840
09/17/24, 8.67, 8.85, 8.36, 8.45, 30153029
09/16/24, 8.50, 8.68, 8.40, 8.56, 48518688
09/13/24, 7.76, 8.50, 7.75, 8.49, 57716621
09/12/24, 7.14, 7.716, 7.08, 7.66, 60853859
09/11/24, 6.995, 7.00, 6.78, 6.94, 29339109
09/10/24, 7.30, 7.30, 6.91, 7.02, 26361051
09/09/24, 7.26, 7.42, 7.02, 7.30, 44331461
09/06/24, 7.42, 7.61, 7.08, 7.22, 36949359
09/05/24, 7.37, 7.57, 7.22, 7.42, 26926391
09/04/24, 7.395, 7.565, 7.31, 7.32, 22090500
09/03/24, 7.80, 7.88, 7.34, 7.36, 33727800
08/30/24, 7.77, 7.86, 7.68, 7.84, 25025141
08/29/24, 8.05, 8.07, 7.71, 7.73, 25703830
08/28/24, 8.12, 8.125, 7.94, 7.97, 18690311
08/27/24, 8.20, 8.23, 7.88, 8.11, 38342527
08/26/24, 8.10, 8.44, 8.09, 8.23, 36074449
08/23/24, 7.60, 8.075, 7.545, 8.05, 30980080
08/22/24, 7.70, 7.72, 7.49, 7.50, 27670340
08/21/24, 7.80, 7.82, 7.565, 7.68, 26271660
08/20/24, 7.60, 7.82, 7.535, 7.77, 41412859
08/19/24, 7.44, 7.64, 7.36, 7.63, 24775990
08/16/24, 7.28, 7.45, 7.27, 7.41, 34364391
08/15/24, 7.02, 7.28, 6.99, 7.24, 41894441
08/14/24, 7.01, 7.02, 6.85, 6.96, 26052061
08/13/24, 6.67, 7.13, 6.64, 7.06, 37431887
