Date, Open, High, Low, Close, Volume
12/31/24, 313.96, 314.07, 310.745, 313.24, 362902
12/30/24, 315.19, 315.19, 311.445, 313.24, 320317
12/27/24, 316.67, 318.69, 315.49, 316.31, 310805
12/26/24, 315.33, 318.63, 314.22, 317.87, 258778
12/24/24, 315.20, 316.98, 313.41, 316.03, 191180
12/23/24, 315.35, 315.575, 311.92, 314.38, 411334
12/20/24, 313.29, 320.77, 310.35, 317.57, 2033882
12/19/24, 306.51, 312.45, 306.51, 311.00, 767846
12/18/24, 309.66, 312.34, 307.21, 307.55, 819749
12/17/24, 311.39, 311.85, 309.47, 310.53, 887818
12/16/24, 313.04, 315.395, 310.99, 313.15, 697172
12/13/24, 308.92, 311.85, 308.92, 311.39, 818857
12/12/24, 309.42, 312.80, 308.20, 308.37, 481288
12/11/24, 308.85, 310.545, 307.10, 309.84, 601900
12/10/24, 311.17, 312.20, 305.98, 307.65, 824857
12/09/24, 321.54, 321.84, 312.07, 312.22, 1037795
12/06/24, 330.01, 331.83, 322.44, 322.57, 904334
12/05/24, 333.70, 334.99, 327.77, 330.00, 989222
12/04/24, 331.28, 334.4938, 329.04, 332.53, 951525
12/03/24, 322.48, 329.70, 319.35, 329.06, 1293130
12/02/24, 320.50, 322.025, 317.08, 320.50, 816408
11/29/24, 320.00, 322.88, 319.76, 322.00, 515825
11/27/24, 317.50, 321.63, 317.02, 320.86, 1204686
11/26/24, 314.63, 318.13, 309.315, 316.65, 641631
11/25/24, 315.29, 317.73, 312.83, 314.63, 1118591
11/22/24, 314.07, 318.04, 313.82, 314.40, 525720
11/21/24, 309.80, 315.665, 307.14, 314.16, 615823
11/20/24, 307.72, 309.059, 307.31, 308.61, 830477
11/19/24, 311.07, 312.245, 307.34, 307.59, 573371
11/18/24, 312.07, 315.31, 311.755, 312.70, 576609
11/15/24, 315.20, 316.39, 311.39, 312.65, 1241271
11/14/24, 317.25, 318.85, 314.53, 314.80, 742311
11/13/24, 316.63, 318.21, 315.78, 316.88, 821241
11/12/24, 316.49, 319.65, 315.98, 317.41, 613800
11/11/24, 317.99, 320.775, 314.535, 315.18, 598031
11/08/24, 316.96, 320.45, 316.03, 316.30, 581941
11/07/24, 316.60, 319.00, 313.735, 315.90, 778694
11/06/24, 315.54, 320.10, 311.72, 317.31, 931891
11/05/24, 301.76, 308.375, 300.29, 307.92, 645218
11/04/24, 300.45, 304.73, 299.965, 302.82, 829478
11/01/24, 301.38, 303.97, 297.54, 299.30, 710112
10/31/24, 299.79, 308.87, 298.50, 302.19, 1080765
10/30/24, 291.92, 294.67, 291.17, 293.54, 638904
10/29/24, 292.50, 294.815, 291.40, 292.18, 546956
10/28/24, 289.72, 292.30, 289.3547, 292.12, 577355
10/25/24, 290.06, 292.96, 289.12, 290.45, 427472
10/24/24, 291.53, 292.34, 287.585, 290.53, 397209
10/23/24, 289.98, 292.95, 289.98, 291.92, 545330
10/22/24, 290.03, 292.26, 287.05, 291.74, 506976
10/21/24, 289.84, 291.045, 288.13, 290.50, 382387
10/18/24, 290.16, 292.00, 288.63, 290.03, 437814
10/17/24, 292.76, 293.405, 288.58, 291.14, 633458
10/16/24, 290.00, 293.30, 288.6318, 291.30, 379323
10/15/24, 293.96, 296.64, 290.70, 291.14, 394283
10/14/24, 290.80, 293.52, 288.84, 292.645, 555734
10/11/24, 291.08, 294.35, 288.86, 290.03, 662143
10/10/24, 300.00, 300.265, 289.8686, 290.24, 479970
10/09/24, 292.94, 298.52, 292.285, 298.05, 508257
10/08/24, 289.18, 293.69, 289.18, 292.94, 368825
10/07/24, 290.69, 290.69, 286.35, 287.99, 567655
10/04/24, 290.11, 291.8618, 289.245, 290.69, 712667
10/03/24, 294.08, 294.72, 289.38, 290.59, 663915
10/02/24, 299.74, 301.02, 295.10, 295.41, 523264
10/01/24, 295.02, 303.42, 295.02, 300.58, 868006
09/30/24, 293.25, 295.32, 291.29, 294.53, 777138
09/27/24, 291.68, 294.7648, 290.71, 293.015, 384124
09/26/24, 289.08, 293.23, 288.105, 291.16, 541663
09/25/24, 291.01, 293.17, 288.82, 290.39, 682658
09/24/24, 290.31, 290.31, 287.35, 289.21, 422897
09/23/24, 288.61, 291.63, 286.94, 290.85, 509076
09/20/24, 288.17, 288.99, 286.00, 288.35, 988194
09/19/24, 294.00, 294.00, 287.16, 288.81, 943404
09/18/24, 292.87, 294.00, 290.14, 292.50, 377266
09/17/24, 293.90, 294.40, 291.59, 292.94, 416563
09/16/24, 291.19, 294.25, 290.70, 293.97, 532564
09/13/24, 289.64, 291.16, 288.00, 290.70, 515634
09/12/24, 288.37, 289.815, 286.585, 289.64, 414478
09/11/24, 291.64, 291.64, 283.29, 288.08, 326046
09/10/24, 294.03, 295.67, 291.53, 291.64, 399285
09/09/24, 291.64, 295.13, 290.92, 294.36, 554323
09/06/24, 293.88, 295.23, 289.87, 291.09, 445845
09/05/24, 294.16, 294.41, 290.92, 293.67, 540075
09/04/24, 293.00, 294.80, 291.69, 294.38, 365341
09/03/24, 292.90, 296.45, 290.56, 292.22, 588565
08/30/24, 291.71, 294.22, 289.54, 292.11, 847077
08/29/24, 290.00, 292.17, 288.163, 291.86, 361322
08/28/24, 288.75, 292.22, 288.10, 289.47, 346493
08/27/24, 286.08, 288.705, 285.99, 288.04, 395838
08/26/24, 282.28, 285.51, 282.00, 285.40, 400629
08/23/24, 286.00, 286.61, 280.86, 281.46, 392154
08/22/24, 283.24, 286.06, 282.89, 285.14, 418325
08/21/24, 283.22, 283.76, 281.15, 283.68, 285764
08/20/24, 281.47, 282.84, 280.37, 281.47, 307872
08/19/24, 280.00, 282.51, 279.08, 282.40, 339527
08/16/24, 280.89, 281.77, 280.08, 280.42, 315681
08/15/24, 280.48, 281.07, 279.1701, 279.88, 290245
08/14/24, 275.48, 280.46, 275.48, 279.98, 398097
08/13/24, 276.50, 276.50, 274.00, 274.68, 333061
08/12/24, 277.26, 277.89, 274.97, 275.86, 393836
08/09/24, 277.19, 278.02, 273.70, 276.61, 370779
08/08/24, 274.83, 278.115, 274.83, 277.92, 307542
08/07/24, 274.17, 279.98, 271.01, 275.44, 410211
08/06/24, 274.83, 279.025, 274.13, 274.36, 483542
08/05/24, 285.00, 286.13, 273.76, 274.34, 474813
08/02/24, 284.48, 285.91, 281.00, 283.02, 381501
08/01/24, 282.99, 284.785, 281.77, 284.36, 462283
07/31/24, 283.12, 285.56, 280.91, 282.28, 466114
07/30/24, 280.47, 285.99, 279.72, 284.42, 503466
07/29/24, 282.43, 283.09, 278.73, 278.93, 554220
07/26/24, 280.57, 283.49, 278.50, 283.09, 713853
07/25/24, 270.00, 281.00, 267.05, 277.60, 996329
07/24/24, 268.00, 269.00, 265.23, 267.00, 431918
07/23/24, 265.04, 267.02, 265.04, 266.40, 264354
07/22/24, 263.91, 266.25, 262.62, 265.44, 222483
07/19/24, 268.35, 268.35, 262.57, 263.13, 363398
07/18/24, 266.10, 269.98, 266.07, 266.64, 345206
07/17/24, 265.15, 269.98, 264.665, 267.47, 346094
07/16/24, 264.13, 266.77, 263.895, 264.32, 326711
07/15/24, 263.31, 265.00, 261.63, 263.33, 360111
07/12/24, 263.01, 266.02, 261.45, 264.21, 313031
07/11/24, 258.17, 262.38, 257.58, 261.98, 353990
07/10/24, 258.16, 259.96, 255.19, 258.16, 359874
07/09/24, 259.83, 259.83, 257.02, 257.34, 397006
07/08/24, 261.51, 263.08, 259.1979, 259.74, 321178
07/05/24, 260.18, 261.80, 258.48, 261.61, 373605
