Date, Open, High, Low, Close, Volume
12/31/24, 85.93, 86.75, 85.87, 86.16, 1612598
12/30/24, 87.40, 87.40, 85.24, 85.83, 2180149
12/27/24, 88.66, 89.288, 88.02, 88.68, 1086693
12/26/24, 89.01, 89.89, 88.4198, 89.31, 1218963
12/24/24, 88.13, 89.22, 87.38, 88.78, 692769
12/23/24, 88.96, 89.42, 87.76, 88.11, 1312445
12/20/24, 88.10, 90.14, 88.05, 88.95, 2663406
12/19/24, 90.62, 90.62, 87.36, 88.31, 1736900
12/18/24, 91.96, 92.95, 88.22, 88.70, 2096048
12/17/24, 89.68, 92.63, 89.44, 91.96, 2046374
12/16/24, 93.25, 93.7663, 89.48, 89.68, 3104256
12/13/24, 92.88, 95.42, 92.65, 94.53, 1778040
12/12/24, 94.57, 95.37, 93.39, 93.47, 1575689
12/11/24, 95.25, 95.63, 94.18, 95.21, 1325673
12/10/24, 94.70, 96.395, 93.70, 94.95, 1426951
12/09/24, 97.00, 99.62, 95.75, 95.94, 2691027
12/06/24, 95.36, 95.891, 94.30, 94.37, 1026539
12/05/24, 94.87, 95.85, 94.35, 94.40, 1357894
12/04/24, 93.64, 95.285, 93.03, 94.79, 1958400
12/03/24, 95.13, 95.55, 93.23, 93.76, 3045301
12/02/24, 95.50, 97.50, 94.90, 96.16, 2945246
11/29/24, 91.29, 95.05, 91.26, 94.38, 1402470
11/27/24, 92.16, 94.19, 91.545, 91.67, 1436753
11/26/24, 93.07, 93.07, 91.63, 91.86, 1807470
11/25/24, 91.55, 93.92, 91.55, 93.45, 3055006
11/22/24, 91.66, 92.50, 91.24, 91.29, 1620010
11/21/24, 91.01, 91.91, 89.69, 91.74, 1612685
11/20/24, 91.04, 92.07, 90.42, 91.22, 1816349
11/19/24, 89.52, 91.29, 88.74, 91.25, 2014843
11/18/24, 90.46, 91.50, 89.86, 90.46, 1772019
11/15/24, 93.17, 93.5999, 89.66, 90.74, 3816948
11/14/24, 87.40, 95.20, 86.83, 93.22, 9577317
11/13/24, 85.52, 85.80, 84.69, 85.80, 2433339
11/12/24, 85.80, 86.253, 84.535, 85.50, 3892918
11/11/24, 84.99, 88.115, 84.99, 86.48, 2509146
11/08/24, 85.56, 86.25, 83.90, 84.30, 4116487
11/07/24, 86.88, 89.10, 86.05, 87.17, 2957852
11/06/24, 86.65, 87.60, 85.03, 85.32, 4784280
11/05/24, 91.58, 93.00, 86.02, 86.72, 10733540
11/04/24, 95.78, 96.6794, 95.43, 95.65, 2238725
11/01/24, 97.07, 97.53, 95.43, 95.68, 1737673
10/31/24, 97.97, 98.00, 95.94, 96.02, 1897266
10/30/24, 98.24, 99.095, 97.90, 98.49, 1337113
10/29/24, 99.36, 100.9139, 98.87, 99.00, 1890256
10/28/24, 98.45, 99.42, 98.28, 98.62, 1062315
10/25/24, 98.02, 99.4357, 97.885, 97.99, 1098826
10/24/24, 98.99, 99.47, 97.01, 97.90, 1898418
10/23/24, 98.59, 99.04, 97.43, 97.68, 1683107
10/22/24, 98.28, 99.705, 97.9187, 99.40, 1403652
10/21/24, 98.58, 98.87, 97.63, 98.37, 1674112
10/18/24, 99.61, 101.32, 99.17, 99.44, 2269831
10/17/24, 99.19, 99.3999, 96.97, 97.99, 2933275
10/16/24, 99.89, 101.60, 99.625, 100.24, 1697732
10/15/24, 102.50, 102.705, 98.99, 99.22, 4169198
10/14/24, 103.41, 105.055, 102.3491, 103.95, 2160790
10/11/24, 104.27, 106.40, 103.7101, 104.75, 2537968
10/10/24, 103.52, 104.9591, 102.82, 103.70, 2181770
10/09/24, 102.84, 104.86, 102.29, 104.15, 3199165
10/08/24, 102.50, 104.84, 100.06, 102.88, 4473522
10/07/24, 107.50, 107.81, 105.29, 106.41, 3330707
10/04/24, 104.25, 106.59, 103.445, 105.45, 4240042
10/03/24, 99.97, 103.19, 98.87, 103.08, 3880658
10/02/24, 99.53, 102.26, 99.31, 102.04, 4512291
10/01/24, 96.03, 99.765, 96.03, 99.45, 4771192
09/30/24, 97.45, 98.17, 95.59, 95.88, 6226504
09/27/24, 92.66, 97.82, 92.66, 97.62, 11253060
09/26/24, 89.86, 91.60, 88.69, 91.03, 8289506
09/25/24, 83.76, 84.87, 82.88, 84.13, 2244054
09/24/24, 83.555, 86.20, 82.985, 84.16, 4888065
09/23/24, 79.89, 80.79, 79.515, 80.205, 1646686
09/20/24, 79.93, 79.993, 78.49, 79.71, 2394989
09/19/24, 80.31, 81.10, 79.79, 80.18, 2273629
09/18/24, 79.99, 80.035, 78.35, 78.78, 2107575
09/17/24, 79.68, 81.02, 79.585, 80.00, 2464968
09/16/24, 78.65, 79.5627, 78.30, 78.95, 1657601
09/13/24, 76.79, 79.34, 76.55, 78.46, 2235275
09/12/24, 76.21, 76.52, 74.895, 76.26, 1392148
09/11/24, 75.35, 75.92, 74.455, 75.77, 1324385
09/10/24, 77.03, 77.0908, 74.81, 75.35, 1967431
09/09/24, 76.70, 77.64, 76.38, 76.91, 1606881
09/06/24, 77.33, 78.25, 76.68, 76.72, 1924768
09/05/24, 77.10, 77.865, 76.30, 77.12, 1600610
09/04/24, 75.88, 78.05, 75.80, 77.04, 2184779
09/03/24, 76.92, 77.20, 75.711, 75.81, 2035970
08/30/24, 75.94, 77.05, 75.22, 76.88, 3939503
08/29/24, 75.30, 76.46, 75.09, 75.54, 1672484
08/28/24, 76.50, 76.55, 74.21, 75.30, 3012714
08/27/24, 77.05, 77.21, 76.60, 77.04, 1135534
08/26/24, 77.65, 77.91, 76.7901, 77.24, 1315463
08/23/24, 76.77, 77.41, 76.07, 77.37, 1479914
08/22/24, 77.36, 77.635, 76.76, 77.09, 1133718
08/21/24, 76.55, 77.84, 76.425, 77.36, 2302366
08/20/24, 76.18, 76.69, 75.91, 76.02, 1839308
08/19/24, 76.15, 77.22, 76.05, 76.60, 3310540
08/16/24, 75.80, 77.28, 75.80, 76.29, 1822838
08/15/24, 75.03, 76.90, 75.03, 76.14, 2778718
08/14/24, 74.26, 74.8065, 73.26, 74.04, 2381363
08/13/24, 73.94, 74.84, 73.25, 74.20, 2371157
08/12/24, 74.00, 75.07, 73.42, 73.93, 2583964
08/09/24, 77.15, 77.2299, 74.45, 74.63, 2417886
08/08/24, 75.62, 77.22, 75.50, 76.65, 2654779
08/07/24, 78.50, 79.05, 74.07, 74.85, 5081701
08/06/24, 73.94, 76.95, 73.92, 76.29, 5052088
08/05/24, 71.91, 74.6299, 71.63, 73.55, 4677760
08/02/24, 77.48, 77.89, 75.50, 76.80, 4142525
08/01/24, 82.33, 82.62, 78.205, 78.71, 4292507
07/31/24, 82.80, 83.97, 82.61, 82.82, 1997521
07/30/24, 82.24, 82.8871, 81.8303, 82.51, 1442282
07/29/24, 81.70, 82.77, 80.76, 82.50, 1466196
07/26/24, 81.42, 81.67, 80.02, 81.61, 1925544
07/25/24, 80.69, 81.64, 80.11, 80.52, 2425959
07/24/24, 83.46, 83.75, 80.66, 80.97, 2320088
07/23/24, 83.23, 83.31, 82.55, 83.27, 1570046
07/22/24, 83.96, 84.44, 82.59, 83.54, 1641564
07/19/24, 83.48, 83.75, 82.19, 83.43, 2150767
07/18/24, 84.45, 85.06, 83.19, 83.48, 2317823
07/17/24, 85.49, 85.87, 84.24, 84.92, 2042219
07/16/24, 84.65, 86.20, 83.2301, 85.95, 2010524
07/15/24, 85.81, 86.97, 84.29, 84.60, 1868770
07/12/24, 85.53, 86.50, 84.86, 85.83, 1776279
07/11/24, 84.25, 85.83, 83.88, 84.61, 1701831
07/10/24, 85.00, 85.00, 83.68, 83.91, 1886371
07/09/24, 85.31, 86.02, 84.71, 84.76, 1831013
07/08/24, 87.05, 87.37, 85.17, 85.25, 2239633
07/05/24, 86.82, 87.895, 86.22, 86.83, 1925229
07/03/24, 87.09, 89.06, 86.79, 87.28, 1556916
07/02/24, 87.56, 88.1146, 86.09, 86.33, 2233297
07/01/24, 89.76, 89.76, 87.08, 87.67, 1896094
06/28/24, 89.40, 90.04, 89.20, 89.50, 2199448
