Date, Open, High, Low, Close, Volume
12/31/24, 106.17, 107.90, 105.78, 107.57, 12387760
12/30/24, 106.30, 106.56, 105.51, 105.76, 11080770
12/27/24, 106.30, 107.99, 105.77, 106.48, 11943910
12/26/24, 106.52, 107.03, 105.94, 106.49, 9653408
12/24/24, 106.52, 107.19, 105.70, 106.40, 7806997
12/23/24, 105.31, 106.60, 104.92, 106.30, 12285080
12/20/24, 105.45, 106.135, 104.84, 105.87, 40141152
12/19/24, 107.39, 107.67, 105.21, 105.51, 20565561
12/18/24, 107.57, 108.83, 106.31, 106.42, 17114539
12/17/24, 107.235, 108.17, 106.7869, 108.01, 17554000
12/16/24, 110.20, 110.40, 108.16, 108.47, 20256090
12/13/24, 111.899, 111.899, 110.25, 110.84, 13106080
12/12/24, 111.59, 112.38, 110.78, 111.82, 14543260
12/11/24, 112.00, 112.39, 111.11, 111.92, 32392240
12/10/24, 113.585, 113.88, 111.75, 112.67, 20990939
12/09/24, 114.64, 114.94, 112.745, 112.90, 17412570
12/06/24, 114.54, 114.77, 113.50, 113.57, 16171070
12/05/24, 114.71, 115.62, 114.06, 114.78, 15751200
12/04/24, 117.50, 117.55, 113.8612, 114.28, 19520580
12/03/24, 118.72, 118.72, 117.255, 117.67, 11756570
12/02/24, 118.05, 118.20, 116.82, 117.85, 12687320
11/29/24, 117.44, 118.50, 116.95, 117.96, 9426499
11/27/24, 118.09, 118.73, 117.43, 117.66, 11079120
11/26/24, 119.53, 119.68, 117.845, 117.97, 14827330
11/25/24, 121.43, 121.88, 119.61, 119.97, 26580301
11/22/24, 121.82, 123.21, 121.64, 121.79, 13323430
11/21/24, 121.08, 122.5547, 120.27, 121.93, 14675420
11/20/24, 119.17, 120.47, 118.64, 120.32, 11360930
11/19/24, 119.75, 119.75, 118.20, 118.63, 11584380
11/18/24, 119.79, 120.62, 119.27, 120.31, 14243700
11/15/24, 120.40, 121.24, 119.13, 119.31, 19051711
11/14/24, 121.66, 121.88, 120.33, 120.56, 13041850
11/13/24, 120.565, 122.05, 118.80, 121.47, 15127880
11/12/24, 121.13, 121.31, 119.8365, 120.35, 11972800
11/11/24, 121.00, 121.62, 120.07, 120.47, 11969660
11/08/24, 120.98, 121.42, 119.66, 121.11, 12835970
11/07/24, 121.30, 121.50, 119.61, 121.15, 12184430
11/06/24, 121.145, 121.91, 119.30, 121.00, 20807680
11/05/24, 119.08, 119.21, 118.01, 118.96, 10436740
11/04/24, 116.07, 118.70, 115.93, 118.61, 14965430
11/01/24, 119.93, 119.95, 114.84, 114.95, 20939320
10/31/24, 117.15, 118.67, 116.68, 116.78, 20511980
10/30/24, 117.66, 118.27, 116.48, 116.69, 12303740
10/29/24, 118.58, 119.1719, 117.0701, 117.28, 14731020
10/28/24, 116.79, 119.01, 116.77, 118.90, 11844550
10/25/24, 120.20, 120.43, 119.315, 119.49, 10714580
10/24/24, 120.00, 120.44, 119.125, 119.59, 9905556
10/23/24, 119.97, 120.75, 119.40, 120.27, 8320330
10/22/24, 120.26, 121.19, 119.94, 120.70, 9201408
10/21/24, 120.98, 121.48, 119.72, 120.08, 10177780
10/18/24, 120.44, 120.64, 119.15, 120.01, 12898640
10/17/24, 120.76, 121.58, 119.71, 120.35, 11204860
10/16/24, 120.89, 121.435, 120.60, 120.66, 8426770
10/15/24, 120.82, 121.95, 119.78, 120.35, 15771320
10/14/24, 123.24, 124.26, 122.615, 124.08, 9808122
10/11/24, 123.10, 124.0339, 122.94, 123.61, 8294839
10/10/24, 123.16, 123.7013, 122.29, 123.14, 10243320
10/09/24, 120.90, 122.5799, 120.80, 122.09, 11144860
10/08/24, 123.88, 124.02, 121.26, 122.04, 14818480
10/07/24, 125.25, 126.34, 124.86, 125.37, 15714440
