Date, Open, High, Low, Close, Volume
12/31/24, 446.35, 448.4999, 442.81, 444.68, 2285132
12/30/24, 442.94, 447.60, 438.57, 445.80, 3473172
12/27/24, 446.88, 449.91, 441.105, 446.48, 2947179
12/26/24, 445.85, 452.34, 444.68, 450.16, 2134310
12/24/24, 446.50, 448.8653, 442.5701, 447.94, 1685003
12/23/24, 447.00, 451.4299, 443.4201, 446.74, 3781194
12/20/24, 433.015, 451.42, 432.47, 447.17, 8220033
12/19/24, 443.41, 449.00, 437.11, 437.39, 6479517
12/18/24, 453.24, 455.25, 441.10, 441.31, 6511105
12/17/24, 460.59, 465.856, 452.48, 455.23, 7514489
12/16/24, 467.19, 473.62, 461.20, 461.53, 5807021
12/13/24, 473.98, 474.91, 456.80, 465.69, 11395510
12/12/24, 487.50, 494.00, 470.9001, 474.63, 17344859
12/11/24, 547.05, 552.30, 541.74, 549.93, 6690565
12/10/24, 547.35, 552.83, 544.22, 547.05, 2762875
12/09/24, 556.10, 557.8999, 546.1101, 547.93, 3588653
12/06/24, 544.15, 554.37, 542.90, 552.96, 2964064
12/05/24, 534.42, 540.11, 529.79, 538.22, 2629119
12/04/24, 523.02, 541.77, 521.005, 536.49, 3307041
12/03/24, 511.04, 516.78, 504.505, 516.26, 2119254
12/02/24, 512.85, 518.77, 511.53, 516.20, 2007213
11/29/24, 517.65, 517.65, 513.58, 515.93, 1450247
11/27/24, 523.21, 525.88, 508.7161, 513.68, 2324217
11/26/24, 519.95, 525.76, 516.3601, 525.30, 2415735
11/25/24, 519.09, 523.2099, 513.1935, 518.73, 3319992
11/22/24, 502.50, 513.37, 502.50, 512.15, 2287614
11/21/24, 502.10, 508.57, 493.10, 504.44, 2002094
11/20/24, 505.41, 506.36, 494.61, 499.50, 1874910
11/19/24, 496.00, 502.41, 495.46, 499.61, 1961731
11/18/24, 505.00, 505.51, 497.69, 499.51, 2259651
11/15/24, 520.30, 524.4999, 498.81, 503.37, 4612417
11/14/24, 530.55, 534.6399, 523.46, 529.87, 3098800
11/13/24, 523.79, 539.92, 520.59, 532.50, 3470174
11/12/24, 504.39, 528.91, 504.27, 526.42, 4125288
11/11/24, 493.60, 507.72, 493.60, 504.48, 3536599
11/08/24, 503.83, 505.00, 493.69, 494.68, 2856859
11/07/24, 510.655, 510.655, 495.30, 500.92, 2640295
11/06/24, 492.93, 506.21, 492.93, 504.83, 2969855
11/05/24, 483.09, 486.659, 480.47, 486.42, 1588149
11/04/24, 479.03, 483.76, 477.37, 481.35, 1955249
11/01/24, 475.41, 485.16, 475.05, 482.80, 2852008
10/31/24, 486.00, 486.05, 477.38, 478.08, 2978688
10/30/24, 482.24, 492.20, 482.24, 486.68, 2728573
10/29/24, 481.92, 487.56, 479.33, 485.39, 2089505
10/28/24, 487.65, 488.49, 480.48, 481.04, 2302255
10/25/24, 483.42, 488.34, 482.52, 483.72, 2426769
10/24/24, 486.63, 488.47, 480.06, 482.87, 2100308
10/23/24, 492.00, 493.83, 483.391, 485.03, 2021316
10/22/24, 496.43, 497.34, 488.36, 493.11, 2388721
10/21/24, 494.60, 500.6499, 492.96, 497.71, 1679657
10/18/24, 491.29, 499.00, 491.0501, 494.90, 2011121
10/17/24, 506.51, 507.50, 495.23, 496.83, 2769241
10/16/24, 506.39, 506.84, 500.25, 502.54, 1859116
10/15/24, 513.82, 517.772, 506.80, 508.03, 3605675
10/14/24, 501.80, 514.26, 500.41, 509.65, 3411497
10/11/24, 504.78, 507.9799, 494.90, 495.42, 2992409
10/10/24, 490.54, 506.45, 489.35, 503.57, 2775102
10/09/24, 495.88, 495.88, 492.32, 494.08, 2869417
10/08/24, 492.45, 500.00, 486.40, 496.24, 3551609
10/07/24, 503.96, 504.87, 486.40, 487.30, 4870534
10/04/24, 507.29, 508.56, 503.5901, 507.22, 1949994
10/03/24, 501.02, 509.81, 498.59, 503.80, 1921604
10/02/24, 503.87, 510.19, 502.8201, 505.81, 1981848
10/01/24, 517.45, 519.00, 502.50, 502.80, 3730026
09/30/24, 513.83, 518.47, 511.74, 517.78, 2588151
09/27/24, 516.52, 516.6799, 512.30, 515.48, 2718323
09/26/24, 520.51, 521.355, 512.11, 515.38, 3282437
09/25/24, 526.02, 526.18, 516.24, 517.90, 3211612
09/24/24, 527.72, 530.2999, 521.71, 524.07, 2842054
09/23/24, 525.71, 532.00, 524.955, 527.87, 2106995
09/20/24, 526.44, 528.625, 515.72, 522.30, 6100685
09/19/24, 518.81, 527.48, 518.02, 526.44, 3582532
09/18/24, 517.01, 517.58, 506.4901, 508.13, 3997267
09/17/24, 524.29, 527.0999, 514.58, 515.03, 5164089
09/16/24, 537.40, 537.69, 521.26, 521.50, 5248205
09/13/24, 532.565, 540.27, 526.60, 536.87, 10423510
09/12/24, 581.445, 587.75, 572.98, 586.55, 5605338
09/11/24, 573.01, 581.24, 559.35, 580.38, 2680977
09/10/24, 576.75, 577.80, 567.14, 574.48, 2030076
09/09/24, 567.69, 574.57, 564.44, 569.88, 1997121
09/06/24, 570.90, 573.31, 558.00, 563.41, 2096790
09/05/24, 570.75, 573.39, 562.53, 567.93, 1573571
09/04/24, 568.87, 578.86, 565.76, 575.25, 1615787
09/03/24, 576.30, 586.695, 566.79, 571.04, 2757360
08/30/24, 572.20, 575.65, 568.2865, 574.41, 1982970
08/29/24, 567.05, 578.40, 567.05, 569.63, 1955588
08/28/24, 568.22, 569.59, 557.67, 560.54, 1289699
08/27/24, 554.40, 569.52, 554.3439, 567.82, 1404415
08/26/24, 555.03, 560.26, 555.03, 559.44, 1387479
08/23/24, 565.45, 566.52, 552.50, 558.30, 2023465
08/22/24, 567.07, 572.00, 555.65, 557.44, 1627658
08/21/24, 562.13, 566.60, 557.91, 565.79, 1401708
08/20/24, 564.48, 568.18, 559.61, 562.25, 1219609
08/19/24, 550.59, 563.77, 550.59, 563.12, 1423293
08/16/24, 552.35, 554.76, 547.80, 553.46, 1541726
