Date, Open, High, Low, Close, Volume
12/31/24, 923.65, 924.739, 912.54, 916.27, 1742939
12/30/24, 931.00, 934.17, 915.50, 922.21, 1881241
12/27/24, 948.72, 950.45, 932.0001, 939.70, 1943440
12/26/24, 956.82, 959.41, 954.00, 956.14, 969936
12/24/24, 950.74, 959.38, 945.45, 958.82, 939029
12/23/24, 953.88, 954.255, 937.00, 949.91, 1856831
12/20/24, 949.39, 961.9414, 943.05, 954.07, 5373797
12/19/24, 974.51, 974.64, 953.51, 954.80, 2610843
12/18/24, 982.00, 985.60, 964.00, 964.74, 2725300
12/17/24, 994.00, 996.92, 980.76, 982.08, 2050219
12/16/24, 989.045, 1008.25, 986.37, 992.87, 2581292
12/13/24, 981.00, 1006.68, 965.73, 989.35, 2951921
12/12/24, 1001.68, 1002.47, 987.21, 988.39, 2344334
12/11/24, 995.00, 1007.80, 993.59, 994.69, 1903635
12/10/24, 989.73, 994.99, 985.8825, 993.40, 1556751
12/09/24, 997.01, 997.01, 980.50, 987.86, 1855470
12/06/24, 982.26, 997.7068, 982.26, 992.61, 1737317
12/05/24, 986.66, 990.13, 978.20, 982.26, 2089430
12/04/24, 982.00, 991.15, 977.55, 990.92, 1784687
12/03/24, 974.69, 983.00, 970.76, 982.15, 1653910
12/02/24, 971.36, 976.50, 964.76, 975.00, 1955774
11/29/24, 968.09, 973.27, 962.4671, 971.88, 1095860
11/27/24, 971.46, 972.29, 958.59, 961.55, 1499464
11/26/24, 964.00, 974.37, 960.89, 971.50, 1438037
11/25/24, 975.00, 975.00, 949.69, 960.89, 3240929
11/22/24, 962.74, 976.30, 958.5201, 964.01, 2078740
11/21/24, 935.00, 958.4899, 930.00, 955.65, 2320548
11/20/24, 925.08, 928.80, 916.50, 928.08, 1452130
11/19/24, 928.00, 934.00, 916.36, 930.15, 1690536
11/18/24, 910.64, 925.94, 907.1069, 919.51, 1797786
11/15/24, 917.74, 920.5499, 905.5613, 907.07, 2269945
11/14/24, 927.00, 931.15, 922.1715, 923.89, 1859919
11/13/24, 930.00, 937.5899, 923.20, 933.73, 1757645
11/12/24, 935.95, 939.56, 927.00, 932.38, 1691807
11/11/24, 943.80, 951.28, 931.435, 932.88, 2181815
11/08/24, 914.00, 962.00, 913.75, 943.80, 3277090
11/07/24, 898.62, 919.48, 894.37, 913.93, 2145454
11/06/24, 898.28, 899.90, 886.28, 899.25, 2437420
11/05/24, 888.00, 895.58, 886.7975, 890.17, 1622264
11/04/24, 881.34, 887.00, 876.73, 886.07, 1577144
11/01/24, 874.27, 879.4108, 867.3401, 877.31, 1625161
10/31/24, 877.20, 877.65, 868.65, 874.18, 1771876
