Date, Open, High, Low, Close, Volume
12/31/24, 110.78, 111.59, 110.67, 111.35, 4757538
12/30/24, 110.425, 111.54, 109.83, 110.80, 5716337
12/27/24, 111.82, 112.12, 110.86, 111.55, 4523820
12/26/24, 112.12, 113.32, 111.86, 112.55, 4782814
12/24/24, 111.25, 112.74, 111.1924, 112.56, 2474994
12/23/24, 111.61, 111.85, 110.31, 111.40, 6037212
12/20/24, 110.61, 112.97, 110.43, 112.03, 17955330
12/19/24, 111.66, 112.91, 111.25, 111.37, 9468516
12/18/24, 113.34, 116.1184, 111.24, 111.35, 12292780
12/17/24, 111.025, 114.04, 110.80, 113.02, 12238620
12/16/24, 113.00, 113.067, 111.73, 112.11, 10528530
12/13/24, 114.322, 114.96, 113.30, 113.34, 6864475
12/12/24, 114.70, 115.01, 114.16, 114.90, 5285116
12/11/24, 114.635, 115.05, 113.98, 114.61, 6426831
12/10/24, 114.65, 114.95, 113.72, 114.73, 7526428
12/09/24, 116.385, 117.18, 113.91, 114.61, 8666121
12/06/24, 116.55, 117.26, 116.22, 116.73, 6677906
12/05/24, 116.55, 117.27, 116.06, 116.50, 9823556
12/04/24, 115.97, 117.29, 115.84, 116.99, 7996244
12/03/24, 117.00, 117.23, 115.45, 116.45, 9193973
12/02/24, 117.78, 118.63, 116.55, 117.16, 8390465
11/29/24, 117.255, 117.74, 116.73, 117.47, 5095150
11/27/24, 115.445, 118.1998, 115.445, 117.60, 8142388
11/26/24, 116.00, 116.42, 115.44, 115.45, 6808149
11/25/24, 115.68, 116.5798, 114.932, 116.00, 10397810
11/22/24, 113.85, 116.34, 113.60, 115.65, 10098040
11/21/24, 114.15, 116.25, 113.8343, 114.72, 10260980
11/20/24, 112.26, 114.37, 111.47, 114.26, 9319270
11/19/24, 112.05, 112.50, 110.82, 112.42, 12166780
11/18/24, 113.33, 115.435, 112.89, 113.54, 14236560
11/15/24, 110.25, 115.19, 110.25, 115.08, 32048029
11/14/24, 110.33, 114.81, 108.40, 109.12, 47436047
11/13/24, 100.785, 103.20, 100.35, 102.72, 17701279
11/12/24, 100.55, 101.29, 99.50, 100.99, 9366216
11/11/24, 99.00, 100.90, 99.00, 100.86, 9137854
11/08/24, 98.73, 99.26, 97.61, 99.02, 7982113
11/07/24, 98.78, 99.52, 98.13, 98.93, 7805138
11/06/24, 98.21, 99.55, 98.21, 98.89, 11325090
11/05/24, 95.60, 96.67, 95.25, 96.63, 6561725
11/04/24, 95.825, 96.0188, 95.03, 95.79, 6088036
11/01/24, 95.70, 96.39, 94.83, 95.81, 7944869
10/31/24, 95.27, 96.63, 95.00, 96.20, 8147709
10/30/24, 95.70, 96.71, 94.94, 95.08, 7718201
10/29/24, 96.26, 96.62, 95.675, 96.13, 6834439
10/28/24, 95.22, 96.685, 95.21, 96.20, 8146379
10/25/24, 95.81, 96.8536, 95.01, 95.03, 6638148
10/24/24, 96.60, 96.80, 95.2515, 95.40, 5015263
10/23/24, 96.93, 97.1378, 95.985, 96.24, 5388501
10/22/24, 96.20, 97.255, 96.20, 96.74, 5344307
10/21/24, 97.20, 97.45, 95.95, 96.62, 8189949
10/18/24, 97.01, 97.54, 96.05, 97.28, 8609692
10/17/24, 96.93, 97.33, 95.61, 96.54, 9542501
10/16/24, 93.73, 96.79, 93.63, 96.75, 9936286
10/15/24, 95.25, 95.65, 93.68, 94.22, 6535756
10/14/24, 94.18, 95.19, 93.80, 94.97, 6261964
10/11/24, 92.85, 94.61, 92.80, 94.13, 8089133
10/10/24, 93.72, 93.88, 92.69, 92.99, 6698039
10/09/24, 91.86, 94.01, 91.46, 93.60, 8654470
10/08/24, 92.515, 93.74, 91.69, 92.51, 10209060
10/07/24, 95.09, 95.14, 91.76, 92.39, 11043610
10/04/24, 94.30, 95.34, 93.89, 95.15, 6317333
10/03/24, 93.61, 94.09, 93.1306, 93.63, 6180349
