Date, Open, High, Low, Close, Volume
12/31/24, 146.27, 147.10, 145.73, 146.30, 918421
12/30/24, 147.15, 147.49, 145.06, 146.54, 1153048
12/27/24, 148.46, 148.85, 147.03, 148.12, 1023480
12/26/24, 148.34, 149.49, 147.95, 149.07, 883363
12/24/24, 147.41, 149.65, 147.0101, 149.18, 778560
12/23/24, 147.62, 147.62, 146.50, 147.30, 1708657
12/20/24, 147.08, 149.66, 146.70, 147.80, 4055538
12/19/24, 150.12, 151.40, 147.80, 147.89, 2461857
12/18/24, 153.01, 153.90, 149.38, 149.92, 3617152
12/17/24, 155.78, 156.984, 154.47, 154.79, 3093504
12/16/24, 158.02, 158.02, 155.15, 156.40, 3812308
12/13/24, 161.72, 162.18, 156.68, 157.62, 2820875
12/12/24, 163.86, 164.605, 162.50, 162.59, 2600434
12/11/24, 165.30, 166.16, 162.27, 163.92, 2709745
12/10/24, 164.48, 166.73, 164.101, 165.30, 1699375
12/09/24, 166.95, 167.7104, 165.39, 165.61, 1098816
12/06/24, 165.82, 167.35, 165.375, 167.01, 1651793
12/05/24, 165.19, 167.09, 165.00, 165.62, 1811069
12/04/24, 168.09, 168.09, 166.93, 167.42, 1581456
12/03/24, 165.26, 167.87, 164.88, 167.70, 1821453
12/02/24, 164.45, 166.20, 163.385, 165.96, 1833636
11/29/24, 162.80, 164.22, 162.37, 163.67, 1624185
11/27/24, 163.92, 164.51, 162.82, 163.10, 1260240
11/26/24, 164.81, 166.31, 163.72, 165.02, 1859568
11/25/24, 167.08, 167.95, 163.55, 164.14, 2813161
11/22/24, 168.46, 168.50, 164.47, 166.67, 1638060
11/21/24, 167.24, 168.065, 165.50, 167.97, 1186420
11/20/24, 166.17, 167.51, 165.19, 166.71, 2056353
11/19/24, 162.37, 166.40, 162.055, 166.13, 2170267
11/18/24, 160.00, 164.45, 159.38, 164.01, 1926010
11/15/24, 163.30, 163.6934, 161.26, 161.36, 2036594
11/14/24, 162.71, 164.42, 162.52, 164.12, 1625357
11/13/24, 161.79, 162.88, 161.4701, 162.72, 2320411
11/12/24, 159.39, 163.00, 158.415, 162.87, 2807885
11/11/24, 157.83, 159.71, 157.5423, 159.39, 1239372
11/08/24, 160.00, 160.00, 157.38, 157.91, 1391991
11/07/24, 158.45, 160.309, 157.24, 160.00, 1705152
11/06/24, 157.77, 159.34, 156.71, 157.96, 2289453
11/05/24, 152.73, 155.55, 151.835, 155.50, 2337984
11/04/24, 152.16, 153.09, 150.40, 152.89, 1975349
11/01/24, 150.83, 152.46, 149.14, 151.26, 1954157
10/31/24, 148.31, 151.585, 147.59, 150.85, 2645877
10/30/24, 147.48, 151.34, 144.68, 149.14, 3600584
