Date, Open, High, Low, Close, Volume
12/31/24, 168.77, 169.90, 167.49, 169.35, 869929
12/30/24, 171.62, 171.86, 167.52, 168.67, 1771549
12/27/24, 169.57, 172.12, 169.51, 171.76, 1066265
12/26/24, 169.60, 172.2732, 169.00, 170.18, 992477
12/24/24, 169.00, 170.49, 167.96, 170.49, 429603
12/23/24, 169.30, 170.21, 166.69, 169.00, 1172883
12/20/24, 169.21, 172.04, 168.585, 170.26, 2535399
12/19/24, 171.59, 172.44, 168.81, 168.94, 1930419
12/18/24, 175.50, 175.50, 171.87, 172.46, 1837939
12/17/24, 177.84, 181.56, 176.75, 177.63, 1834510
12/16/24, 182.10, 184.02, 177.25, 178.20, 2241293
12/13/24, 183.39, 184.43, 181.6901, 183.10, 1985580
12/12/24, 175.88, 184.52, 175.75, 183.95, 3761748
12/11/24, 178.65, 183.21, 174.28, 177.00, 6250738
12/10/24, 193.59, 196.82, 185.95, 187.19, 5012355
12/09/24, 174.05, 208.03, 173.61, 193.65, 14377140
12/06/24, 175.40, 177.02, 173.78, 174.70, 2332272
12/05/24, 177.28, 177.33, 173.05, 174.50, 1953513
12/04/24, 178.44, 185.00, 174.35, 177.87, 4591594
12/03/24, 177.34, 181.82, 176.22, 179.48, 3986597
12/02/24, 176.13, 178.58, 174.13, 177.82, 2377768
11/29/24, 173.93, 176.48, 173.42, 176.13, 1525225
11/27/24, 174.38, 175.75, 173.67, 174.09, 1060573
11/26/24, 175.21, 175.56, 172.29, 173.29, 1307501
11/25/24, 175.50, 177.375, 175.27, 175.54, 2088242
11/22/24, 175.94, 176.4099, 173.00, 174.81, 1458461
11/21/24, 174.00, 175.66, 173.21, 174.95, 1225324
11/20/24, 170.24, 174.46, 169.3605, 174.00, 1446887
11/19/24, 169.24, 170.86, 168.16, 170.24, 1678190
11/18/24, 170.95, 171.79, 169.10, 169.99, 1642469
11/15/24, 177.54, 178.05, 170.58, 170.92, 3656501
11/14/24, 184.00, 184.74, 178.38, 178.94, 2257756
11/13/24, 181.50, 184.90, 180.02, 184.45, 2220856
11/12/24, 178.99, 181.63, 178.00, 181.50, 2514886
11/11/24, 175.00, 181.56, 174.9488, 178.51, 2159558
11/08/24, 172.50, 175.83, 172.0501, 175.67, 3115302
11/07/24, 175.00, 178.79, 171.67, 172.85, 3330996
11/06/24, 181.47, 181.49, 176.62, 176.82, 2859848
11/05/24, 178.56, 180.23, 178.265, 180.11, 1308684
11/04/24, 179.28, 180.4061, 177.74, 179.00, 1689854
11/01/24, 177.86, 179.44, 177.3417, 179.26, 1360471
10/31/24, 177.78, 179.79, 177.04, 177.58, 1473813
10/30/24, 179.90, 180.35, 176.78, 177.50, 2012427
10/29/24, 181.77, 183.44, 179.95, 180.02, 1226483
10/28/24, 181.22, 184.40, 181.20, 182.85, 937569
10/25/24, 182.20, 183.08, 181.02, 181.26, 751604
10/24/24, 181.98, 183.26, 181.445, 182.20, 1070412
10/23/24, 180.51, 183.03, 179.26, 181.98, 2533924
10/22/24, 184.00, 184.63, 183.22, 183.47, 1207313
10/21/24, 185.47, 186.91, 184.00, 184.67, 982290
10/18/24, 184.52, 186.36, 184.12, 185.68, 1052174
10/17/24, 184.85, 184.90, 183.31, 183.90, 925810
10/16/24, 184.33, 186.3189, 183.35, 184.81, 1194407
10/15/24, 185.40, 188.59, 183.87, 184.33, 1805708
10/14/24, 185.98, 186.80, 185.36, 186.00, 1203590
10/11/24, 187.81, 188.40, 185.85, 185.98, 1157774
10/10/24, 187.30, 189.33, 186.56, 187.57, 756031
10/09/24, 187.85, 188.19, 186.33, 186.97, 762721
10/08/24, 187.93, 188.41, 185.81, 187.58, 977795
10/07/24, 188.50, 189.2358, 186.50, 187.53, 1193041
10/04/24, 190.02, 192.21, 190.00, 191.84, 794175
10/03/24, 192.59, 193.455, 190.12, 190.99, 1238109
10/02/24, 191.22, 195.013, 190.22, 193.41, 1620299
10/01/24, 191.84, 193.14, 190.795, 191.81, 966499
09/30/24, 194.64, 194.87, 191.26, 191.78, 837828
09/27/24, 191.62, 193.77, 191.235, 193.36, 1112352
09/26/24, 189.30, 191.985, 189.01, 190.52, 1779184
09/25/24, 194.75, 195.00, 190.58, 191.00, 1075984
09/24/24, 194.16, 194.845, 193.17, 193.34, 1079872
09/23/24, 195.18, 197.115, 193.11, 195.14, 1052296
09/20/24, 196.40, 198.61, 194.01, 195.43, 2956068
09/19/24, 197.54, 198.34, 195.14, 195.52, 1141052
09/18/24, 198.40, 200.34, 196.12, 197.63, 866829
09/17/24, 200.72, 202.285, 199.105, 199.28, 801181
09/16/24, 202.32, 203.98, 200.3301, 200.81, 912969
09/13/24, 198.25, 201.08, 198.2215, 200.83, 721744
09/12/24, 198.02, 198.955, 196.50, 198.46, 699059
09/11/24, 202.89, 202.93, 197.43, 198.62, 774440
09/10/24, 203.98, 205.77, 202.48, 202.83, 1173276
09/09/24, 199.59, 203.44, 198.00, 203.25, 1370811
09/06/24, 198.10, 201.65, 197.84, 199.80, 1190987
09/05/24, 199.28, 199.455, 197.16, 198.10, 1012704
09/04/24, 197.54, 199.68, 196.99, 198.69, 1089578
09/03/24, 192.60, 197.81, 191.37, 197.34, 1364990
08/30/24, 191.95, 193.18, 191.19, 193.06, 1325864
08/29/24, 192.41, 192.41, 189.81, 191.70, 1356835
08/28/24, 191.00, 193.11, 189.3101, 191.59, 1092373
08/27/24, 193.62, 195.40, 191.10, 191.13, 1257547
08/26/24, 196.30, 198.89, 195.78, 196.41, 881800
08/23/24, 196.62, 196.64, 195.18, 196.33, 946237
08/22/24, 198.27, 198.27, 194.75, 195.56, 600661
08/21/24, 198.10, 199.71, 196.67, 197.47, 859086
08/20/24, 196.69, 198.41, 195.23, 197.91, 1198305
08/19/24, 193.87, 197.384, 193.75, 197.17, 1330450
08/16/24, 194.63, 195.44, 193.16, 193.49, 2330430
08/15/24, 201.00, 201.50, 196.31, 196.66, 1140820
08/14/24, 199.25, 202.58, 199.12, 200.61, 1032097
08/13/24, 199.29, 201.33, 198.04, 199.46, 1053233
08/12/24, 199.17, 199.95, 197.445, 198.67, 1965537
08/09/24, 201.75, 201.96, 198.9201, 201.50, 1267389
08/08/24, 198.57, 202.755, 198.35, 202.10, 1031667
08/07/24, 199.01, 201.74, 198.52, 199.82, 1525944
08/06/24, 197.73, 200.55, 196.5901, 199.39, 1388734
08/05/24, 198.01, 202.85, 195.4001, 196.02, 1866280
08/02/24, 199.08, 203.23, 196.78, 199.08, 2235769
08/01/24, 192.41, 200.4652, 190.60, 199.62, 2867000
07/31/24, 194.69, 198.28, 194.33, 197.48, 2547917
07/30/24, 191.54, 194.33, 190.26, 193.97, 1718087
07/29/24, 192.68, 194.79, 190.99, 192.56, 2100135
07/26/24, 192.34, 194.095, 192.19, 193.53, 1504176
07/25/24, 190.91, 196.73, 190.00, 192.67, 1879596
07/24/24, 190.28, 192.99, 189.345, 192.10, 1873800
07/23/24, 190.68, 190.96, 188.40, 189.94, 2124144
07/22/24, 191.00, 191.82, 189.24, 191.29, 1681079
07/19/24, 194.00, 194.1578, 189.86, 191.15, 2196187
07/18/24, 193.00, 197.44, 192.0714, 193.34, 1563439
07/17/24, 189.28, 194.51, 189.25, 194.00, 1819243
07/16/24, 189.00, 190.00, 187.14, 189.97, 1004031
07/15/24, 188.47, 189.04, 187.07, 188.92, 1315216
07/12/24, 188.00, 191.16, 187.59, 188.94, 1146429
07/11/24, 184.96, 187.15, 184.26, 186.79, 1834663
07/10/24, 182.50, 185.77, 182.13, 185.68, 1373202
07/09/24, 184.58, 184.6214, 182.04, 182.75, 1452575
07/08/24, 184.69, 185.74, 184.15, 184.76, 1193321
07/05/24, 183.54, 184.17, 181.90, 184.15, 1169458
07/03/24, 184.19, 184.45, 182.94, 183.75, 1014814
07/02/24, 182.21, 184.75, 181.8238, 184.65, 1638910
07/01/24, 184.49, 185.71, 181.67, 182.45, 1668720
06/28/24, 183.51, 185.46, 182.71, 183.83, 5542376
06/27/24, 183.41, 184.03, 182.09, 183.68, 1199724
06/26/24, 184.00, 185.25, 182.78, 183.05, 1208096
06/25/24, 187.81, 191.45, 185.46, 185.92, 1934153
06/24/24, 182.93, 188.29, 182.89, 187.30, 1855097
06/21/24, 182.48, 184.06, 181.42, 182.09, 2280832
06/20/24, 182.74, 184.45, 181.485, 182.00, 1691122
06/18/24, 182.91, 184.70, 181.34, 182.73, 2294174
06/17/24, 186.00, 186.265, 182.33, 183.05, 1651919
06/14/24, 185.30, 189.06, 185.30, 186.98, 1145262
06/13/24, 187.39, 187.70, 185.50, 185.59, 1087022
06/12/24, 190.46, 190.875, 187.12, 187.22, 1132537
06/11/24, 190.26, 191.13, 187.85, 190.61, 1270372
06/10/24, 195.69, 196.26, 189.59, 191.12, 1437302
06/07/24, 196.50, 198.6399, 195.85, 196.06, 715656
06/06/24, 197.94, 199.06, 197.17, 197.32, 776121
06/05/24, 199.72, 200.32, 195.67, 198.36, 857185
06/04/24, 196.27, 200.60, 195.38, 200.07, 1486726
06/03/24, 197.59, 198.86, 188.81, 196.42, 1107983
05/31/24, 193.13, 197.90, 192.61, 197.83, 3878345
05/30/24, 193.71, 194.46, 192.445, 193.13, 1496445
05/29/24, 196.94, 196.94, 193.45, 193.55, 1492747
05/28/24, 196.15, 198.365, 195.26, 197.61, 2257961
05/24/24, 201.00, 201.31, 196.915, 197.00, 1880152
05/23/24, 204.54, 204.885, 200.9075, 201.04, 1199935
05/22/24, 206.41, 207.07, 204.07, 205.57, 1148246
05/21/24, 208.61, 209.65, 206.49, 207.35, 1137286
05/20/24, 207.00, 208.93, 206.54, 208.09, 1307077
05/17/24, 209.40, 209.41, 206.40, 207.04, 1180793
05/16/24, 204.52, 208.26, 204.28, 208.17, 1299816
05/15/24, 208.99, 209.31, 205.30, 205.41, 1470839
05/14/24, 210.00, 211.92, 206.83, 208.89, 2094647
05/13/24, 205.66, 210.23, 205.625, 209.51, 2284614
05/10/24, 200.54, 205.00, 200.49, 204.78, 1785202
05/09/24, 200.40, 200.40, 198.89, 200.09, 1471064
05/08/24, 199.66, 201.49, 197.04, 199.96, 2027424
05/07/24, 197.93, 199.82, 196.35, 198.16, 2047329
05/06/24, 197.94, 198.68, 194.09, 196.49, 1775113
05/03/24, 196.00, 199.06, 191.61, 197.92, 3396043
05/02/24, 195.66, 196.47, 194.13, 195.88, 2347637
05/01/24, 192.33, 195.015, 191.19, 193.70, 1794091
04/30/24, 193.90, 197.71, 193.30, 193.92, 3133786
04/29/24, 187.21, 192.60, 186.83, 192.47, 2961417
04/26/24, 186.44, 188.05, 185.96, 186.16, 1186506
04/25/24, 188.80, 189.21, 185.82, 187.15, 1316497
04/24/24, 185.89, 188.89, 184.915, 188.14, 1629940
04/23/24, 185.83, 188.23, 185.83, 187.08, 1288160
