Date, Open, High, Low, Close, Volume
12/31/24, 62.02, 62.43, 61.80, 62.26, 9256664
12/30/24, 62.34, 62.34, 61.68, 62.03, 8972212
12/27/24, 62.45, 62.95, 62.209, 62.45, 8542773
12/26/24, 62.62, 62.74, 62.40, 62.57, 7945641
12/24/24, 62.20, 62.84, 62.01, 62.84, 5019131
12/23/24, 62.50, 62.76, 61.5318, 62.38, 13010760
12/20/24, 62.47, 63.06, 62.28, 62.55, 42458102
12/19/24, 62.70, 63.17, 62.40, 62.45, 21300650
12/18/24, 62.81, 63.64, 62.79, 62.85, 20946090
12/17/24, 62.45, 63.55, 62.32, 63.40, 21902381
12/16/24, 63.23, 63.86, 62.35, 62.55, 24559740
12/13/24, 63.57, 63.835, 63.11, 63.12, 13429030
12/12/24, 63.55, 63.92, 63.22, 63.84, 17542090
12/11/24, 63.00, 63.63, 62.40, 62.64, 32819012
12/10/24, 62.70, 63.04, 61.79, 62.91, 14949420
12/09/24, 62.69, 62.929, 61.90, 62.60, 22348330
12/06/24, 62.83, 63.36, 62.51, 62.53, 15581150
12/05/24, 62.47, 63.12, 62.10, 62.92, 21040359
12/04/24, 63.275, 63.35, 61.90, 62.21, 28137660
12/03/24, 63.72, 64.08, 63.025, 63.52, 24874490
12/02/24, 64.05, 64.19, 63.345, 63.65, 16500100
11/29/24, 64.02, 64.25, 63.77, 64.08, 10648350
11/27/24, 64.96, 65.10, 64.25, 64.43, 13263400
11/26/24, 64.31, 64.64, 64.06, 64.55, 14473270
11/25/24, 64.32, 64.71, 63.84, 64.38, 36805246
11/22/24, 64.24, 64.48, 63.65, 63.92, 19562230
11/21/24, 63.15, 63.81, 62.95, 63.76, 17292301
11/20/24, 62.70, 63.01, 62.02, 62.99, 18904910
11/19/24, 61.90, 62.62, 61.63, 62.59, 16254830
11/18/24, 61.85, 62.14, 61.56, 61.86, 16079360
11/15/24, 62.49, 62.63, 61.39, 61.74, 26284330
