Date, Open, High, Low, Close, Volume
12/31/24, 22.62, 22.85, 22.60, 22.77, 22342840
12/30/24, 22.78, 22.78, 22.44, 22.61, 25419990
12/27/24, 22.88, 23.07, 22.815, 22.86, 18547500
12/26/24, 22.93, 23.15, 22.875, 22.96, 16445920
12/24/24, 22.84, 22.9894, 22.76, 22.95, 9605933
12/23/24, 22.67, 22.87, 22.59, 22.84, 24655641
12/20/24, 22.59, 22.75, 22.52, 22.75, 93983992
12/19/24, 22.505, 22.68, 22.41, 22.57, 43160754
12/18/24, 22.802, 22.985, 22.46, 22.48, 38897359
12/17/24, 22.80, 22.98, 22.6717, 22.83, 39844719
12/16/24, 23.71, 23.81, 22.61, 22.84, 48018070
12/13/24, 23.37, 23.67, 23.26, 23.63, 33693910
12/12/24, 23.58, 23.74, 23.36, 23.36, 22014961
12/11/24, 23.43, 23.5399, 23.14, 23.48, 38518059
12/10/24, 23.41, 23.66, 23.11, 23.51, 32851500
12/09/24, 23.90, 23.99, 23.34, 23.37, 38385898
12/06/24, 23.825, 23.90, 23.56, 23.88, 34218762
12/05/24, 23.605, 23.89, 23.58, 23.83, 40155621
12/04/24, 23.67, 23.825, 23.37, 23.53, 41534168
12/03/24, 23.41, 24.03, 23.38, 23.74, 63128688
12/02/24, 23.15, 23.16, 22.64, 22.70, 44160559
11/29/24, 23.27, 23.305, 23.01, 23.16, 19673930
11/27/24, 23.20, 23.38, 23.01, 23.27, 33206301
11/26/24, 22.94, 23.11, 22.87, 23.09, 30080350
11/25/24, 23.15, 23.32, 22.95, 23.10, 64729770
11/22/24, 23.05, 23.29, 22.935, 23.18, 35732871
11/21/24, 22.80, 23.15, 22.73, 22.98, 23080891
11/20/24, 22.80, 22.90, 22.735, 22.83, 20423061
11/19/24, 22.88, 22.92, 22.68, 22.73, 24727689
11/18/24, 22.785, 23.20, 22.78, 22.99, 35675527
11/15/24, 22.24, 22.75, 22.195, 22.68, 40207262
11/14/24, 22.30, 22.46, 22.22, 22.25, 20825100
11/13/24, 22.17, 22.39, 22.06, 22.30, 29345580
11/12/24, 22.21, 22.29, 21.79, 22.15, 39579539
11/11/24, 22.28, 22.48, 22.245, 22.31, 23464949
11/08/24, 22.05, 22.43, 22.05, 22.34, 29901561
11/07/24, 22.39, 22.39, 21.96, 22.04, 31471830
11/06/24, 22.11, 22.39, 21.97, 22.32, 32259160
11/05/24, 21.90, 22.17, 21.8313, 22.05, 26461789
11/04/24, 22.14, 22.25, 21.79, 21.92, 24318471
11/01/24, 22.53, 22.73, 22.07, 22.12, 37169969
10/31/24, 22.06, 22.595, 22.03, 22.54, 59566754
